Data,Combination,Sample,Correlation
cameroon,micfunpred_0.5_100,BAB01,0.7992539574359395
cameroon,micfunpred_0.5_100,BAB04,0.8290639881965535
cameroon,micfunpred_0.5_100,BAB06,0.8109352406727851
cameroon,micfunpred_0.5_100,BAB07,0.8482230287473733
cameroon,micfunpred_0.5_100,BAB08,0.819260870998566
cameroon,micfunpred_0.5_100,BAB09,0.8254783209240408
cameroon,micfunpred_0.5_100,BAB11,0.7664526274468088
cameroon,micfunpred_0.5_100,BAB15,0.8052781664797689
cameroon,micfunpred_0.5_100,BAB16,0.8172927017098869
cameroon,micfunpred_0.5_100,BAB18,0.8418033054410802
cameroon,micfunpred_0.5_100,BAB19,0.8253836111989917
cameroon,micfunpred_0.5_100,BAB20,0.8001330509591033
cameroon,micfunpred_0.5_100,BAB22,0.7786942037347481
cameroon,micfunpred_0.5_100,BAB23,0.8259629087182312
cameroon,micfunpred_0.5_100,BAB29,0.8135097625852663
cameroon,micfunpred_0.5_100,BAB30,0.8196131976980909
cameroon,micfunpred_0.5_100,BAN01,0.806785022570231
cameroon,micfunpred_0.5_100,BAN02,0.8188444065170818
cameroon,micfunpred_0.5_100,BAN03,0.8469787689193159
cameroon,micfunpred_0.5_100,BAN05,0.774125495225834
cameroon,micfunpred_0.5_100,BAN07,0.8209917933216437
cameroon,micfunpred_0.5_100,MVC01,0.8565682391421414
cameroon,micfunpred_0.5_100,MVC03,0.8365286808344387
cameroon,micfunpred_0.5_100,MVC04,0.812832304492735
cameroon,micfunpred_0.5_100,MVC05,0.827638412440635
cameroon,micfunpred_0.5_100,MVC06,0.8190198757341248
cameroon,micfunpred_0.5_100,MVC08,0.8385192755212841
cameroon,micfunpred_0.5_100,MVC09,0.8339091631696425
cameroon,micfunpred_0.5_100,MVC11,0.8356249545083002
cameroon,micfunpred_0.5_100,MVC12,0.8599137498622286
cameroon,micfunpred_0.5_100,MVC13,0.8376076759528565
cameroon,micfunpred_0.5_100,MVC14,0.8518866820167111
cameroon,micfunpred_0.5_100,MVC15,0.8138165547689684
cameroon,micfunpred_0.5_100,MVC16,0.8321921131929195
cameroon,micfunpred_0.5_100,MVC17,0.8477250231904274
cameroon,micfunpred_0.5_100,MVC18,0.8227514717985781
cameroon,micfunpred_0.5_100,MVC21,0.8291859867121955
cameroon,micfunpred_0.5_100,MVC23,0.8407607298974059
cameroon,micfunpred_0.5_100,YAE01,0.731694907902953
cameroon,micfunpred_0.5_100,YAE02,0.7611669077587265
cameroon,micfunpred_0.5_100,YAE03,0.8274115652991867
cameroon,micfunpred_0.5_100,YAE05,0.8592703966037043
cameroon,micfunpred_0.5_100,YAE07,0.727960051474197
cameroon,micfunpred_0.5_100,YAE09,0.8093679330378785
cameroon,micfunpred_0.5_100,YAE10,0.8457906497752561
cameroon,micfunpred_0.5_100,YAE11,0.8453135663797987
cameroon,micfunpred_0.5_100,YAE14,0.7874557478187599
