Combination	Total	TP	TN	FP	FN	Recall	FPR	Precision	F1score	Balanced_accuracy
micfunpred_0.85_99	524	130	7615	394	155	45.614035087719294	4.9194656011986515	24.80916030534351	32.138442521631646	61.407154155245756
micfunpred_0.5_85	1033	233	7230	800	258	47.45417515274949	9.9626400996264	22.555663117134557	30.577427821522306	59.55507514831086
micfunpred_0.6_96	659	127	7488	532	152	45.51971326164875	6.633416458852868	19.271623672230653	27.078891257995743	58.64104743820957
micfunpred_0.6_95	714	138	7446	576	163	45.84717607973422	7.180254300673148	19.327731092436977	27.192118226600986	58.59276553307616
micfunpred_0.75_85	652	154	7519	498	179	46.246246246246244	6.2117999251590374	23.619631901840492	31.269035532994923	60.64717630425878
micfunpred_0.7_80	884	210	7347	674	235	47.19101123595505	8.402942276524124	23.755656108597282	31.60270880361173	60.3281050260739
micfunpred_0.85_85	663	159	7509	504	184	46.35568513119534	6.28977910894796	23.981900452488688	31.610337972167002	60.79505785655761
micfunpred_0.95_98	460	110	7659	350	135	44.89795918367347	4.370083655887127	23.91304347826087	31.205673758865252	61.090470930816345
micfunpred_0.9_95	689	144	7469	545	169	46.00638977635783	6.8005989518342895	20.899854862119014	28.742514970059883	59.34361687855885
micfunpred_0.75_75	650	153	7520	497	178	46.22356495468278	6.199326431333416	23.53846153846154	31.19266055045872	60.613086316126065
micfunpred_0.85_97	851	216	7378	635	241	47.26477024070022	7.924622488456258	25.381903642773207	33.02752293577982	61.109379436559195
micfunpred_0.7_96	671	141	7489	530	166	45.928338762214985	6.609302905599201	21.013412816691503	28.834355828220854	59.42244775387155
micfunpred_0.8_75	613	144	7545	469	169	46.00638977635783	5.852258547541802	23.491027732463294	31.101511879049678	60.65010292508568
micfunpred_0.8_100	334	89	7763	245	114	43.84236453201971	3.0594405594405596	26.646706586826348	33.14711359404097	62.59972754757085
micfunpred_0.8_90	678	159	7495	519	184	46.35568513119534	6.4761667082605445	23.451327433628318	31.145935357492657	60.52759105110248
micfunpred_0.95_100	240	52	7818	188	77	40.310077519379846	2.3482388208843368	21.666666666666668	28.184281842818425	60.345682921680385
micfunpred_0.5_90	1049	243	7221	806	268	47.55381604696673	10.041111249532825	23.164918970448046	31.153846153846153	59.79316852514924
micfunpred_0.85_100	340	86	7752	254	111	43.65482233502538	3.1726205345990506	25.294117647058822	32.02979515828678	61.94122135691362
micfunpred_0.8_99	556	137	7593	419	162	45.819397993311036	5.229655516724913	24.640287769784173	32.046783625730995	61.27565645742593
micfunpred_0.9_100	318	86	7774	232	111	43.65482233502538	2.8978266300274793	27.044025157232703	33.398058252427184	62.81814447462143
micfunpred_0.75_96	699	143	7460	556	168	45.98070739549839	6.936127744510978	20.457796852646638	28.31683168316832	59.12769234347067
micfunpred_0.85_75	663	159	7509	504	184	46.35568513119534	6.28977910894796	23.981900452488688	31.610337972167002	60.79505785655761
micfunpred_0.9_75	610	147	7550	463	172	46.08150470219436	5.778110570323225	24.098360655737704	31.64693218514532	60.93547921416773
micfunpred_0.5_80	1033	233	7230	800	258	47.45417515274949	9.9626400996264	22.555663117134557	30.577427821522306	59.55507514831086
micfunpred_0.75_97	1104	235	7152	869	260	47.474747474747474	10.83406059094876	21.286231884057973	29.393370856785495	58.88920336782499
micfunpred_0.9_98	673	160	7498	513	185	46.3768115942029	6.403694919485707	23.7741456166419	31.43418467583497	60.68311602060782
micfunpred_0.9_85	610	147	7550	463	172	46.08150470219436	5.778110570323225	24.098360655737704	31.64693218514532	60.93547921416773
micfunpred_1_85	924	202	7290	722	227	47.086247086247084	9.011482775836246	21.861471861471863	29.859571322985957	59.42082506203832
micfunpred_0.6_99	769	191	7439	578	216	46.928746928746925	7.2096794312086825	24.83745123537061	32.482993197278915	61.007883031140565
micfunpred_1_99	1173	250	7091	923	275	47.61904761904761	11.517344646867981	21.312872975277067	29.446407538280326	58.789751719786246
micfunpred_0.95_95	620	128	7519	492	153	45.55160142348754	6.1415553613781055	20.64516129032258	28.412874583795784	59.325448215547105
micfunpred_1_98	1102	247	7157	855	272	47.591522157996145	10.671492760858712	22.413793103448278	30.475015422578654	59.3762329361635
micfunpred_0.8_80	613	144	7545	469	169	46.00638977635783	5.852258547541802	23.491027732463294	31.101511879049678	60.65010292508568
micfunpred_1_90	986	211	7238	775	236	47.20357941834452	9.671783352052914	21.399594320486813	29.448709002093505	59.120990630941826
micfunpred_0.8_97	867	222	7369	645	247	47.33475479744136	8.048415273271775	25.60553633217993	33.23353293413173	61.18118203163618
micfunpred_0.6_80	984	233	7277	751	258	47.45417515274949	9.354758345789737	23.678861788617887	31.593220338983052	60.12742027718884
micfunpred_1_97	1396	261	6879	1135	286	47.714808043875685	14.162715248315447	18.696275071633238	26.865671641791046	57.35232455605388
micfunpred_0.95_80	529	123	7606	406	148	45.38745387453875	5.067398901647529	23.251417769376182	30.75	60.67136274076237
micfunpred_0.7_90	797	190	7415	607	215	46.913580246913575	7.56669159810521	23.83939774153074	31.61397670549085	60.51078668203667
micfunpred_0.7_95	698	150	7471	548	175	46.15384615384615	6.83376979673276	21.48997134670487	29.325513196480937	59.60059645022924
micfunpred_0.9_80	610	147	7550	463	172	46.08150470219436	5.778110570323225	24.098360655737704	31.64693218514532	60.93547921416773
micfunpred_0.75_100	366	96	7740	270	121	44.23963133640553	3.3707865168539324	26.229508196721312	32.93310463121784	62.34513191288807
micfunpred_0.95_97	647	164	7529	483	189	46.45892351274787	6.028457314028957	25.347758887171562	32.8	61.44946897455236
micfunpred_0.9_97	810	204	7407	606	229	47.11316397228637	7.562710595282665	25.185185185185183	32.8238133547868	61.0931164270609
micfunpred_0.9_96	630	142	7525	488	167	45.9546925566343	6.09010358167977	22.53968253968254	30.24494142705005	60.18429784810441
micfunpred_0.6_75	984	233	7277	751	258	47.45417515274949	9.354758345789737	23.678861788617887	31.593220338983052	60.12742027718884
micfunpred_0.7_75	884	210	7347	674	235	47.19101123595505	8.402942276524124	23.755656108597282	31.60270880361173	60.3281050260739
micfunpred_0.6_97	936	233	7317	703	258	47.45417515274949	8.765586034912719	24.89316239316239	32.65592151366503	60.74361089955149
micfunpred_0.7_97	873	229	7375	644	254	47.4120082815735	8.030926549445068	26.23138602520046	33.77581120943953	61.45099252760875
micfunpred_1_95	1052	215	7174	837	240	47.25274725274725	10.448133816002995	20.437262357414447	28.5335102853351	58.60007169664626
micfunpred_1_75	923	201	7290	722	226	47.07259953161593	9.011482775836246	21.776814734561214	29.77777777777777	59.3849480804259
micfunpred_0.7_98	793	178	7403	615	203	46.71916010498688	7.6702419555999	22.44640605296343	30.323679727427596	59.888730241838005
