Combination	Total	TP	TN	FP	FN	Recall	FPR	Precision	F1score	Balanced_accuracy
micfunpred_0.85_99	1557	1051	5988	506	1058	49.834044570886675	7.791807822605482	67.50160565189466	57.33769776322967	76.2429969786581
micfunpred_0.5_85	2517	1444	5428	1073	1451	49.87910189982729	16.505153053376404	57.36988478347239	53.3628972653363	68.13835131745213
micfunpred_0.6_96	2381	1414	5533	967	1421	49.876543209876544	14.876923076923077	59.38681226375473	54.217791411042946	69.4762649181874
micfunpred_0.6_95	2527	1522	5498	1005	1529	49.8852835136021	15.454405658926648	60.22952117134943	54.57153101470061	69.23529566465578
micfunpred_0.75_85	2408	1468	5558	940	1475	49.88107373428474	14.465989535241613	60.96345514950167	54.8682489254345	69.99544860418351
micfunpred_0.7_80	2484	1500	5515	984	1507	49.88360492184902	15.140790890906294	60.38647342995169	54.63485703879075	69.46267562127035
micfunpred_0.85_85	2264	1400	5634	864	1407	49.87531172069826	13.29639889196676	61.83745583038869	55.21593374087951	70.92724943202434
micfunpred_0.95_98	1530	1055	6012	475	1062	49.83467170524327	7.322336981655619	68.95424836601308	57.855771867288176	76.97076285985132
micfunpred_0.9_95	2237	1425	5682	812	1432	49.877493874693734	12.503849707422235	63.70138578453286	55.948174322732626	71.78603166089168
micfunpred_0.75_75	2408	1468	5558	940	1475	49.88107373428474	14.465989535241613	60.96345514950167	54.8682489254345	69.99544860418351
micfunpred_0.85_97	2240	1410	5668	830	1417	49.876193845065444	12.773160972606956	62.94642857142857	55.65423327412671	71.47321428571429
micfunpred_0.7_96	2438	1494	5555	944	1501	49.883138564273786	14.525311586397907	61.27973748974569	54.997239094422966	70.00353087639212
micfunpred_0.8_75	2370	1451	5579	919	1458	49.87968374011688	14.142813173284088	61.22362869198312	54.972532676643304	70.25228613794836
micfunpred_0.8_100	1615	1090	5969	525	1097	49.83996342021033	8.084385586695412	67.49226006191951	57.33824302998422	75.98360526447235
micfunpred_0.8_90	2357	1447	5588	910	1454	49.87935194760427	14.004309018159432	61.391599490878235	55.039939140357546	70.37202808965951
micfunpred_0.95_100	1384	961	6063	423	968	49.81855883877657	6.521739130434782	69.4364161849711	58.01388469664956	77.83440777958553
micfunpred_0.5_90	2536	1456	5423	1080	1463	49.88009592326139	16.60771951407043	57.413249211356465	53.38221814848763	68.08362141079004
micfunpred_0.85_100	1469	1010	6035	459	1017	49.82733103108041	7.068062827225131	68.75425459496256	57.78032036613272	77.16640693446371
micfunpred_0.8_99	1702	1133	5925	569	1140	49.846018477782664	8.761934093008932	66.56874265569918	57.0062893081761	75.2164307758326
micfunpred_0.9_100	1449	1014	6055	435	1021	49.828009828009826	6.702619414483821	69.97929606625259	58.208955223880594	77.77512005121561
micfunpred_0.75_96	2370	1465	5593	905	1472	49.88083077970719	13.927362265312404	61.81434599156118	55.210099868098744	70.48962168650954
micfunpred_0.85_75	2264	1400	5634	864	1407	49.87531172069826	13.29639889196676	61.83745583038869	55.21593374087951	70.92724943202434
