Combination	Total	TP	TN	FP	FN	Recall	FPR	Precision	F1score	Balanced_accuracy
micfunpred_0.85_99	839	224	7560	615	227	49.667405764966745	7.522935779816514	26.6984505363528	34.72868217054263	61.89166780060225
micfunpred_0.5_85	1569	327	6955	1242	330	49.77168949771689	15.15188483591558	20.84130019120459	29.38005390835579	58.155722161491106
micfunpred_0.6_96	1124	270	7325	854	273	49.72375690607735	10.441374251130945	24.02135231316726	32.39352129574085	60.2141507551622
micfunpred_0.6_95	1239	287	7231	952	290	49.74003466204506	11.633875106928999	23.163841807909606	31.6079295154185	59.6539857889435
micfunpred_0.75_85	1257	311	7239	946	314	49.76	11.557727550397068	24.741447891805887	33.04994686503719	60.292079698584
micfunpred_0.7_80	1340	315	7158	1025	318	49.763033175355446	12.525968471220825	23.507462686567166	31.931069437404965	59.62692556479241
micfunpred_0.85_85	1110	298	7370	812	301	49.74958263772955	9.924223906135419	26.846846846846844	34.87419543592745	61.461488864695745
micfunpred_0.95_98	843	234	7563	609	237	49.681528662420384	7.452276064610866	27.75800711743772	35.61643835616439	62.3597727894881
micfunpred_0.9_95	962	245	7460	717	248	49.69574036511156	8.768497003791122	25.467775467775468	33.67697594501718	61.12516951904601
micfunpred_0.75_75	1272	311	7224	961	314	49.76	11.740989615149664	24.449685534591197	32.788613600421726	60.142062188892844
micfunpred_0.85_97	873	213	7517	660	216	49.65034965034965	8.071419836125719	24.398625429553263	32.71889400921659	60.80270079184892
micfunpred_0.7_96	1060	259	7382	801	262	49.71209213051823	9.788586093119884	24.433962264150942	32.764073371284	60.503218704027326
micfunpred_0.8_75	1219	308	7273	911	311	49.75767366720517	11.131476050830889	25.26661197703035	33.51468988030468	60.58293679020294
micfunpred_0.8_100	1391	417	7202	974	420	49.82078853046595	11.912915851272016	29.9784327821711	37.432675044883304	62.23403402425269
micfunpred_0.8_90	1189	305	7300	884	308	49.7553017944535	10.801564027370478	25.651808242220355	33.85127635960045	60.80171905276107
micfunpred_0.95_100	1299	424	7297	875	427	49.82373678025852	10.70729319627998	32.640492686682066	39.44186046511628	63.5561344842007
micfunpred_0.5_90	1508	331	7017	1177	334	49.774436090225564	14.364168904076152	21.949602122015914	30.464795213989873	58.703001305872604
micfunpred_0.85_100	1364	420	7231	944	423	49.8220640569395	11.547400611620795	30.791788856304986	38.060715903942004	62.632633388173396
micfunpred_0.8_99	916	228	7488	688	231	49.673202614379086	8.414872798434441	24.890829694323145	33.16363636363637	60.94910703526884
micfunpred_0.9_100	1369	430	7233	939	433	49.826187717265356	11.490455212922173	31.40978816654492	38.53046594982079	62.88073546078354
micfunpred_0.75_96	1106	251	7330	855	254	49.7029702970297	10.445937690897985	22.694394213381557	31.160769708255746	59.672619047619044
micfunpred_0.85_75	1110	299	7371	811	302	49.750415973377706	9.9120019555121	26.936936936936938	34.95032144944477	61.50052894025264
micfunpred_0.9_75	1033	277	7422	756	280	49.730700179533216	9.244314013206163	26.815101645692156	34.84276729559748	61.589841137050186
micfunpred_0.5_80	1568	327	6957	1241	330	49.77168949771689	15.137838497194437	20.85459183673469	29.393258426966284	58.16298961947892
micfunpred_0.75_97	977	224	7430	753	227	49.667405764966745	9.202004154955395	22.92732855680655	31.372549019607845	59.98136050407913
micfunpred_0.9_98	847	228	7553	619	231	49.673202614379086	7.574645129711209	26.9185360094451	34.91577335375191	61.975455055082264
micfunpred_0.9_85	1035	278	7421	757	281	49.73166368515206	9.25654194179506	26.859903381642514	34.88080301129235	61.60575018471894
micfunpred_1_85	1489	319	7006	1170	322	49.765990639625585	14.31017612524462	21.42377434519812	29.95305164319248	58.51483477085233
micfunpred_0.6_99	883	225	7519	658	228	49.668874172185426	8.046960988137458	25.481313703284258	33.68263473053892	61.269119482337885
micfunpred_1_99	1062	309	7418	753	312	49.75845410628019	9.215518296414148	29.09604519774011	36.72014260249554	62.52991134401883
micfunpred_0.95_95	909	246	7512	663	249	49.696969696969695	8.110091743119266	27.062706270627064	35.04273504273504	61.927178415560924
micfunpred_1_98	1189	330	7312	859	333	49.7737556561086	10.512789132297149	27.754415475189237	35.63714902807776	61.69931368919698
micfunpred_0.8_80	1219	308	7273	911	311	49.75767366720517	11.131476050830889	25.26661197703035	33.51468988030468	60.58293679020294
micfunpred_1_90	1292	316	7198	976	319	49.76377952755905	11.940298507462686	24.458204334365323	32.7970939283861	60.10724504333006
micfunpred_0.8_97	956	221	7443	735	224	49.66292134831461	8.987527512839325	23.117154811715483	31.54889364739472	60.09777135394696
micfunpred_0.6_80	1426	320	7078	1106	323	49.766718506998444	13.514173998044965	22.44039270687237	30.932817786370226	59.03805880445632
micfunpred_1_97	1209	320	7284	889	323	49.766718506998444	10.877278844977365	26.468155500413566	34.55723542116631	61.11103318598962
micfunpred_0.95_80	1042	282	7416	760	285	49.735449735449734	9.295499021526417	27.06333973128599	35.05282784338098	61.6812608278557
micfunpred_0.7_90	1298	307	7192	991	310	49.75688816855753	12.110472931687646	23.651771956856702	32.06266318537859	59.75977027594901
micfunpred_0.7_95	1128	280	7335	848	283	49.733570159857905	10.362947574239277	24.822695035460992	33.11649911295092	60.553904619331966
micfunpred_0.9_80	1033	277	7422	756	280	49.730700179533216	9.244314013206163	26.815101645692156	34.84276729559748	61.589841137050186
micfunpred_0.75_100	1391	418	7204	973	421	49.82121573301549	11.899229546288371	30.050323508267436	37.48878923766816	62.2645060164288
micfunpred_0.95_97	898	256	7532	642	259	49.70873786407767	7.854171764130169	28.507795100222715	36.2349610757254	62.59172324642762
