Combination	Total	TP	TN	FP	FN	Recall	FPR	Precision	F1score	Balanced_accuracy
micfunpred_0.85_99	2121	718	5408	1403	745	49.077238550922765	20.599030979298195	33.85195662423385	40.06696428571428	60.87202089297179
micfunpred_0.5_85	5009	1628	3560	3381	1655	49.58879074017667	48.710560437977236	32.50149730485127	39.266763145200194	50.38305929480339
micfunpred_0.6_96	3916	1406	4385	2510	1433	49.52448045086298	36.403190717911535	35.90398365679264	41.628423390081416	55.63676322750254
micfunpred_0.6_95	4463	1534	3967	2929	1561	49.56381260096931	42.47389791183295	34.371498991709615	40.5927494046044	53.066719105116746
micfunpred_0.75_85	4602	1585	3850	3017	1612	49.577729121050986	43.934760448521914	34.44154715341156	40.646236697012434	52.464274125955136
micfunpred_0.7_80	4672	1555	3775	3117	1582	49.56965253426841	45.22634939059779	33.2833904109589	39.82584197720578	51.875968119423824
micfunpred_0.85_85	4473	1572	3956	2901	1599	49.57426679280984	42.3071313985708	35.14419852448022	41.13029827315542	53.17966001831571
micfunpred_0.95_98	2872	1136	5069	1736	1163	49.412788168769026	25.510653930933135	39.55431754874652	43.93734287371881	60.44628586038097
micfunpred_0.9_95	3911	1463	4381	2448	1490	49.54283779207586	35.84712256552936	37.40731270774738	42.62820512820513	56.01416563678971
micfunpred_0.75_75	4584	1583	3868	3001	1610	49.57720012527403	43.68903770563401	34.533158813263526	40.70978526424071	52.57143519341526
micfunpred_0.85_97	3133	1105	4797	2028	1132	49.39651318730442	29.714285714285715	35.26970954356847	41.154562383612664	58.08855691379806
micfunpred_0.7_96	3780	1392	4470	2388	1419	49.51974386339381	34.820647419072614	36.82539682539683	42.23941738734638	56.36481252375292
micfunpred_0.8_75	4573	1592	3885	2981	1619	49.5795702273435	43.41683658607632	34.81303301989941	40.90441932168551	52.69903104483342
micfunpred_0.8_100	1719	555	5642	1164	582	48.812664907651715	17.102556567734354	32.28621291448517	38.865546218487395	61.467656585777284
micfunpred_0.8_90	4218	1610	4231	2608	1637	49.58423159839852	38.13423015060681	38.16974869606449	43.13462826523778	55.1363399240377
micfunpred_0.95_100	1595	613	5813	982	640	48.922585794094175	14.451802796173657	38.43260188087774	43.04775280898876	64.25736711121216
micfunpred_0.5_90	4640	1622	3884	3018	1649	49.58728217670437	43.72645609968126	34.956896551724135	41.0061939072178	52.57694818549518
micfunpred_0.85_100	1733	586	5656	1147	613	48.87406171809842	16.86020873144201	33.81419503750721	39.972714870395635	62.01796049530489
micfunpred_0.8_99	2135	680	5363	1455	707	49.02667627974044	21.34056908184218	31.85011709601874	38.614423622941516	60.10133531901432
micfunpred_0.9_100	1712	598	5685	1114	625	48.896156991005725	16.38476246506839	34.929906542056074	40.749574105621804	62.51249685264453
micfunpred_0.75_96	3644	1376	4581	2268	1403	49.51421374595178	33.11432325886991	37.76070252469814	42.8460221080492	57.15742345486243
micfunpred_0.85_75	4463	1554	3951	2909	1581	49.569377990430624	42.40524781341108	34.81962805287923	40.905501447749415	53.12022617394504
micfunpred_0.9_75	4291	1523	4083	2768	1550	49.56068987959649	40.40286089621953	35.49289209974365	41.363389462248776	53.98823550486917
micfunpred_0.5_80	4962	1601	3592	3361	1628	49.58191390523382	48.338846541061415	32.2652156388553	39.09168599682579	50.53873808762689
micfunpred_0.75_97	3254	1130	4707	2124	1157	49.40970703979012	31.0935441370224	34.726490473263674	40.786861577332616	57.49796556405339
micfunpred_0.9_98	2885	1088	5012	1797	1115	49.387199273717656	26.391540608018797	37.712305025996535	42.76729559748427	59.75708282146896
micfunpred_0.9_85	4288	1520	4079	2768	1547	49.5598304532116	40.42646414488097	35.44776119402985	41.33242692046227	53.97521369335335
micfunpred_1_85	4144	1520	4212	2624	1547	49.5598304532116	38.38502047981275	36.67953667953668	42.15781445014561	54.90861709823335
micfunpred_0.6_99	2311	673	5202	1638	700	49.016751638747266	23.94736842105263	29.121592384249244	36.53637350705755	58.630603037261864
micfunpred_1_99	1847	839	5791	1008	866	49.20821114369501	14.825709663185762	45.42501353546291	47.240990990990994	66.20807534216439
micfunpred_0.95_95	3830	1429	4425	2401	1456	49.53206239168111	35.17433343099912	37.31070496083551	42.561429635145196	56.276505345576744
micfunpred_1_98	2706	1201	5299	1505	1228	49.44421572663648	22.11934156378601	44.382852919438285	46.77702044790652	62.78434816953988
micfunpred_0.8_80	4567	1594	3892	2973	1621	49.5800933125972	43.30662782228696	34.902561856798776	40.966332562323316	52.74966656235549
micfunpred_1_90	3913	1581	4486	2332	1608	49.576669802445906	34.20357876210032	40.403782264247376	44.52266967051534	57.008586242067906
micfunpred_0.8_97	3210	1114	4733	2096	1141	49.40133037694013	30.69263435349246	34.70404984423676	40.768526989935964	57.639733468253894
micfunpred_0.6_80	4840	1568	3664	3272	1595	49.57319000948467	47.174163783160324	32.396694214876035	39.185305510433594	51.033867168286086
micfunpred_1_97	3475	1348	4681	2127	1375	49.50422328314359	31.24265569917744	38.79136690647482	43.49790254920942	58.04330564610398
micfunpred_0.95_80	4215	1501	4131	2714	1528	49.55430835259161	39.649379108838566	35.61091340450771	41.44119271120928	54.30483821842279
micfunpred_0.7_90	4380	1601	4075	2779	1628	49.58191390523382	40.54566676393347	36.55251141552511	42.0817453016165	54.00306615840257
micfunpred_0.7_95	4274	1509	4095	2765	1536	49.556650246305416	40.30612244897959	35.30650444548432	41.23514141276131	54.014466927057555
micfunpred_0.9_80	4293	1527	4084	2766	1554	49.5618305744888	40.379562043795616	35.569531795946894	41.415785191212365	54.00328310265595
micfunpred_0.75_100	1770	571	5608	1199	598	48.84516680923866	17.614220655207873	32.259887005649716	38.85675399795849	61.31202535909299
micfunpred_0.95_97	3081	1183	4910	1898	1210	49.435854575846214	27.87896592244418	38.39662447257383	43.222506393861885	59.31269132125424
micfunpred_0.9_97	3042	1107	4876	1935	1134	49.39759036144578	28.40992512112759	36.3905325443787	41.90800681431005	58.76099006586656
micfunpred_0.9_96	3322	1290	4793	2032	1317	49.48216340621404	29.77289377289377	38.83202889825406	43.51492663180975	58.63860037384061
micfunpred_0.6_75	4833	1567	3670	3266	1594	49.57291996203733	47.0876585928489	32.422925719015105	39.20440330247686	51.07088535190877
micfunpred_0.7_75	4671	1549	3770	3122	1576	49.568	45.29889727219965	33.16206379790195	39.73832734735762	51.84103938118068
micfunpred_0.6_97	3492	1184	4541	2308	1211	49.436325678496864	33.69835012410571	33.90607101947308	40.224222863937484	56.42626221349176
micfunpred_0.7_97	3363	1144	4622	2219	1171	49.41684665226782	32.436778248794035	34.01724650609575	40.29587883057415	56.90159753235048
micfunpred_1_95	3770	1456	4505	2314	1483	49.540660088465465	33.934594515324825	38.62068965517241	43.404382173200176	56.92724529518808
micfunpred_1_75	4100	1476	4215	2624	1503	49.546827794561935	38.36818248281912	36.0	41.70080519847436	54.85729275970619
micfunpred_0.7_98	3188	1095	4743	2093	1122	49.39106901217862	30.617320070216504	34.34755332496863	40.51803885291397	57.60855927117997
micfunpred_0.6_85	4895	1593	3627	3302	1620	49.57983193277311	47.65478424015009	32.54341164453524	39.29452392698569	50.83431302638426
micfunpred_0.8_96	3557	1347	4634	2210	1374	49.50385887541346	32.29105786090006	37.86899072251897	42.911755336094295	57.4997416994752
micfunpred_0.85_80	4465	1559	3953	2906	1586	49.570747217806044	42.36769208339408	34.91601343784995	40.97240473061761	53.14134306122502
micfunpred_0.85_98	2940	1075	4951	1865	1102	49.37988056959118	27.362089201877932	36.564625850340136	42.016806722689076	59.17938875533692
micfunpred_0.7_85	4730	1573	3730	3157	1600	49.57453514024582	45.83998838391172	33.25581395348837	39.80766797418702	51.61852611370479
micfunpred_0.75_99	2158	673	5337	1485	700	49.016751638747266	21.767810026385224	31.18628359592215	38.119512885868026	59.795560217705976
micfunpred_0.9_90	4039	1562	4348	2477	1589	49.57156458267217	36.29304029304029	38.672938846249075	43.44923504867872	55.95428987116227
micfunpred_0.95_99	1922	732	5609	1190	759	49.094567404426556	17.502573907927637	38.08532778355879	42.89481394667447	63.083178967156286
micfunpred_1_80	4083	1472	4226	2611	1499	49.545607539548975	38.18926429720638	36.05192260592702	41.735185710235335	54.93425824619494
micfunpred_0.95_96	3282	1293	4833	1989	1320	49.48335246842709	29.155672823218996	39.39670932358318	43.8676844783715	58.97187977149417
micfunpred_0.7_100	1907	594	5506	1313	621	48.888888888888886	19.25502273060566	31.14840062926062	38.05253042921205	60.506467329482604
micfunpred_0.8_98	3006	1066	4882	1940	1093	49.37471051412691	28.437408384637937	35.462408516300734	41.27783155856728	58.58476074350602
micfunpred_0.85_96	3476	1333	4695	2143	1360	49.498700334199775	31.339572974553963	38.348676639815885	43.21608040201005	57.94395021090711
micfunpred_0.75_95	4155	1492	4185	2663	1519	49.55164397210229	38.887266355140184	35.90854392298436	41.641082891431765	54.63905457018783
micfunpred_0.95_90	3988	1556	4392	2432	1583	49.56992672825741	35.63892145369285	39.01705115346038	43.66493615827136	56.26166365204399
micfunpred_0.5_99	2395	699	5151	1696	726	49.05263157894737	24.769972250620707	29.18580375782881	36.596858638743456	58.416281154054786
micfunpred_0.8_95	4075	1464	4234	2611	1491	49.54314720812183	38.14463111760409	35.92638036809816	41.65007112375533	54.94135612291371
micfunpred_0.75_98	3058	1062	4830	1996	1089	49.37238493723849	29.241136829768532	34.72858077174624	40.77558072566711	58.16510133366835
micfunpred_0.5_96	4024	1429	4312	2595	1456	49.53206239168111	37.570580570435794	35.51192842942346	41.36633376754958	55.13460499141076
micfunpred_1_96	3453	1341	4706	2112	1368	49.501661129568106	30.976826048694633	38.83579496090356	43.524829600778965	58.15678454005007
micfunpred_0.6_90	4563	1613	3941	2950	1640	49.584998462957266	42.80946161660136	35.349550734166115	41.27430910951894	52.982067966975556
micfunpred_0.9_99	1987	701	5517	1286	728	49.055283414975506	18.903424959576657	35.279315551082036	41.04215456674473	61.810994845196745
micfunpred_0.85_90	4179	1598	4255	2581	1625	49.581135587961526	37.75599765944997	38.238813113184975	43.17751958930019	55.301379345708135
micfunpred_0.5_75	4956	1597	3594	3359	1624	49.58087550450171	48.310081979001865	32.223567393058914	39.060780237250825	50.5502658736088
micfunpred_0.5_98	3295	1078	4631	2217	1105	49.381584974805314	32.37441588785047	32.716236722306526	39.35742971887551	56.72597052293848
micfunpred_0.95_75	4208	1497	4135	2711	1524	49.55312810327706	39.599766286882854	35.575095057034225	41.41651680730392	54.3222709778898
micfunpred_0.75_80	4572	1583	3879	2989	1610	49.57720012527403	43.520675596971465	34.62379702537183	40.77269800386349	52.64620348626945
micfunpred_0.5_100	2033	623	5420	1410	650	48.93951296150825	20.644216691068813	30.644367929168716	37.68905021173624	59.96798297611649
micfunpred_0.5_95	4535	1541	3911	2994	1568	49.56577677709875	43.359884141926145	33.98015435501654	40.31920460491889	52.680896670116404
micfunpred_0.8_85	4540	1585	3907	2955	1612	49.577729121050986	43.06324686680268	34.91189427312775	40.97195295334109	52.85185219182751
micfunpred_0.95_85	4218	1513	4139	2705	1540	49.55781198820832	39.52367036820573	35.87008060692271	41.61738412873058	54.37631517579803
micfunpred_0.6_98	3223	1078	4694	2145	1105	49.381584974805314	31.364234537213044	33.44709897610921	39.881613022567514	57.19604474585768
micfunpred_0.6_100	1954	607	5475	1347	634	48.91216760676873	19.744942832014072	31.064483111566016	37.996870109546165	60.34317624231108
micfunpred_1_100	1434	634	5993	800	661	48.95752895752896	11.77682908876785	44.21199442119944	46.463906192744595	67.1390600299565
micfunpred_0.75_90	4239	1606	4209	2633	1633	49.58320469280642	38.48289973691903	37.88629393724935	42.95266113934207	54.96676901586876
micfunpred_0.85_95	4040	1470	4271	2570	1497	49.54499494438827	37.567607074989034	36.386138613861384	41.95804195804196	55.216300929676876
micfunpred_0.5_97	3578	1213	4493	2365	1240	49.449653485527925	34.48527267424905	33.90162101732812	40.225501575194826	56.13622826551039
micfunpred_0.7_99	2287	688	5235	1599	715	49.03777619387028	23.397717295873573	30.083078268473983	37.289972899729	59.03313577289245
