	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99	sample_100
2512047019	0.0	0.0	801.982523006152	0.0	484.1505319146901	843.8228053236866	0.0	0.0	0.0	0.0	0.0	259.9272803626962	174.86599612223904	0.0	0.0	0.0	0.0	11.25063660356914	0.0	1764.308358113294	2142.1892728836715	358.2553174885534	0.0	690.0789809787406	0.0	0.0	281.99115968739665	0.0	482.73786809923774	0.0	0.0	0.0	0.0	0.0	0.0	6235.817676381189	10.253645226914893	474.7256242105706	0.0	1110.5563452754352	213.0	0.0	556.4063243477631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	696.0	0.0	0.0	144.34818667625024	0.0	503.0	4390.614525891126	97.4755907699458	0.0	1437.1082041637064	0.0	2096.066632647171	0.0	0.0	296.73501678515527	0.0	68.05713364842266	0.0	0.0	0.0	0.0	323.6064845174674	0.0	458.02650347471723	84.85555139225096	84.0	0.0	654.0696751379473	512.0	375.20393443232166	0.0	97.0	0.0	306.919680205728	0.0	0.0	904.4680550797656	0.0	0.0	0.0	0.0	0.0	452.23080254637	340.85582238722856	0.0	1507.9544031389398	0.0	0.0	0.0	0.0
2574180436	0.0	0.0	0.0	715.0	0.0	0.0	1620.667437973619	0.0	0.0	342.0	208.5264536909277	163.55447074148938	0.0	0.0	224.48667299739904	0.0	767.424053466937	672.105987888205	0.0	0.0	1023.4935915020095	186.85770047471982	0.0	0.0	1920.707395781972	342.605333482899	206.0	0.0	0.0	0.0	0.0	643.6939211917669	0.0	0.0	0.0	7792.603865993019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	999.0	520.0	0.0	0.0	579.957667573815	1766.7477602684457	433.52263623647343	541.6673166223655	0.0	296.0783940028296	17.6883767049997	0.0	249.89299207770193	0.0	137.0047927044612	0.0	0.0	8.32758251775124	397.0	0.0	0.0	40.5794954124069	0.0	1191.020844666176	0.0	0.0	0.0	366.12817092886286	0.0	0.0	0.0	205.0597443542579	0.0	281.48252810021165	0.0	0.0	0.0	158.0	591.6100818856587	0.0	545.579030627824	1292.0689159738586	0.0	0.0	0.0	0.0	0.0	0.0	1304.866431263371	0.0	875.6767832525416	2871.2591666605795	0.0	687.0	0.0	0.0	0.0	360.56330828952207
2574180436_1	0.0	373.0	586.4892395956575	0.0	0.0	1572.0310348017574	0.0	4791.772562228425	500.385009228514	453.29159862163357	398.0	0.0	0.0	479.0145333538227	0.0	0.0	0.0	583.0	0.0	0.0	0.0	557.0	24.0	0.0	0.0	0.0	0.0	469.0	493.75046871698135	0.0	388.0	0.0	98.61158396609756	0.0	0.0	0.0	473.5027990482741	0.0	3699.621145255056	0.0	246.9272456728972	0.0	676.0	982.1159973744418	6.339786445501899	0.0	525.0397588469791	0.0	863.0	0.0	0.0	352.39234143361745	0.0	0.0	0.0	25.406055710069626	787.0	1650.520870984287	0.0	311.0	0.0	0.0	675.5190359405465	0.0	812.0	0.0	0.0	391.542114988581	0.0	422.2442389956217	0.0	0.0	0.0	81.55606036304319	489.0	861.0204711811004	0.0	630.3800309070404	0.0	72.07869908174257	0.0	0.0	0.0	0.0	157.0	0.0	25.509618458403935	21.255400696479803	0.0	0.0	0.0	128.9251368334043	0.0	199.0	0.0	803.8953322792158	0.0	248.61053577722845	1565.0157886841587	0.0	76.6798914444726
2574180436_2	0.0	0.0	0.0	0.0	753.0	2040.8749015317774	0.0	0.0	0.0	469.22981823702827	2681.0864832735406	0.0	0.0	0.0	1063.427006896684	249.98687373504652	157.57018706086544	0.0	79.96955213791001	0.0	0.0	0.0	182.0	0.0	437.3086769635778	0.0	1407.0126283260392	1.436899627891318	311.7139114217484	0.0	2725.774508377983	0.0	4566.793705749199	998.0	0.0	175.03074451225768	55.34571151506872	0.0	432.46724094104	123.09915990177151	85.98826314047757	0.0	0.0	1200.7698416419862	0.0	270.89427541311267	544.0	325.0526923793743	0.0	0.0	0.0	0.0	0.0	571.2938942864633	0.0	541.9168069525186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3147.4857944369214	324.9303225569585	0.0	1096.4190182392272	418.5018263305139	21.303051504773993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2170.4107200472895	0.0	654.0	0.0	0.0	0.0	0.0	2934.972100100927	540.4770534421275	189.1457470938901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2574180436_3	0.0	0.0	328.8462056131	0.0	286.5704327030689	1133.1557840929618	0.0	0.0	0.0	337.070326045046	149.14534666707567	38.66700347864728	0.0	0.0	1821.359382766532	601.3126757806501	0.0	773.0	0.0	0.0	0.0	0.0	746.0	2096.8832805603656	905.4507891927619	0.0	17.911126346627125	382.0110698160085	531.4493995279635	0.0	974.0	0.0	0.0	64.6565104529191	0.0	226.03988555171924	0.0	724.3102564284283	0.0	0.0	0.0	0.0	0.0	520.4524034148337	0.0	0.0	0.0	0.0	0.0	0.0	503.28503918558397	0.0	0.0	50.58685247275134	0.0	4.313287759329401	0.0	231.65942921402387	0.0	0.0	0.0	134.24640802964583	778.0	485.72060062142907	0.0	259.6202801500038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	540.337055530915	2550.252096245557	288.0	687.0	1707.9711232556078	0.0	0.0	0.0	0.0	0.0	303.07941644991024	0.0	86.06816271294952	709.5575573643497	0.0	0.0	0.0	0.0	0.0	61.612278497495026	334.4425310447748	0.0	0.0	0.0	575.2030001314246	0.0	0.0	0.0
2576861825	0.0	0.0	572.0	0.0	0.0	0.0	158.01781562556303	0.0	58.58185768722289	0.0	0.0	1456.1217636926776	23.18686496213895	71.92770144217265	169.35600116322442	76.82096673970122	0.0	1644.023791593423	0.0	615.7571782680063	203.0	0.0	0.0	245.95874578448004	139.0	0.0	0.0	39.944920637366394	0.0	353.24723656566925	0.0	0.0	1795.9254385282713	964.0	506.60707980272923	3499.8686287047653	603.919106916188	0.0	977.0	146.0820815916546	1459.536267544468	4828.613671693753	94.33316963099061	0.0	0.0	219.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	428.0	0.0	0.0	0.0	466.7423216347341	0.0	993.9651283779506	622.0	928.0	723.8362736158662	63.563931983427345	0.0	0.0	0.0	809.0	303.40304870637135	0.0	1313.7054195426906	663.8644992440468	0.0	0.0	0.0	0.0	0.0	236.92422237021952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	351.96517873150293	0.0	0.0	0.0	85.0	439.2894755555835	0.0	713.0	0.0	88.75540072097509	180.9199418647706	0.0	0.0
2576861825_1	0.0	0.0	0.0	670.0	0.0	0.0	0.0	582.0795800035061	0.0	0.0	0.0	514.9292037978439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	503.46694147356305	387.170829940239	124.10622672637561	0.0	245.4517935807019	179.71028394418482	0.0	0.0	1156.2852678094216	0.0	0.0	0.0	0.0	959.0	618.8769041243994	249.84115210174164	176.9365323875766	0.0	295.2400755465428	0.0	0.0	17.65492322477731	40.61697657870219	1036.487283329573	158.88828583343033	0.0	0.0	0.0	0.0	712.7697557253177	0.0	0.0	945.2071308170854	0.0	0.0	0.0	463.0	131.74724148985507	42.84917104606537	981.0	0.0	1244.6707397426167	148.0	9.569018958191455	0.0	0.0	0.0	246.24119439871234	0.0	177.0	56.0	66.53396048837226	0.0	0.0	84.14177007760377	0.0	39.581360662676836	0.0	0.0	2.886066127105344	329.3710248458501	928.0	0.0	519.0819405021618	1071.0434268863542	0.0	0.0	0.0	651.9472363063439	0.0	0.0	0.0	219.00061857274272	0.0	345.0	0.0	0.0	0.0	0.0	2189.2056634776345	64.97638185661721
2576861825_2	64.85327826811084	0.0	0.0	55.0	0.0	553.640414598827	519.5272901139784	0.0	0.0	0.0	0.0	383.7974653060548	0.0	2601.2525487855846	1131.5018573738432	0.0	2818.381572992041	0.0	0.0	0.0	135.52462486991195	0.0	0.0	551.6065336069614	447.8228878228308	1586.2659700695378	1330.8532534868784	0.0	0.0	360.73218882491034	945.069889074758	46.83207620897991	0.0	0.0	662.5630048499868	131.07180630573544	0.0	393.782017294949	861.2652414368301	0.0	951.0	80.72101523479762	0.0	0.0	865.4761481246042	0.0	0.0	389.9147981593146	0.0	1310.8666136254099	231.0	323.1198494529397	631.0	0.0	0.0	0.0	0.0	91.97089836413276	301.39085115466895	2088.622551917217	0.0	0.0	0.0	44.52665489900973	1385.0625577469689	0.0	0.0	150.97128346532313	575.0	611.0	529.2208460653343	0.0	0.0	593.0	307.9505158275948	161.39260956083854	0.0	0.0	0.0	2395.552022104834	0.0	111.91358365560805	0.0	0.0	0.0	0.0	0.0	425.30084687075976	0.0	731.0	0.0	0.0	825.0	0.0	248.25700648706714	551.0	0.0	0.0	40.518169425703626	0.0	0.0
2576861825_3	0.0	0.0	5618.584585540208	0.0	0.0	0.0	192.85317145211027	68.6531480850978	617.0	0.0	985.4329761631486	125.97273460587864	0.0	0.0	0.0	0.0	37.45750963764573	0.0	0.0	162.07676650930654	0.0	0.0	161.53114574456072	0.0	6545.356122239934	1530.9930783420439	846.0	0.0	0.0	994.9118019147172	195.05970099228242	1367.9416539228514	0.0	0.0	98.54022366014848	0.0	0.0	722.7951160569438	292.18060817608995	0.0	0.0	0.0	0.0	0.0	0.0	65.35378726628468	284.173236321602	0.0	0.0	118.0	0.0	0.0	0.0	565.0	0.0	1.2599530064270081	397.80835068945396	0.0	0.0	200.71747056442175	1352.6764132978483	0.0	491.8273748807668	611.9665853280659	133.87161534571422	89.80577571952956	0.0	264.9970177184024	0.0	0.0	0.0	0.0	0.0	0.0	975.0	0.0	101.27544497641959	933.0	122.42155948740552	0.0	312.0	0.0	577.5693046267209	450.3751350399765	0.0	0.0	0.0	101.37976437405906	100.72321182321913	0.0	0.0	0.0	1084.7792635273051	0.0	0.0	0.0	0.0	0.0	0.0	906.0	0.0
2576861825_4	858.0186146931895	0.0	0.0	0.0	1843.4605885250403	0.0	4424.587733452814	0.0	133.0	552.3185036051766	0.0	2850.1947729759436	0.0	335.33013346122146	0.0	0.0	0.0	96.55033952944935	0.0	0.0	3103.0664083364386	0.0	963.557182614216	327.73425690399455	0.0	322.0	0.0	551.1457635522956	0.0	1991.9817332854211	3.2328065685040897	0.0	0.0	0.0	308.75502351341	261.36691188303865	0.0	953.0	0.0	0.0	281.0	0.0	0.0	0.0	0.0	25.38116711087967	1244.9328392402483	63.23570417443064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	498.44374015794057	0.0	21077.510515409387	0.0	0.0	0.0	0.0	813.0	0.0	0.0	267.0	704.0	0.0	415.59887093876785	203.0	0.0	0.0	0.0	0.0	129.151348407071	0.0	0.0	0.0	317.6258077070816	0.0	0.0	1907.456482220481	832.0	35.069556297371435	703.2854360020672	198.4391180741373	1304.6589449031533	0.0	355.48616824163963	0.0	0.0	0.0	0.0	259.0	235.0	0.0	0.0
