	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99	sample_100
2836932131	3190.8513270506774	0.0	0.0	0.0	446.2323634567553	192.2534359194851	0.0	0.0	186.026131006144	510.0	0.0	118.62029013887314	0.0	0.0	0.0	0.0	0.0	174.03940600986476	1724.288612280305	475.3952945003692	153.86423087422452	1308.7009845177724	65.22640297371986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1219.097321017583	708.7166012152527	768.0	0.0	1132.002957329168	175.04765685971694	0.0	7533.428879827249	0.0	0.0	643.1829381570329	238.63983115024664	0.0	813.0	146.77837404075353	1142.373034394469	0.0	1877.918875907119	0.0	0.0	0.0	14.037097271160569	0.0	3.2621091776018902	960.5265177324679	836.0	0.0	0.0	0.0	0.0	0.0	418.0	0.0	0.0	987.2083748142775	0.0	0.0	2222.4126635879556	31.791018071003553	0.0	859.7753802333709	235.0	0.0	29.342644295118113	0.0	0.0	0.0	236.55221777941645	0.0	649.0	432.18396552618	120.0	0.0	0.0	0.0	0.0	822.5858852266954	0.0	0.0	1144.0217501931122	1310.2567791973818	0.0	461.8988317257556	0.0	0.0	0.0	0.0	0.0	0.0	722.1696216690118
2836932131_1	156.8192357732211	0.0	0.0	1111.2588156683223	1.113354328042209	0.0	0.0	0.0	0.0	446.7484264260722	0.0	0.0	0.0	322.8616810543396	0.0	0.0	523.2995884392612	0.0	0.0	733.0	0.0	0.0	0.0	0.0	550.3524760133547	195.39586466458718	0.0	127.27118408406952	1085.9720009920627	0.0	870.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	439.43999625769953	0.0	0.0	676.0434358740994	205.0	1932.6563961910365	455.160141006468	0.0	0.0	0.0	0.0	0.0	9240.868417292859	0.0	0.0	0.0	0.0	0.0	380.8647549497475	0.0	0.0	0.0	1801.5860121959006	0.0	607.4737475361961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	834.1245206179441	0.0	0.0	0.0	136.87688134148243	0.0	532.0	974.0	0.0	0.0	0.0	0.0	0.0	754.9128702992456	0.0	0.0	0.0	0.0	561.0912894676953	0.0	780.0	0.0	0.0	0.0	635.9731753302851	0.0
2836932131_2	80.70779755227275	920.0	0.0	63.455395375136106	1156.0648282074894	0.0	962.0	0.0	316.1341427371002	0.0	371.0	94.763298518891	778.5001338718408	482.49707071395113	362.0	0.0	975.0	0.0	0.0	0.0	0.0	779.0	0.0	0.0	0.0	0.0	0.0	721.6749961521533	479.0707563344757	0.0	1388.678938436869	0.0	0.0	0.0	937.0	0.0	0.0	14.0	0.0	0.0	31.996622835243073	0.34938450452042663	798.8241950101583	501.0	987.4920170504424	445.0	0.0	377.0483405044256	0.0	0.0	911.7919529302341	0.0	0.0	0.0	0.0	0.0	0.0	218.17479851447757	0.0	2345.934488650215	0.0	0.0	2360.585625752199	0.0	546.0	0.0	0.0	0.0	0.0	322.0	0.0	0.0	0.0	0.0	0.0	1403.8957316749984	0.0	43.0	45.71152478722384	561.6491227883462	0.0	0.0	0.0	0.0	0.0	533.6477082459529	2294.4884389709146	429.6556522891528	0.0	246.55396063429836	61.0	0.0	0.0	127.58826998705035	0.0	481.32539201783516	0.0	0.0	617.4280079186786	1857.2955158855411	0.0
2851557663	755.8591397616294	0.0	105.713912317632	0.0	0.0	0.0	0.0	96.31696116610675	0.0	0.0	228.0	0.0	0.0	0.0	0.0	0.0	0.0	162.4081861291978	179.36579506075302	0.0	0.0	0.0	806.75542932318	947.3141744397606	0.0	0.0	647.0	0.0	0.0	906.5748361805557	0.0	801.4958093772774	358.0	552.0	0.0	0.0	380.0040285737052	0.0	514.8933174719972	0.0	244.6220706431327	33.0	1104.339045295859	0.0	210.300088936927	27.0	0.0	0.0	651.0	0.0	0.0	38.0	0.0	155.51935655963274	94.67916942583278	0.0	1180.2668818351212	0.0	0.0	360.0	977.0	0.0	0.0	0.0	893.0	0.0	0.0	1308.5290970980363	45.418489621839484	0.0	0.0	0.0	373.9925652844897	1090.1128650301623	95.90000439108222	2658.8885434628764	0.0	8.080393709445545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290.708736366691	0.0	0.0	0.0	230.72303309645412	0.0	0.0	0.0	0.0	1988.5260047475595	0.0	0.0	0.0	779.8514660583811	77.0	0.0
2851557663_1	0.0	906.0	745.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	863.0	480.0	555.2399254434765	505.34206121071134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	914.8484957475729	0.0	0.0	157.7996708813261	236.40091455105485	0.0	129.38021979311145	0.0	2514.485372903918	0.0	3214.1413217428944	568.5344915689336	713.0	577.0	0.0	622.0867739033146	151.05292503078167	583.780141009373	0.0	0.0	946.0	0.0	0.0	476.81257687351916	27.31484169067346	6057.73954955039	14.0	0.0	376.5148343137703	0.0	935.2929608510494	853.0	153.70478530836692	0.0	389.82504328128516	0.0	0.0	0.0	0.0	284.10017664813535	0.0	343.89222883040526	0.0	307.40584163968015	1293.7039485772377	141.92281713779283	383.1573281181042	0.0	0.0	815.3486565237746	440.63972133839303	0.0	0.0	0.0	0.0	0.0	90.33946526183377	0.0	465.0	0.0	0.0	1988.9403817187506	854.0	0.0	0.0	1398.0519898115808	0.0
2851557663_2	101.9214236871002	3208.6787032543693	788.5933008912233	0.0	393.3253614913686	0.0	0.0	0.0	0.0	349.4689636010989	0.0	0.0	0.0	0.0	420.0	0.0	251.72540160461344	0.0	0.0	0.0	13.662004143048495	0.0	583.956701469244	821.0	0.0	0.0	1235.8271176252642	173.3977408406222	0.0	241.5453082973265	241.50721313603964	0.0	264.0	114.54992911320245	128.37438145738065	0.0	0.0	221.2412647138944	1035.6237798193595	510.0	0.0	0.0	914.0	354.67072727445947	928.9615936621813	0.0	1952.697353263602	737.0	0.0	0.0	0.0	931.0	0.0	0.0	0.0	0.0	0.0	0.0	240.01683437048038	1870.4032017105735	202.17707294323736	1783.0486392670264	0.0	0.0	1113.9923317192422	357.2889314660856	0.0	0.0	91.17545303796744	1228.2934333448122	0.0	0.0	0.0	152.66723844883887	0.0	0.0	0.0	11843.230146438387	713.0	0.0	0.0	33.8529504205127	545.8871506742611	0.0	292.0	0.0	121.36866562179388	15.859535372487816	647.5641886837813	0.0	0.0	23.144287962972367	0.0	188.50535515200005	0.0	0.0	96.3923743184971	2447.5066500618213	1126.1957151200904	0.0	0.0
2851557663_3	0.0	0.0	2016.8496777867267	299.0	830.0	0.0	0.0	994.8432270377568	0.0	0.0	920.9252668647053	0.0	383.24567896306223	0.0	934.7431426854258	0.0	64.57507236159465	0.0	0.0	0.0	290.7257100808005	0.0	168.7578164965207	2687.807678103126	0.0	0.0	246.7982458923665	0.0	236.19673971017662	17.905022236854272	100.04178201211737	3452.477331933887	3100.911680101161	0.0	144.86768684741318	0.0	0.0	0.0	192.41945085508348	0.0	308.45157823890025	0.0	213.81557833336947	0.0	0.0	0.0	0.0	916.4705581776616	166.60184432281446	0.0	2033.5756828053443	0.0	0.0	1265.0759660039325	0.0	0.0	664.0	0.0	0.0	0.0	0.0	503.0	0.0	0.0	991.7246940973909	169.19307651698892	40.03029362719289	0.0	615.0925373222417	254.30502293479088	466.3723175916975	0.0	372.9264030161192	0.0	162.2221986893034	101.0	2079.1384331378886	0.0	632.8006874066798	0.0	0.0	275.45904181210227	0.0	555.6972749591722	34.55106803340303	0.0	129.15125287245465	0.0	0.0	936.1311522583994	0.0	0.0	0.0	483.855360720868	0.0	0.0	291.50401246041645	0.0	0.0	838.292253653402	187.64473860718493
2856096030	0.0	309.4937876127877	837.0	0.0	0.0	0.0	0.0	0.0	1001.7442233089528	1629.6186709847273	0.0	0.0	143.07991787604627	361.0082549316814	156.81877254755207	42.30611342183761	226.35515887996954	123.58356961594144	0.0	885.1974659347198	0.0	0.0	0.0	0.0	0.0	348.3787671964181	0.0	0.0	673.7994128958888	0.0	0.0	0.0	280.068129768029	1452.661262379517	0.0	0.0	2314.8693330187593	0.0	0.0	1942.8557969355868	0.0	19.85650137349744	0.0	0.0	301.0	0.0	0.0	0.0	71.08710016381652	338.0	41.64861609110999	0.0	0.0	0.0	2544.1482753002756	1.0	254.28926402686972	197.0	0.0	430.0	228.0	0.0	956.306729604872	0.0	2013.737359769232	0.0	0.0	724.0	0.0	4274.825761201024	152.29738163422925	1902.4746928090062	341.7087670052831	0.0	0.0	101.89853475017554	714.7644927147845	46.36082142994761	0.0	0.0	0.0	0.0	0.0	472.05716084724617	0.0	0.0	0.0	1314.663989892696	0.0	0.0	915.0	220.108675819889	0.0	74.0	0.0	0.0	388.1983778348775	925.0	0.0	4955.152027073092	0.0
2865715225	178.0	0.0	27.799369241316523	2525.1076417933	0.0	37.667517581773716	0.0	0.0	1690.5398142450526	153.4896967113632	0.0	85.68871836145037	349.0	0.0	0.0	0.0	614.0758570116511	252.0	0.0	117.03138870235406	0.0	0.0	269.0	0.0	88.0	0.0	727.0	472.0	293.0	0.0	0.0	6.493981771666683	0.0	0.0	3597.1223359047335	4.137853422308989	0.0	2001.5257440365383	0.0	0.0	0.0	220.2545374211282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.09467546209969	0.0	0.0	255.36460642860416	0.0	653.0021710400226	419.53425901565674	134.94537470629342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	245.31507644859468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.71977184447445	0.0	549.728798835797	0.0	0.0	0.0	0.0	35.83609084953205	0.0	817.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	408.76777307255105	0.0	430.44559800129093	0.0	181.1694540184606	0.0	0.0	0.0	0.0
2865715225_1	0.0	729.0	324.2218158023185	0.0	0.0	584.1583219478355	410.63933780858804	2081.7166910067494	2315.7099234580633	822.6029589177379	0.0	3569.604237036786	0.0	0.0	269.0549996755807	0.0	0.0	77.90772714804662	556.0	596.9337388306429	0.0	402.3930670471911	0.0	216.2786683916195	1537.429575338792	4752.13015948026	0.0	82.89660321413143	0.0	0.0	1126.2604236802483	0.0	379.06520324783395	0.0	0.0	0.0	868.0929480856386	364.0310530121911	283.93718913170477	272.8070727853735	0.0	697.4585902029373	417.5627633689515	0.0	0.0	0.0	0.0	0.0	473.0	442.0	0.0	134.0923202538796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181.77118585171692	0.0	0.0	0.0	0.0	2364.4927130225465	34.0	0.0	0.0	51.46981556066399	99.20678969936525	110.93726517805477	0.0	0.0	606.3556610108274	0.0	284.0	1242.9267217180975	809.0	0.0	284.49828555688026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1724.2107556282042	294.62810446928256	0.0	1348.923057981793	0.0
