Tool,Data,Percent_identity,Sample,TP,FP,TN,FN,TPR,FPR,Precision,F1_score,BA
MicFunPred,aquatic,97,sample_56,4038,188,4213,4043,49.96906323474818,4.2717564189956825,95.55134879318504,65.62119119200456,73.29045152837547
MicFunPred,aquatic,97,sample_41,3835,115,4414,3840,49.96742671009772,2.539191874586001,97.0886075949367,65.97849462365592,75.28285480304142
MicFunPred,aquatic,97,sample_20,3888,142,4201,3898,49.93578217313126,3.2696292885102465,96.47642679900744,65.80907244414352,74.17351405390549
MicFunPred,aquatic,97,sample_69,4276,253,3991,4282,49.964945080626315,5.961357210179076,94.4137778759108,65.34729120501261,71.32752232366796
MicFunPred,aquatic,97,sample_99,4233,275,3825,4238,49.970487545744305,6.707317073170732,93.8997338065661,65.22844595115185,70.66932616162363
MicFunPred,aquatic,97,sample_94,4377,285,3657,4383,49.965753424657535,7.229832572298325,93.88674388674389,65.22127849798838,69.68590925680478
MicFunPred,aquatic,97,sample_75,4441,292,3581,4449,49.95500562429696,7.539375161373613,93.83055144728502,65.19856125669821,69.21290959661884
MicFunPred,aquatic,97,sample_60,4206,206,4091,4213,49.95842736667063,4.794042355131487,95.33091568449683,65.55997194295067,72.29816497134283
MicFunPred,aquatic,97,sample_2,4409,318,3633,4416,49.960339943342774,8.048595292331056,93.27268880896975,65.06788665879574,69.2043652766429
MicFunPred,aquatic,97,sample_49,4172,244,3875,4178,49.964071856287426,5.923767904831269,94.47463768115942,65.36111546294846,71.29667560203508
MicFunPred,aquatic,97,sample_59,4035,132,4059,4040,49.96904024767802,3.149606299212598,96.83225341972643,65.92060120895279,73.47477592581579
MicFunPred,aquatic,97,sample_73,4266,256,3745,4270,49.976569821930646,6.398400399900026,94.33878814683769,65.33925562873334,70.531839488266
MicFunPred,aquatic,97,sample_3,4116,210,3915,4122,49.96358339402768,5.090909090909091,95.14563106796116,65.52053486150908,71.92891855749683
MicFunPred,aquatic,97,sample_47,4324,242,3684,4331,49.95956094742923,6.164034640855833,94.6999561979851,65.41108841993798,70.3318870197661
MicFunPred,aquatic,97,sample_40,4232,275,3784,4238,49.964580873671785,6.775067750677506,93.89838029731528,65.22308700007707,70.53433101128542
MicFunPred,aquatic,97,sample_31,4294,264,3727,4299,49.97090655184452,6.614883487847657,94.20798595875384,65.30301878184167,70.32228353507091
MicFunPred,aquatic,97,sample_4,4136,204,4155,4144,49.95169082125604,4.6799724707501715,95.2995391705069,65.54675118858952,72.68290610772604
MicFunPred,aquatic,97,sample_95,4428,243,3645,4434,49.966147596479345,6.25,94.79768786127167,65.4400354688539,69.95732889164586
MicFunPred,aquatic,97,sample_100,4271,270,3704,4280,49.947374576072974,6.794162053346755,94.05417308962784,65.24595172624504,70.22347933038506
MicFunPred,aquatic,97,sample_37,4068,130,4021,4076,49.950884086444006,3.131775475788966,96.90328727965698,65.9212445308702,73.28182765860087
MicFunPred,aquatic,97,sample_14,3942,198,4357,3946,49.97464503042596,4.346871569703622,95.21739130434783,65.54705686730962,73.84620016861376
MicFunPred,aquatic,97,sample_22,4406,283,3814,4411,49.971645684473174,6.9074932877715405,93.96459799530817,65.2450762624019,70.16770933200058
MicFunPred,aquatic,97,sample_11,4213,212,3914,4221,49.95257291913683,5.138148327678139,95.2090395480226,65.52609067579127,71.66106556380846
MicFunPred,aquatic,97,sample_53,3955,179,4094,3961,49.962102071753414,4.189094313128949,95.67005321722303,65.64315352697096,73.24781369737624
MicFunPred,aquatic,97,sample_65,4251,176,3884,4257,49.964739069111424,4.334975369458128,96.02439575333183,65.7286432160804,71.86676119812519
MicFunPred,aquatic,97,sample_77,4284,257,3701,4290,49.965010496850944,6.493178372915614,94.34045364457168,65.3297750667175,70.32752878699614
MicFunPred,aquatic,97,sample_61,3846,130,4403,3854,49.94805194805195,2.867857930730201,96.73038229376257,65.8787255909558,75.02741713695032
MicFunPred,aquatic,97,sample_48,4458,261,3609,4464,49.96637525218561,6.744186046511628,94.46916719643991,65.36177699582143,69.58686899398361
MicFunPred,aquatic,97,sample_15,4162,225,3840,4172,49.940004799616034,5.535055350553505,94.87121039434695,65.435107302885,71.39965911629479
MicFunPred,aquatic,97,sample_91,4087,252,4096,4090,49.98165586400881,5.795768169273229,94.19221018667896,65.30840524129115,72.1144290610893
MicFunPred,aquatic,97,sample_89,4293,250,3724,4297,49.976717112922,6.290890790135883,94.49702839533349,65.37729383994518,70.46257728207019
MicFunPred,aquatic,97,sample_86,4099,237,3876,4103,49.97561570348695,5.762217359591539,94.53413284132841,65.38522890413144,71.55582441038723
MicFunPred,aquatic,97,sample_78,4199,261,3865,4203,49.97619614377529,6.325739214735822,94.14798206278027,65.29311149121442,71.02664348552995
MicFunPred,aquatic,97,sample_68,4366,241,3631,4374,49.95423340961098,6.224173553719008,94.76883004124159,65.42294148497788,70.06399028607989
MicFunPred,aquatic,97,sample_29,4061,184,4022,4067,49.9630905511811,4.37470280551593,95.66548881036513,65.64293219106118,72.69366664526169
MicFunPred,aquatic,97,sample_96,4293,248,3738,4298,49.970899778838316,6.221776216758655,94.53864787491742,65.38227231190983,70.52716365871306
MicFunPred,aquatic,97,sample_66,4225,258,3978,4231,49.964522232734154,6.090651558073654,94.24492527325452,65.3064379009197,71.35196683933161
MicFunPred,aquatic,97,sample_44,4053,220,4005,4057,49.97533908754624,5.207100591715976,94.85139246431079,65.46071226681742,72.26444592205866
MicFunPred,aquatic,97,sample_64,4273,217,3973,4278,49.97076365337387,5.178997613365155,95.16703786191538,65.53178437236407,71.65938852252233
MicFunPred,aquatic,97,sample_28,3816,149,4230,3825,49.94110718492344,3.4026033340945423,96.24211853720051,65.759090125797,74.37804250882371
MicFunPred,aquatic,97,sample_62,4260,243,3766,4266,49.96481351161154,6.061361935644799,94.60359760159893,65.39258577020493,70.74552390040107
MicFunPred,aquatic,97,sample_55,4325,228,3754,4331,49.965341959334566,5.725765946760422,94.99231276081704,65.48565372094785,70.71198816766888
MicFunPred,aquatic,97,sample_72,3949,171,4169,3956,49.955724225173945,3.9400921658986174,95.8495145631068,65.67983367983369,73.58014189693802
MicFunPred,aquatic,97,sample_17,4338,279,3737,4348,49.94243610407552,6.947211155378485,93.95711500974659,65.21837179583552,70.08925632985783
MicFunPred,aquatic,97,sample_80,4464,282,3696,4472,49.955237242614146,7.088989441930618,94.05815423514538,65.25361789212104,69.6539546885815
MicFunPred,aquatic,97,sample_45,4192,233,4003,4203,49.93448481238833,5.500472143531634,94.73446327683615,65.3978159126365,71.75792137763328
MicFunPred,aquatic,97,sample_83,3844,133,4277,3851,49.9545159194282,3.015873015873016,96.65577068141815,65.8670322138451,74.63817077377995
MicFunPred,aquatic,97,sample_39,4067,177,4130,4076,49.94473781161734,4.10958904109589,95.82940622054666,65.66561717930088,73.07921688068521
MicFunPred,aquatic,97,sample_21,4131,195,4085,4141,49.939555125725335,4.55607476635514,95.49237170596395,65.58183838704556,72.57599377906998
MicFunPred,aquatic,97,sample_70,3981,198,4068,3988,49.956079809260885,4.641350210970464,95.26202440775306,65.54165294698716,72.8792743687226
MicFunPred,aquatic,97,sample_33,4425,276,3583,4430,49.97176736307171,7.152111946100026,94.12890874282067,65.2847447624668,69.4218735652204
MicFunPred,aquatic,97,sample_30,4037,177,4200,4041,49.97524139638524,4.0438656614119255,95.79971523493118,65.68499837292548,73.38220199314816
MicFunPred,aquatic,97,sample_27,4213,256,3724,4222,49.94665085951393,6.432160804020101,94.27164913850974,65.29758214507129,70.56899849324179
MicFunPred,aquatic,97,sample_87,3926,152,4199,3931,49.968181239658904,3.4934497816593884,96.27268268759195,65.78969417679095,73.96044958487839
MicFunPred,aquatic,97,sample_1,4370,255,3655,4375,49.97141223556318,6.521739130434782,94.48648648648648,65.37023186237846,70.0016492208273
MicFunPred,aquatic,97,sample_5,4119,274,4089,4126,49.95755003032141,6.280082512033005,93.76280446164353,65.18436461465421,71.76880332637867
MicFunPred,aquatic,97,sample_79,4218,251,4014,4227,49.94671403197158,5.885111371629543,94.38353099127322,65.3244540808425,71.54560604896751
MicFunPred,aquatic,97,sample_7,4370,260,3641,4379,49.94856555034861,6.664957703153037,94.38444924406048,65.32625756783018,69.89172586891303
MicFunPred,aquatic,97,sample_38,4156,247,4114,4161,49.96994108452567,5.663838569135519,94.39018850783557,65.34591194968553,72.05310029621386
MicFunPred,aquatic,97,sample_23,4135,155,4004,4143,49.95167914955303,3.7268574176484734,96.38694638694638,65.80203691915976,72.76693581775207
MicFunPred,aquatic,97,sample_67,4255,259,3982,4260,49.97064004697592,6.107050224003772,94.26229508196722,65.3158339089723,71.2879056094136
MicFunPred,aquatic,97,sample_35,4426,295,3604,4433,49.96049215487075,7.566042575019235,93.751323872061,65.1840942562592,69.29696341668247
MicFunPred,aquatic,97,sample_93,4311,252,3705,4317,49.965229485396385,6.368460955269144,94.47731755424064,65.36274732772345,70.33140372850401
MicFunPred,aquatic,97,sample_63,4282,289,3828,4288,49.96499416569428,7.019674520281758,93.67753226865018,65.17007838064073,70.42181196971198
