Sample	Dataset	Tool	Percent_identity	Correlation
sample_0	aquatic	MicFunPred	97	0.8594323338758706
sample_1	aquatic	MicFunPred	97	0.8402200347784
sample_2	aquatic	MicFunPred	97	0.8600755855521424
sample_3	aquatic	MicFunPred	97	0.8751332071614949
sample_4	aquatic	MicFunPred	97	0.8682540639884517
sample_5	aquatic	MicFunPred	97	0.8625775800651599
sample_6	aquatic	MicFunPred	97	0.8719476342467726
sample_7	aquatic	MicFunPred	97	0.8562333519110448
sample_8	aquatic	MicFunPred	97	0.8888633040129365
sample_9	aquatic	MicFunPred	97	0.8688625892230015
sample_10	aquatic	MicFunPred	97	0.8851524364726121
sample_11	aquatic	MicFunPred	97	0.8921974958204648
sample_12	aquatic	MicFunPred	97	0.8739771178417549
sample_13	aquatic	MicFunPred	97	0.869329885634388
sample_14	aquatic	MicFunPred	97	0.8750528454786513
sample_15	aquatic	MicFunPred	97	0.8744598410663376
sample_16	aquatic	MicFunPred	97	0.8800764138859586
sample_17	aquatic	MicFunPred	97	0.8810056126475622
sample_18	aquatic	MicFunPred	97	0.8355932373559372
sample_19	aquatic	MicFunPred	97	0.8793648125845245
sample_20	aquatic	MicFunPred	97	0.8819361729544344
sample_21	aquatic	MicFunPred	97	0.8937726086763446
sample_22	aquatic	MicFunPred	97	0.856055591870625
sample_23	aquatic	MicFunPred	97	0.872874859824911
sample_24	aquatic	MicFunPred	97	0.8585868356753341
sample_25	aquatic	MicFunPred	97	0.8761945613283676
sample_26	aquatic	MicFunPred	97	0.8954616296411056
sample_27	aquatic	MicFunPred	97	0.871715287977664
sample_28	aquatic	MicFunPred	97	0.8971008473775153
sample_29	aquatic	MicFunPred	97	0.8804471295382592
sample_30	aquatic	MicFunPred	97	0.886722993295284
sample_31	aquatic	MicFunPred	97	0.8560732501263137
sample_32	aquatic	MicFunPred	97	0.8661115316254766
sample_33	aquatic	MicFunPred	97	0.8770180525491278
sample_34	aquatic	MicFunPred	97	0.862292132796377
sample_35	aquatic	MicFunPred	97	0.8757857230874863
sample_36	aquatic	MicFunPred	97	0.8621005800716827
sample_37	aquatic	MicFunPred	97	0.8644236228267127
sample_38	aquatic	MicFunPred	97	0.8718461148232085
sample_39	aquatic	MicFunPred	97	0.8771242017344589
sample_40	aquatic	MicFunPred	97	0.8493952394691083
sample_41	aquatic	MicFunPred	97	0.8723415519470703
sample_42	aquatic	MicFunPred	97	0.8757156356180289
sample_43	aquatic	MicFunPred	97	0.8580504773753577
sample_44	aquatic	MicFunPred	97	0.8727993123664273
sample_45	aquatic	MicFunPred	97	0.8830905241727546
sample_46	aquatic	MicFunPred	97	0.8843167964490386
sample_47	aquatic	MicFunPred	97	0.8522291663839504
sample_48	aquatic	MicFunPred	97	0.8600948415594106
sample_49	aquatic	MicFunPred	97	0.8442037611160982
sample_50	aquatic	MicFunPred	97	0.8908999168556969
sample_51	aquatic	MicFunPred	97	0.8607494039036193
sample_52	aquatic	MicFunPred	97	0.8758577926316837
