	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K01545	11.599718059103	-23.1916735332061	2.36099472591237	-9.82284004223855	8.97779238508262e-23	4.69269207968268e-19
K09015	2591.63792112517	-2.40020240138979	0.36623534992592	-6.55371580562961	5.61227291342692e-11	1.46676752592413e-07
K03289	929.094333071554	-1.5199548853861	0.241034446661063	-6.30596541880762	2.8640298230228e-10	4.99009462831339e-07
K05995	1388.95919974024	-2.12783770322931	0.346436480494957	-6.14207170154034	8.14520724823811e-10	1.06437495716351e-06
K02775	952.519887530948	-1.7129866985841	0.289315410395938	-5.92082770924584	3.20325306834051e-09	1.86037819869065e-06
K03305	1719.17073256792	-1.28509609802181	0.215049038751874	-5.97582814357317	2.28924234629336e-09	1.86037819869065e-06
K03811	1308.87795218594	-1.81340037023552	0.304896503447577	-5.9475931987764	2.72113837572696e-09	1.86037819869065e-06
K06891	2500.74041643914	-1.78396049061791	0.298933330793859	-5.96775369906176	2.40542102211846e-09	1.86037819869065e-06
K08223	557.79302153932	-1.52786286775443	0.257209534327675	-5.94014864864223	2.84763747878779e-09	1.86037819869065e-06
K03269	1494.13793608408	-1.7462584406388	0.296002353570639	-5.89947485070271	3.64660350913206e-09	1.90607965422333e-06
K02548	1118.89565594631	-1.50652321546665	0.256138132570523	-5.8816826700017	4.06116401502747e-09	1.92979130059533e-06
K02527	1487.174346386	-1.81147630052242	0.309807743143765	-5.84709821045955	5.00222199575832e-09	2.01127802860221e-06
K18928	1786.70652433632	-1.87809768794992	0.320680902695676	-5.8565934926665	4.72457666837701e-09	2.01127802860221e-06
K05801	845.78547436457	-1.63262041598997	0.280792209463414	-5.81433658401655	6.08748201774622e-09	2.27280489333996e-06
K07322	1777.30303724608	-1.76891091722177	0.30497899077639	-5.800107452381	6.62724392646726e-09	2.30937360024296e-06
K00684	1391.01599690395	-1.68413441432892	0.292243772736658	-5.76277262833759	8.27432324579395e-09	2.70311797536031e-06
