	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K07734	78.7031635962247	-10.1548030161401	0.494900542060659	-20.5188763258526	1.46049143760636e-93	6.16911583244926e-90
K00045	64.684932206242	-8.96568536191074	0.470964066265308	-19.0368777665091	8.44120455432577e-81	1.7827824018736e-77
K13540	152.264420480833	-8.70552229284095	0.462894623662462	-18.806704264487	6.65485940399643e-79	9.37004204082697e-76
K07465	450.911479194437	-6.8218240584209	0.370690232445825	-18.4030315916616	1.24216782698542e-75	1.3117292252966e-72
K06044	48.6290331101853	-8.73440488673192	0.476109220877025	-18.3453806474123	3.59400694283709e-75	3.03621706530877e-72
K03087	271.412397769095	-8.10902356017943	0.447254306964123	-18.1306774108492	1.82497094502932e-73	1.28477954530064e-70
K16237	276.411967761508	-6.22057277393617	0.347200403928678	-17.9163753945805	8.78701603365625e-72	5.30233653230914e-69
K16653	245.413322589213	-8.51107454701192	0.476523262540436	-17.8607745226073	2.38309367057484e-71	1.25827345806351e-68
K06610	135.316174723095	-9.41645179762422	0.527538319596439	-17.8497967784174	2.90090072418229e-71	1.36148940654955e-68
K19270	34.1144956704031	-8.94862180423413	0.502271226767582	-17.8163138307243	5.28034001809001e-71	2.23041562364122e-68
K14339	135.862432037851	-8.53793875723463	0.482243900689898	-17.7046070360253	3.86367923741357e-70	1.48365282716681e-67
K02062	174.698209094989	-4.04062332783088	0.230045089172242	-17.5644841729507	4.60864319449838e-69	1.62224240446343e-66
K18917	292.558629954473	-9.76031161042738	0.556221271542371	-17.5475338858627	6.21193362907058e-69	2.01840058839955e-66
K19051	55.7414750323613	-8.93179421264105	0.519637025694827	-17.1885253955836	3.23660055748916e-66	9.765286253453e-64
K12428	201.339105536358	-8.32256713045114	0.486307302721563	-17.1138024945849	1.17099147235864e-65	3.29751198616193e-63
K10232	37.3092079182217	-9.07765913526412	0.532560261537564	-17.0453182313225	3.78677451314628e-65	9.99708471470618e-63
K01236	82.5930288856629	-9.40958024196756	0.554429517479844	-16.9716437262192	1.33152263851304e-64	3.30844213239945e-62
K05565	185.499584724057	-8.48378783479052	0.501159834870214	-16.9283075867155	2.78266430371234e-64	6.52998556604497e-62
K14337	39.7006702734606	-8.44011775433755	0.499576754014915	-16.8945365982453	4.93576412835998e-64	1.09729829885224e-61
K00697	222.255011365146	-8.29706069506912	0.492166869499983	-16.8582267707262	9.12869433297397e-64	1.9279802431241e-61
K13686	220.003037768658	-8.47778801868921	0.505571242355573	-16.7687307117969	4.13242146329441e-63	8.31207060045504e-61
K16652	262.264260967234	-8.790657951151	0.527386597478187	-16.668337787091	2.22701848763406e-62	4.2758754962574e-60
K04024	751.732141333045	3.27899069398527	0.196951326996103	16.6487362334459	3.09059995595124e-62	5.67595400606001e-60
K14415	388.961175274653	-6.68189617140338	0.401636572049339	-16.6366726448968	3.78049777242427e-62	6.65367607946672e-60
K14136	200.761566549963	-8.4481994062259	0.513193476136002	-16.4620163721392	6.8770892328968e-61	1.16195299679024e-58
K02479	414.319832267336	-6.01482085509707	0.36741215780132	-16.3707725163238	3.09263390710222e-60	5.02434062446145e-58
K12554	352.491861357539	6.96620067098272	0.42631731327477	16.3404123033888	5.09074928355602e-60	7.96419443471875e-58
K18926	216.434268119911	-8.49735932795316	0.522994427809676	-16.2475140768525	2.32606839689236e-59	3.50904032445477e-57
K02228	222.628317847191	-8.85489697592404	0.546961612415735	-16.1892476088315	6.00584426514649e-59	8.74782281930303e-57
K05342	24.7764990482919	-8.48709251900765	0.524336567884787	-16.1863448762409	6.29590773198132e-59	8.8646380866297e-57
K00966	248.301751885738	-8.54530821267749	0.528341448936881	-16.1738365026484	7.714130298601e-59	1.0511124639126e-56
K14682	128.393883753646	-5.53500052460307	0.344179650498639	-16.0817192898653	3.42733583493828e-58	4.52408330211854e-56
K12437	150.839632635425	-8.60135086177749	0.536843878998979	-16.0220712170844	8.96148104091529e-58	1.14706957323716e-55
K03098	280.51462843604	-9.0546352070597	0.567301918083061	-15.9608753618456	2.39350716784912e-57	2.97358066970432e-55
K05569	56.7970136367952	-8.8681649287735	0.557150659784283	-15.9169961895173	4.83015584314277e-57	5.82930808041002e-55
K03579	59.5722896976661	-7.73949362766652	0.487560263977718	-15.8739220553466	9.60468187371028e-57	1.12694933984867e-54
K02660	58.1539207054178	-9.44576406288092	0.6000715163946	-15.7410638645769	7.91024963816724e-56	9.03051201935633e-54
K00803	25.8155597212003	-8.54643948222186	0.545127374086655	-15.6778761964416	2.14300562766689e-55	2.38211993980656e-53
K07399	410.688438834806	-7.94503297589517	0.508171036460895	-15.6345647544723	4.23357634923882e-55	4.58528884594481e-53
K05570	381.278812766576	-6.9271045238916	0.450013158554554	-15.3931154949813	1.820514555977e-53	1.92246337111172e-51
K01055	26.7670243419458	-8.59894570151355	0.561503586391273	-15.3141420819377	6.15182356910703e-53	6.33787872095319e-51
K14393	76.3299876748222	-6.74753421614802	0.44217675763824	-15.2598120538674	1.41655742425379e-52	1.42465203810667e-50
K09695	23.7530037494593	-8.42662525166954	0.557341048451842	-15.11933362001	1.20758417443258e-51	1.18624082623331e-49
K06198	408.142049543617	4.97987256344889	0.33095447357813	15.0470018114841	3.61238743403775e-51	3.46789193667624e-49
K04343	39.8081788415834	-9.1709617354728	0.612564066511625	-14.9714327640842	1.12863300108623e-50	1.05941017701961e-48
K09694	24.3788975158988	-8.4640587903096	0.565624607491699	-14.9640922233636	1.26031889073355e-50	1.15730152053446e-48
K09969	41.6748261639447	-9.05556377100947	0.607564996529438	-14.9046831577479	3.07266698005803e-50	2.76147772846066e-48
K16649	225.828396808394	-8.17630982286304	0.551813487832528	-14.8171619635084	1.13478556844435e-49	9.98611300231028e-48
K00274	23.2389626604134	-8.21227542554519	0.554365065970275	-14.8138400661515	1.19229676310316e-49	1.02780847496892e-47
K06188	1483.50313135727	2.90720132711492	0.196300263204822	14.8099716202699	1.26293629059388e-49	1.06692857829371e-47
K04752	409.608441337726	-5.26665321395626	0.356400857468463	-14.7773303671759	2.05137320484493e-49	1.6990196896598e-47
K00694	29.834927053781	-8.75518600065473	0.592798152573417	-14.7692531811162	2.3126126311797e-49	1.8785530296352e-47
K01959	257.823294686989	-2.87840527213061	0.194926169428217	-14.7666435993377	2.40389703454731e-49	1.91586057998639e-47
K03890	351.896535946813	-7.66321124558356	0.520571111434474	-14.7207770029094	4.74180534791423e-49	3.70914551659068e-47
K09971	29.9843647256676	-8.67074434363292	0.589870794897369	-14.6993958993029	6.50373213332914e-49	4.99486627839678e-47
K15269	346.762321516694	-6.69751778635716	0.458683429004968	-14.6016127089794	2.74279580526769e-48	2.0688516931162e-46
K16907	32.1373782978581	-8.6806255982306	0.59604534429468	-14.5637000294041	4.7799079946168e-48	3.54216339811603e-46
K02274	342.577393996636	-7.53769211867131	0.517947092081529	-14.5530156147393	5.58841645437296e-48	4.06990881090886e-46
K13570	225.511713019764	-6.5748498760394	0.453107900672659	-14.5105610965484	1.03867452406417e-47	7.43620540618141e-46
K11941	24.7130687733599	-8.48368156993231	0.58571308358949	-14.4843641155168	1.52123934666481e-47	1.07095250005202e-45
K01975	42.7496185740267	-7.59262338111788	0.526203078744985	-14.4290744159585	3.39607983651169e-47	2.35164610318449e-45
K03891	321.833645369758	-7.64482334013155	0.530506694493698	-14.4104182274789	4.45007487341798e-47	3.03179294601896e-45
K00021	25.437551163433	-8.34192629706574	0.579868958837681	-14.3858817926497	6.34640348139998e-47	4.25511242943389e-45
K02000	312.642289162769	-6.70548790782439	0.467433009829102	-14.3453452512393	1.13931879642914e-46	7.51950405643232e-45
K13580	230.933292073385	-8.91485687385227	0.62271370977435	-14.3161403610059	1.7349469683536e-46	1.12744861451163e-44
K00392	371.525120759751	-7.83992114571427	0.550895234969753	-14.231237897973	5.86345722370936e-46	3.75261262317399e-44
K03449	74.5154094198884	-4.31590019905191	0.303303216308634	-14.2296552327363	5.99767309930047e-46	3.78121957782764e-44
K16291	29.2676421047893	-8.45346736334442	0.595374965876227	-14.1985603155203	9.35138587389675e-46	5.80886087225586e-44
K02276	464.20894776471	-7.79355450632785	0.55223591225126	-14.1127267050714	3.17076843638059e-45	1.94106172105386e-43
K14164	15.9983723138312	-7.85598101081897	0.557279884503808	-14.0970116260589	3.96195001374971e-45	2.3907538368684e-43
K02466	35.1762261733346	-8.99263237519858	0.6391595100016	-14.069465031	5.85103363801351e-45	3.48095296999564e-43
K07706	978.530627881902	4.62860685377196	0.329156793166549	14.062012238131	6.50110395121318e-45	3.81398098471173e-43
K16146	21.2670165805613	-8.26689847872652	0.597928815549257	-13.8258907477683	1.77896645261476e-43	1.02936360217051e-41
K03669	23.7867331924715	-8.15321732906974	0.59032394375396	-13.8114291573914	2.17473798942237e-43	1.24136395504325e-41
K02275	434.429011647933	-7.52038848654148	0.544994591242752	-13.7990149028685	2.58358967245833e-43	1.45507770352853e-41
K10552	25.3000498546055	-8.5174615260066	0.618834263010946	-13.7637200056842	4.21279574723039e-43	2.34142753109226e-41
K09970	25.0343444331193	-8.50183137450633	0.618319176707359	-13.7499073209727	5.09948090082981e-43	2.79742952274092e-41
K02001	430.965776378071	-6.80835555959386	0.497821980429349	-13.6762855543702	1.40698502716706e-42	7.52291741108057e-41
K03889	360.972788021192	-7.58129478158995	0.554301445484218	-13.6772055049707	1.38930086110003e-42	7.52291741108057e-41
K07653	26.9491724052547	-8.24379115441433	0.603357202991829	-13.6632016880487	1.68413047941746e-42	8.89220893132421e-41
K12349	202.466589345356	8.29098148104566	0.608246182707721	13.6309634433492	2.62097124028025e-42	1.3667879653017e-40
K02002	403.881506555861	-6.69419276817391	0.491256030063047	-13.6266882409867	2.77908389162295e-42	1.43156711685553e-40
K15733	273.436963529445	-7.37288846158594	0.541247894157305	-13.622017824319	2.96267312883677e-42	1.5077507585791e-40
K13573	23.7971921422198	-8.42923789339075	0.61928213988643	-13.6113046872894	3.43064264323762e-42	1.72512315774234e-40
K00108	88.7232946492438	-7.08825000278096	0.520927520487091	-13.6069793282434	3.63979191264646e-42	1.80876247517866e-40
K00130	77.6734573948314	-7.16977180541189	0.527278300182997	-13.5976993608945	4.13228626352723e-42	2.0296252531557e-40
K13529	15.5025862121796	-7.81061680590391	0.575184684397564	-13.5793198563425	5.31173865012722e-42	2.57894069633763e-40
K01692	90.3278422744254	-7.89538547581166	0.582001495071742	-13.5659195769564	6.37747958893985e-42	3.06119020269113e-40
K02351	269.843808555893	-7.39660294595469	0.545683725281796	-13.5547435323181	7.42712830183464e-42	3.48579888299439e-40
K07245	269.843808555893	-7.39660294595469	0.545683725281796	-13.5547435323181	7.42712830183464e-42	3.48579888299439e-40
K00906	98.9452045494234	-6.74455740374038	0.500750839978558	-13.4688888470545	2.38427050022004e-41	1.10672072449774e-39
K07171	788.647582357936	-3.01295183960684	0.224136205315571	-13.4425040138641	3.40709252526977e-41	1.56429987247169e-39
K05522	485.772582317624	-8.66699045418858	0.644852859311349	-13.4402605633853	3.51197823696712e-41	1.59511785730636e-39
K03670	21.8315791089237	-8.2125449645905	0.611284976992947	-13.4348876116503	3.77641237003039e-41	1.69697509053281e-39
K00840	24.7515101205624	-7.39042979933966	0.550701351425313	-13.4200320740305	4.61513442286093e-41	2.05203450549101e-39
K00486	20.8863321883571	-8.24043184477503	0.615752654907169	-13.3826980348422	7.63256322957836e-41	3.35832782101448e-39
K02301	313.686836316929	-7.32996782581075	0.548769945880287	-13.3570868463882	1.0769707104468e-40	4.68981884631678e-39
K06883	23.8778278811092	-8.25002658193398	0.618035187052995	-13.3487975357406	1.20376349849574e-40	5.18846634453674e-39
K10843	224.969244684699	-6.56038183766966	0.492465658698299	-13.3215011479385	1.73581814641234e-40	7.40615742469265e-39
