	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K12081	10.8167282885766	-23.2742425857121	1.74143580670354	-13.364973027498	9.68701172301063e-41	2.41109721785735e-37
K14987	119.827696924226	-24.1503635237534	1.80272479887137	-13.3965891737181	6.33063242462342e-41	2.41109721785735e-37
K02281	8.19385149044009	-22.908239021258	2.41094524274485	-9.50176661630736	2.06359247810749e-21	1.71209389266985e-18
K11540	8.19385149044009	-22.908239021258	2.41094524274485	-9.50176661630736	2.06359247810749e-21	1.71209389266985e-18
K14439	8.19385149044009	-22.908239021258	2.41094524274485	-9.50176661630736	2.06359247810749e-21	1.71209389266985e-18
K18295	8.19385149044009	-22.908239021258	2.41094524274485	-9.50176661630736	2.06359247810749e-21	1.71209389266985e-18
K17624	49.1734248262617	-3.5089470367164	0.662110452072231	-5.29964000074961	1.16031235433834e-07	8.25147842842322e-05
K07284	598.055156279195	-2.36149399384252	0.460857429008393	-5.12413133693785	2.98912580923145e-07	0.000185998353479427
K08168	93.7101030491994	-3.45184173193562	0.751163069887444	-4.59532939026522	4.32066191223541e-06	0.00238980611101199
K02793	185.543282119573	-2.08116289102906	0.472510951560532	-4.40447546063373	1.06040142969988e-05	0.005278678317046
K18429	25.2574753060635	-6.01537052128375	1.431378069317	-4.20250292374122	2.6397983786631e-05	0.0119462875718045
K06902	282.972985013116	-2.18251222138704	0.526294030663211	-4.146944662543	3.36941457150445e-05	0.013977454780791
K06896	121.262887872977	-2.16225372024773	0.526395316600037	-4.1076613945079	3.99685476782394e-05	0.0153048792570981
K19689	454.691250165776	-1.89276736176569	0.470832099344858	-4.02004741052998	5.81864306063564e-05	0.0206894322541744
K05822	268.073700030706	-2.26568014774113	0.570920151373037	-3.96847114660828	7.23352134924744e-05	0.0240056461843692
K18430	27.200111710346	-5.24741503759291	1.32745867702518	-3.95297806885582	7.71845138273957e-05	0.0240140318645485
K00532	150.628543138414	-2.71433450968422	0.689258826534101	-3.93804824137414	8.21470812900554e-05	0.0240545982742292
K00870	15.1897375518596	-3.95516696529131	1.03712729791788	-3.8135790787029	0.000136968671590277	0.0342221126225666
K07452	115.290557374956	-2.77787741478573	0.724987953726681	-3.831618719327	0.000127302919608719	0.0342221126225666
K12685	261.933852114998	-3.27039818773973	0.85777912275935	-3.81263439615939	0.000137493421545065	0.0342221126225666
K00170	175.317821549001	-2.40940213295846	0.640575831032454	-3.76130664979208	0.000169028054069677	0.0365835501373413
K01713	181.616735659496	-2.21527778310423	0.588832058315683	-3.76215552774232	0.000168455235320293	0.0365835501373413
K07487	16.4808013124595	-4.92316592998842	1.30506398394178	-3.77235598450785	0.000161713309238269	0.0365835501373413
K00105	21.9602300231605	-2.48092335997859	0.665833147520081	-3.72604363303161	0.000194508748263245	0.0387305819541773
K07149	121.20052274555	-2.44130547232139	0.654400170070341	-3.7306003023486	0.000191024073611201	0.0387305819541773
K00169	210.349833706613	-2.28901535985285	0.617807353031415	-3.70506331564568	0.000211337935048665	0.0389644533582317
K09118	110.239759704726	-2.35172958048044	0.633966133581287	-3.70955080391357	0.00020762729292382	0.0389644533582317
K00172	210.528849205629	-2.27604213462995	0.6161897454139	-3.6937358201265	0.000220983383748912	0.0392876887250744
K01819	66.6471707420196	-2.11048145235888	0.572969896721767	-3.68340721638945	0.000230137074352883	0.03950421917685
K01060	51.7629121987924	-1.96438731592187	0.552858686558148	-3.55314543061857	0.000380653961877383	0.0625362999479901
K01361	132.622768452607	-1.93808640029407	0.546380118035944	-3.54713931989482	0.000389438589471212	0.0625362999479901
K04074	146.387818783098	-1.86012666857099	0.531292266836256	-3.50113635127365	0.000463278749204338	0.0720688004230998
K02077	453.911952278235	-1.47578983775942	0.424075299071967	-3.48001838585977	0.00050137937371057	0.0750117953205791
K02279	18.8869820755446	-3.50083893633646	1.00766088922345	-3.47422329652427	0.00051233447989146	0.0750117953205791
K15778	184.69706419474	-1.80664702765019	0.521760039123573	-3.46260137262507	0.000534980344206559	0.0760894900988643
