	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K07669	173.437733051402	-10.1121997218007	0.436284014676702	-23.1780202382481	7.58722837273066e-119	2.7579575134876e-115
K00697	159.591163435812	-9.99177394891743	0.438632824638101	-22.7793575575683	7.34600229086784e-115	6.77865429962412e-112
K06996	153.983378899994	-10.2174193876878	0.448551729907075	-22.7786868413248	7.45931697345157e-115	6.77865429962412e-112
K12583	159.591163435812	-9.99177394891743	0.438632824638101	-22.7793575575683	7.34600229086784e-115	6.77865429962412e-112
K07156	152.067657152427	-10.1991636633097	0.448784488412332	-22.7261947029216	2.46823001414583e-114	1.79440322028402e-111
K16649	150.889528830683	-10.1873771381676	0.449992479431153	-22.6389942139606	1.79082985331171e-113	1.08494441946468e-110
K14337	164.389744922099	-10.0335055701387	0.445961167091933	-22.4986081984809	4.2829168696538e-112	2.22405754588451e-109
K14339	155.742530565943	-10.2308469414811	0.45510531018049	-22.4801748356301	6.48833429548285e-112	2.94813689551002e-109
K15733	149.201357150135	-10.1692975707086	0.454266405380609	-22.3861977250732	5.36448026110772e-111	2.16665397212517e-108
K18917	148.870972463157	-10.1654617747606	0.455791548989851	-22.3028746304969	3.46511053324897e-110	1.259567678836e-107
K08166	148.758618826093	-10.1642309609522	0.456130952324165	-22.2835808645774	5.33200241754851e-110	1.76198443525353e-107
K07245	152.587838056393	-9.92577274402491	0.4486418124093	-22.1240474460493	1.85514558593834e-108	5.61954517073822e-106
K03889	151.13912335181	-9.91177414603364	0.450013892880321	-22.0254847746881	1.64143821025925e-107	3.97775192952824e-105
K03890	151.13912335181	-9.91177414603364	0.450013892880321	-22.0254847746881	1.64143821025925e-107	3.97775192952824e-105
K03891	151.13912335181	-9.91177414603364	0.450013892880321	-22.0254847746881	1.64143821025925e-107	3.97775192952824e-105
K07653	155.960995680194	-9.95641281546059	0.455272738100173	-21.8691170857454	5.11374434914592e-106	1.16177879432159e-103
K14743	147.259361075065	-10.1453329663666	0.466808824456068	-21.7333787084854	9.92258101564543e-105	2.12168129363948e-102
K03416	155.690409297355	-9.95359253900059	0.458129410709763	-21.7265958183734	1.15019435120424e-104	2.20050340348811e-102
K17490	155.690409297355	-9.95359253900059	0.458129410709763	-21.7265958183734	1.15019435120424e-104	2.20050340348811e-102
K01318	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K01616	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K02229	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K09146	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K11387	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K12428	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K12437	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K13540	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K13580	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K13686	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K13687	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K14136	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K14949	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K16647	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K16648	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K16652	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K16653	146.988774692226	-10.1414801442425	0.469913150589951	-21.5816053062368	2.67420592149793e-103	2.70020514573472e-101
K00966	147.149906310961	-10.1429853816932	0.470111387068484	-21.5757066531461	3.0380312317893e-103	2.98466041285246e-101
K03758	148.390414349231	-9.88408873113069	0.459772723288139	-21.497771030093	1.63347075154733e-102	1.56254373207225e-100
K02228	147.238369213352	-9.87179174411796	0.470086632668464	-20.9999414109701	6.56664867956675e-98	6.12045332057055e-96
K02021	147.207239806477	-9.87144978041482	0.470477581101615	-20.9817644388092	9.62549991223624e-98	8.74717304524469e-96
K03404	293.976203454243	-10.2968219065421	0.492015853020211	-20.9278254823206	2.98820528959877e-97	2.64929907992476e-95
K03932	294.274097577692	-10.4852919871013	0.539432384175366	-19.4376390715405	3.70843262704038e-84	3.20956014268852e-82
K17489	311.301817109693	-10.2189222597778	0.533923370147213	-19.1393050597508	1.18844591120437e-81	1.00465136912276e-79
K08217	151.607980088073	9.77468578036565	0.556723623410157	17.5575193315702	5.21029858714746e-69	4.30441712824568e-67
K03098	127.033456430257	-10.718371879761	0.630219155630798	-17.0073724100512	7.24134381214563e-65	5.84939661269986e-63
K12991	129.004936713699	9.55721494917199	0.573319694969886	16.6699575001936	2.16748600260459e-62	1.71278513466689e-60
K09705	129.923167682319	9.56827708225305	0.574247888582792	16.6622764706492	2.46462218859648e-62	1.90614928841451e-60
K13498	176.199036794247	-9.24285622289622	0.562470862954093	-16.4325955914459	1.11770645614611e-60	8.46429785018979e-59
K05570	160.266337887146	-9.15519175264631	0.560994107206762	-16.3195863112196	7.16192926682252e-60	5.31298222140814e-58
K02436	129.122008166616	8.68146001768804	0.534649503452852	16.2376659131296	2.73119966464085e-59	1.94664917273912e-57
K11381	129.122008166616	8.68146001768804	0.534649503452852	16.2376659131296	2.73119966464085e-59	1.94664917273912e-57
K14153	148.475873620191	-9.2019235338064	0.573721839368583	-16.0389981736336	6.82463927778215e-58	4.7706853412958e-56
K05346	129.22340182795	8.72950564211616	0.545058010883324	16.0157367983072	9.92243509763925e-58	6.80529275092805e-56
K01239	453.430173502027	-4.20329807925434	0.266781495361974	-15.7555833231658	6.28765086523241e-56	4.2325205361333e-54
K07445	118.730453725066	-10.6186697184152	0.682080281039169	-15.5680643666129	1.19983452476089e-54	7.65157631141375e-53
K13735	118.730453725066	-10.6186697184152	0.682080281039169	-15.5680643666129	1.19983452476089e-54	7.65157631141375e-53
K14956	118.730453725066	-10.6186697184152	0.682080281039169	-15.5680643666129	1.19983452476089e-54	7.65157631141375e-53
K01262	2458.81696901792	0.864195774526149	0.0558332427452761	15.4781583879841	4.87221584892333e-54	3.0535352777304e-52
K05343	172.622702928259	-7.92309298957345	0.522854454042374	-15.1535344651216	7.17991734971396e-52	4.42355924851021e-50
K03602	1937.55163672842	0.733644234608009	0.0486222184218277	15.088662311604	1.92301534127358e-51	1.16502679425491e-49
K08313	142.789991793203	8.21074162365045	0.557654786498578	14.7236997196856	4.54120444122165e-49	2.70611117112143e-47
K03499	3094.27997966494	1.05121690219563	0.0720952153126528	14.5809523924279	3.71300388008269e-48	2.17689824259687e-46
K01011	417.646691535937	-3.2536832514567	0.22363680932845	-14.5489611536985	5.92966931645564e-48	3.42132507385972e-46
K00845	2449.48154194542	0.784907826602796	0.055654387339359	14.1032515876373	3.62666629343188e-45	2.05983312134764e-43
K05340	130.122139842698	8.22735372730312	0.597494870593471	13.7697478793938	3.87563302980668e-43	2.16737324051496e-41
K05937	120.189684021655	9.5311622844552	0.694610497465096	13.7215926324726	7.53909633379145e-43	3.9716833584539e-41
K08168	120.189684021655	9.5311622844552	0.694610497465096	13.7215926324726	7.53909633379145e-43	3.9716833584539e-41
K16937	120.189684021655	9.5311622844552	0.694610497465096	13.7215926324726	7.53909633379145e-43	3.9716833584539e-41
K19134	120.189684021655	9.5311622844552	0.694610497465096	13.7215926324726	7.53909633379145e-43	3.9716833584539e-41
K02802	145.386258417995	6.97840029072861	0.509173839611726	13.7053394103084	9.43251963843381e-43	4.89817269795813e-41
K01426	292.952389670153	-3.16641319828353	0.231133916238784	-13.6994745289234	1.02261669474799e-42	5.23550941606893e-41
K01934	1984.80791894556	0.733627686961405	0.0536138393315343	13.6835506672976	1.2732051197548e-42	6.42791751431761e-41
K00853	33.9793964182421	-8.23056578519118	0.609490599345599	-13.5040077632505	1.48095569657692e-41	7.3743478863796e-40
K09861	1986.5308169514	0.635432714616435	0.0473778260761696	13.4120276771426	5.14136392550409e-41	2.52552133367667e-39
K06969	1453.02366481367	1.19723563811247	0.0900964833586929	13.2883725699485	2.70395380395597e-40	1.31051627698399e-38
K02946	2025.85125350836	0.573522645855468	0.0432751658017311	13.2529277526772	4.33938337105415e-40	2.0754813886555e-38
K05521	123.268919656466	7.07044584025629	0.535693539024139	13.1986767156766	8.9289789159496e-40	4.21517381291907e-38
K07272	263.75375193158	4.56890049658684	0.348945833305972	13.0934376069211	3.58985435749645e-39	1.67296417814097e-37
K01004	129.326066142982	7.31445970579666	0.559094063816082	13.0826996371094	4.13489546314737e-39	1.9025753175368e-37
K02803	290.941764709009	7.04274916829042	0.545036840849946	12.921602065115	3.39987845333367e-38	1.54481977223348e-36
K01087	42.2981339464873	-8.06116279635614	0.630774036804624	-12.7797948647227	2.12629595365585e-37	9.54208122412225e-36
K02259	338.402042673852	-8.01066202809483	0.647324057166344	-12.3750414331292	3.56710172384204e-35	1.56425024162717e-33
K16962	20.6398953500817	6.76919056802355	0.547008079358205	12.3749370867899	3.57174057923122e-35	1.56425024162717e-33
K06131	2643.99285414425	0.738534099158363	0.0600755030653412	12.2934317895781	9.82449108090668e-35	4.25143155703521e-33
K01246	1627.84533839674	0.867174687731309	0.0719237605463462	12.0568596684057	1.78458482280167e-33	7.63172450692242e-32
K17462	10.4985729650575	6.67744806953052	0.55706391801623	11.9868615675373	4.16384060066922e-33	1.75994890505031e-31
K00533	9.70526653630787	6.56032915798406	0.552255342585446	11.8791592441119	1.51887332361125e-32	6.34609716244469e-31
K18775	123.487734185815	-9.1812279357884	0.779224268226803	-11.7825230940011	4.80333858564339e-32	1.98410633622883e-30
K09758	9.32197694320116	6.50153504967843	0.557614743060861	11.6595465428159	2.05131928576638e-31	8.37814112782112e-30
K09956	139.285457838137	7.51866783867523	0.646233248760331	11.6346038417217	2.74863308745014e-31	1.11014236365347e-29
K03324	1416.89518781952	1.32319248411027	0.116246147075773	11.382678199629	5.10087772830254e-30	2.03754841125052e-28
K01692	204.18466011703	-7.39708713861253	0.65439898823896	-11.3036347420382	1.25896999057564e-29	4.97429990841569e-28
K09935	263.243997294245	-3.09544913380235	0.274330295871611	-11.2836576214355	1.5803567678917e-29	6.17698586159821e-28
K04093	187.750670212239	-3.09746571889496	0.275013696786597	-11.2629507369537	1.9994949192388e-29	7.73208939514153e-28
K00020	312.249069954289	-3.07668184941277	0.274688850619483	-11.2006069502791	4.04949508928495e-29	1.54946469995272e-27
K05366	2139.00257324273	0.612874845799223	0.0549435750340394	11.1546226363961	6.79806325417694e-29	2.57405832593054e-27
K02274	191.203819302472	-7.30184160575093	0.656387861796534	-11.1242788459948	9.55756202324344e-29	3.50926646004948e-27
K02275	191.203819302472	-7.30184160575093	0.656387861796534	-11.1242788459948	9.55756202324344e-29	3.50926646004948e-27
K02276	191.203819302472	-7.30184160575093	0.656387861796534	-11.1242788459948	9.55756202324344e-29	3.50926646004948e-27
K01182	533.752134818988	2.95731806310255	0.266538223417039	11.0952869167864	1.32235011131372e-28	4.80674265462536e-27
K03087	187.37573388036	-7.29715120607704	0.661666757595266	-11.0284385943726	2.78660970348813e-28	1.00290359130489e-26
K07344	46.3294700948439	-8.59804015779194	0.782660167363885	-10.9856621255575	4.4794177460672e-28	1.59634152028964e-26
K01699	8.61879011004734	-6.83638889635708	0.623760256258408	-10.9599623056538	5.95241562109803e-28	2.06066959835156e-26
