	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K16783	57.5957940313413	-4.53666946095203	0.510094368590063	-8.89378464124531	5.9062107504246e-19	3.56321694573116e-15
K02274	18.9314370053902	-4.32565096980621	0.515152926569758	-8.39682887683345	4.58697767133768e-17	4.61220604853004e-14
K03889	18.9527645236942	-4.39949960965621	0.523448799890658	-8.4048327373665	4.28471820832365e-17	4.61220604853004e-14
K03890	18.9527645236942	-4.39949960965621	0.523448799890658	-8.4048327373665	4.28471820832365e-17	4.61220604853004e-14
K03891	18.9527645236942	-4.39949960965621	0.523448799890658	-8.4048327373665	4.28471820832365e-17	4.61220604853004e-14
K07653	19.4252267813869	-4.8817137095209	0.579840681620539	-8.41906038030565	3.79515780697858e-17	4.61220604853004e-14
K03153	42.3900503403571	-3.35267150453505	0.402422122060653	-8.33123061765907	8.00063075775447e-17	6.89540076593324e-14
K02259	56.5850640293145	-4.08667051789998	0.491777260384395	-8.31000301784116	9.56996391876221e-17	7.21694904023655e-14
K02276	19.1818184664593	-4.1996154333982	0.515945879416448	-8.13964332489311	3.96444046400237e-16	1.85178204095794e-13
K03416	18.4642645133729	-4.86260042010217	0.59873096618032	-8.1215114880791	4.60413237433601e-16	1.85178204095794e-13
K14335	18.4970320332212	-4.79656283307778	0.589947400985972	-8.13049235416808	4.27550273896276e-16	1.85178204095794e-13
K14337	18.4669885501233	-4.86282149428155	0.598738989163686	-8.12177189441747	4.59426211221701e-16	1.85178204095794e-13
K16163	18.5613562358094	-4.85691685737031	0.59747356054263	-8.12909085543336	4.3252204825236e-16	1.85178204095794e-13
K17315	18.4987261533236	-4.86595813378	0.59730159941842	-8.14656806296497	3.74398059511722e-16	1.85178204095794e-13
K17490	18.4642645133729	-4.86260042010217	0.59873096618032	-8.1215114880791	4.60413237433601e-16	1.85178204095794e-13
K02275	19.3202500063978	-4.1256019645204	0.515664092186948	-8.00056088261564	1.23853734923719e-15	4.55406896285551e-13
K05710	21.1460362731545	-3.86904545033969	0.483860995577559	-7.99619205867466	1.28326160067203e-15	4.55406896285551e-13
K02228	18.7354887736825	-4.62128308894345	0.580366382899113	-7.96269946901246	1.68325949207296e-15	5.64172473093119e-13
K07399	37.7285194363365	-3.98175842644639	0.500474349674853	-7.9559690302475	1.77734859265931e-15	5.64354950500718e-13
K12583	18.756217592994	-4.66751562578218	0.589412662008102	-7.91892663092811	2.39569653315826e-15	7.22661859227188e-13
K17316	9.20744476632855	-4.91855646270986	0.626222690492539	-7.85432488695244	4.01931193328002e-15	1.10220494970356e-12
K17317	9.20744476632855	-4.91855646270986	0.626222690492539	-7.85432488695244	4.01931193328002e-15	1.10220494970356e-12
K14161	20.3754004118471	-4.32515679898926	0.551082439407616	-7.848475091383	4.21126239562233e-15	1.10463243620824e-12
K00862	9.17298312637788	-4.91175924625908	0.628810708205343	-7.81118893518445	5.66510176578908e-15	1.22062710546448e-12
K08221	18.7758444113299	-4.49095273473612	0.573691197827911	-7.8281708900879	4.95018794763056e-15	1.22062710546448e-12
K13950	22.7273055749186	-3.20896172465677	0.410600539364184	-7.81528862486604	5.4837228573699e-15	1.22062710546448e-12
K18291	9.17298312637788	-4.91175924625908	0.628810708205343	-7.81118893518445	5.66510176578908e-15	1.22062710546448e-12
K20370	9.17298312637788	-4.91175924625908	0.628810708205343	-7.81118893518445	5.66510176578908e-15	1.22062710546448e-12
K02021	9.18487552304926	-4.85685289731892	0.625337685303816	-7.76676827810122	8.05139430433304e-15	1.67496764958763e-12
K10843	18.6479441721199	-4.45258691279585	0.576648110638189	-7.7214974447208	1.1497090823106e-14	2.31206496452661e-12
K05991	36.8301731200095	-4.72982106157468	0.613655237280754	-7.7076194811497	1.28186277212947e-14	2.41671190758033e-12
K17489	36.844311998172	-4.73039586430272	0.613671999775666	-7.70834560812936	1.27459192068676e-14	2.41671190758033e-12
K05602	23.0706389372561	-3.13162283682611	0.408225377163506	-7.6713085761246	1.702504152114e-14	3.11248713627387e-12
K03432	18.7113622541807	-4.50277816964773	0.591779474238846	-7.60887858680678	2.76484324190392e-14	4.76579979383038e-12
K03433	18.7113622541807	-4.50277816964773	0.591779474238846	-7.60887858680678	2.76484324190392e-14	4.76579979383038e-12
K14162	20.8289532523464	-4.15275372662811	0.548319274515378	-7.57360523264196	3.63006399058881e-14	6.08338223756175e-12
K09992	27.8886571391616	-4.48955257860741	0.598573779601773	-7.50041637572945	6.36154312636306e-14	1.0372753967932e-11
K00368	21.6965814840765	-3.14720743212699	0.42049024474448	-7.48461461701556	7.17573865308989e-14	1.13924292879188e-11
K01167	37.3660026943797	-4.06510123903843	0.550420537682613	-7.38544614660159	1.51943027810383e-13	2.35044176097446e-11
K15371	22.035929448384	-3.05259884022592	0.416988416096803	-7.32058427138001	2.4689360786381e-13	3.72377284060591e-11
K11045	92.1204274919271	-4.67929187104394	0.668495845311566	-6.99973216566972	2.56452286099553e-12	3.77360156594781e-10
K02303	80.0442833063892	-2.4736609896825	0.36690253945808	-6.7420110892013	1.56209157060328e-11	2.24383296320228e-09
K12503	24.1892532054684	-2.68817789553533	0.402695858955393	-6.67545452915396	2.46467075998199e-11	3.45799039417938e-09
K07004	53.8642932138186	-2.82439584147803	0.426039893827041	-6.62941635842357	3.37016734265846e-11	4.62095899505875e-09
K10240	24.3719809107798	-3.75889238050587	0.569426159061263	-6.60119371175826	4.07860197299676e-11	5.23536291555094e-09
K10241	24.3719809107798	-3.75889238050587	0.569426159061263	-6.60119371175826	4.07860197299676e-11	5.23536291555094e-09
K10242	24.3801267358501	-3.75941431378382	0.569442474578563	-6.60192114500436	4.05863394634478e-11	5.23536291555094e-09
K21401	19.9754064971267	-3.47756636604051	0.528699610358711	-6.57758450716667	4.78152112966422e-11	6.00977436984672e-09
K06903	686.610052624847	-2.17866493621707	0.338664548115989	-6.43310599924649	1.2502239738441e-10	1.53930637432683e-08
K17883	13.8579793044807	-2.57136683486542	0.404645956004474	-6.35460900253502	2.0895743201199e-10	2.52128037465667e-08
K13671	25.7890688454348	-2.53105337469018	0.40276798649435	-6.2841473492474	3.2965792794091e-10	3.89965937111276e-08
K06886	32.7138677065617	-2.69691072714409	0.437082984312406	-6.17024872607822	6.8182650322542e-10	7.91049864222877e-08
K00184	194.173136004484	3.48163110805947	0.575267726705691	6.0521926512326	1.42887440444526e-09	1.62649043056949e-07
K09774	510.699676393529	-2.2031057685229	0.370130366897551	-5.95224268408298	2.64492779995817e-09	2.9549721142866e-07
K14088	17.258082315061	4.56988410679644	0.774191667419928	5.90278131257346	3.5742392680083e-09	3.92061554616256e-07
K07101	117.405354834802	-2.3705444409545	0.402683135841386	-5.88687290318571	3.93571137508222e-09	4.2400262010484e-07
K09928	21.534372504287	4.66244265939552	0.818754724957714	5.69455359129234	1.23695129782082e-08	1.30921529469351e-06
K07552	1153.5077592735	-1.49689242599223	0.269235410646465	-5.55979030543574	2.70098973105062e-08	2.80949500817731e-06
K01482	15.5283824860195	4.33110133563833	0.779476360808976	5.55642422708409	2.7535717220609e-08	2.81564376257515e-06
K14645	35.361951650773	-2.34283506930063	0.423163267485513	-5.53648024135469	3.08610636621936e-08	3.10307995123356e-06
K07693	27.9020354033733	-2.31384011632068	0.421019300152875	-5.49580533595612	3.889313564257e-08	3.84659487428894e-06
K09925	124.471688886038	-1.75943264723787	0.320380068373892	-5.49170445017997	3.98073147506122e-08	3.87350854662006e-06
K01419	616.546014173496	-1.88794809241822	0.344224785749433	-5.48463727940988	4.14318638655519e-08	3.96759420160119e-06
K03667	618.591684625732	-1.88643405275873	0.344177662261775	-5.48098920877653	4.22954282859636e-08	3.98700498201904e-06
K07160	5087.68498247341	1.28907350534928	0.235532123902913	5.47302628613259	4.42414457960516e-08	4.10628680750122e-06
K11181	7.2779822914753	5.00622174137432	0.916469899550609	5.4625053630557	4.69461346132045e-08	4.29130348668883e-06
K11180	8.29762070947569	5.02331033903739	0.921336536928622	5.45219921027245	4.97506778002491e-08	4.47978864431198e-06
K03800	6327.18233187609	1.2839817732007	0.239688138658599	5.35688491047756	8.46690142385534e-08	7.51188474854695e-06
K09138	15.1950982843146	4.40108034229932	0.822557653581131	5.35048251406882	8.77200287543639e-08	7.66978164456634e-06
K07276	22.4859394385433	3.65125126985522	0.6853447561988	5.3276124707024	9.95121591395339e-08	8.5765265155544e-06
K08282	21.4751795507703	4.66274375195294	0.876016790246404	5.32266482088935	1.02258059410132e-07	8.68905454114542e-06
K01581	707.86909315577	-1.81996499563745	0.343529202588711	-5.29784653509181	1.17176381954165e-07	9.68390564834902e-06
K01779	4534.92453597923	1.38559608083608	0.26143090936156	5.3000469004214	1.15772936973264e-07	9.68390564834902e-06
K06075	619.00059722638	-1.92477059582979	0.365539460491025	-5.26556173509766	1.39761342310345e-07	1.13943267318691e-05
K00852	11464.25023765	1.1865995282803	0.225737762119119	5.25653978820854	1.46791029984372e-07	1.18078704519429e-05
K07051	21.4733763217049	4.66258516011976	0.889684641339334	5.24071670283157	1.59954122371233e-07	1.2215230636274e-05
K07239	21.4733763217049	4.66258516011976	0.889684641339334	5.24071670283157	1.59954122371233e-07	1.2215230636274e-05
K10800	21.4733763217049	4.66258516011976	0.889684641339334	5.24071670283157	1.59954122371233e-07	1.2215230636274e-05
K18554	21.4733763217049	4.66258516011976	0.889684641339334	5.24071670283157	1.59954122371233e-07	1.2215230636274e-05
K00231	75.110012842995	-1.9420619223972	0.37085787900875	-5.23667429579238	1.63495841572705e-07	1.23296301526016e-05
K09936	8333.1235075354	1.03132219585233	0.197358242581892	5.22563528312931	1.73558168646463e-07	1.29268695240014e-05
K00198	2701.45504400161	1.3348320182241	0.256024124960256	5.2136962422245	1.85114500676646e-07	1.32951878878834e-05
K02119	3421.99709657545	1.16888039377794	0.224071748388166	5.21654515656767	1.8229115074315e-07	1.32951878878834e-05
K18230	8.56100574890394	-2.75830632558997	0.529044558394237	-5.21375049005706	1.85060346961578e-07	1.32951878878834e-05
K13940	5272.27605782297	1.32947376723499	0.256359215811632	5.18598000475967	2.14881865169754e-07	1.52515563831662e-05
K02160	6968.46828083125	1.06112375159714	0.205025853111408	5.1755607182892	2.27227516423749e-07	1.59402744951683e-05
K04072	7263.41758675629	1.11897881482127	0.216895304923286	5.15907347656532	2.48174908209637e-07	1.720964622102e-05
K04343	56.3621332409674	-2.68651659457809	0.521208059312379	-5.1544034029757	2.5443967662496e-07	1.7443574648618e-05
K16090	130.695967456058	-1.71066446468713	0.334845129306934	-5.10882290038944	3.24172024184028e-07	2.1974492380924e-05
K03290	273.31585982812	-1.6957218760946	0.332107295789123	-5.10594587229822	3.29143904345011e-07	2.19794885082531e-05
K10546	2615.37686001299	1.4226490455809	0.27880915177825	5.10259091750476	3.35034701491522e-07	2.19794885082531e-05
K10548	2615.33806258403	1.42262023013524	0.27880784356234	5.10251150741802	3.35175359316971e-07	2.19794885082531e-05
K01507	4969.5205211168	1.25336509521463	0.245858512383106	5.09791214087226	3.4342013304839e-07	2.22779963729133e-05
K00549	9583.33672663669	1.10291273856859	0.217436780104674	5.07233752283147	3.92958608391778e-07	2.4440404994099e-05
K06907	956.276122617078	-1.66517681908637	0.328197595767846	-5.07370206411946	3.90149760121033e-07	2.4440404994099e-05
K07336	130.073860749321	-1.70491295484614	0.335949256010796	-5.07491213134687	3.87675106655945e-07	2.4440404994099e-05
K08352	30.8645435798471	4.23221649184483	0.83430553033241	5.07274174505183	3.92124506988287e-07	2.4440404994099e-05
K13653	3678.26229498342	1.24137670442232	0.245318020393195	5.06027523959569	4.18651697953764e-07	2.57727111607659e-05
