	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K14153	140.548222757602	8.00226170965924	0.391194076869379	20.4559889395545	5.31338536312946e-93	3.29854963343077e-89
K08714	52.3136457497858	8.87456754721392	0.459542801165409	19.311732279796	4.27974362660755e-83	1.32843242169898e-79
K10925	29.6035375080414	7.95327151588165	0.461952827079142	17.216631330452	1.99253173710685e-66	4.12321234131978e-63
K12152	52.3281099494538	8.22125609424824	0.480490996450128	17.1101147679914	1.24753435274961e-65	1.93617331546739e-62
K02024	65.3220532821979	7.0435713606338	0.420223761501629	16.7614780646013	4.66871798259698e-63	5.79668024719241e-60
K00283	220.575131316399	2.78115390451659	0.169380595343916	16.4195544292995	1.38580616382856e-60	1.43384744417461e-57
K19304	32.3228990974618	7.52559265756609	0.461070758044326	16.3219907709754	6.88531220695044e-60	6.10628831153547e-57
K00282	218.060900679185	2.76792305455562	0.169840706143735	16.2971711399572	1.03366807660567e-59	8.02126427446003e-57
K12069	28.429201618939	7.8943485332083	0.484765136829177	16.2848933090462	1.26349328722727e-59	8.71529591900765e-57
K03607	35.3319266693963	6.63113912374279	0.412022089780723	16.094134970462	2.80463886158316e-58	1.74111980527083e-55
K06080	29.7473544814863	7.40468393100511	0.464422672969218	15.94384676283	3.14390394118799e-57	1.77430506062682e-54
K14062	34.4212770861887	7.52433352619703	0.473128285997485	15.9033685976598	6.00472164205115e-57	3.10644266282113e-54
K10109	29.7867636943029	7.26298525901194	0.458629456522091	15.836281677346	1.74859587867106e-56	7.75377372484997e-54
K10110	29.7867636943029	7.26298525901194	0.458629456522091	15.836281677346	1.74859587867106e-56	7.75377372484997e-54
K12242	24.8500705367957	7.84856973527545	0.508546237862401	15.4333453891346	9.767329412029e-54	4.04237206599173e-51
K19235	28.7006214134126	7.35131320520853	0.484301768374001	15.1791995926215	4.85671989949177e-52	1.88440732100281e-49
K03573	34.5256199116529	6.63369286147407	0.443994649818975	14.9409297255694	1.784677618958e-50	6.517222740289e-48
K09968	25.4982238755274	7.12652010207307	0.477361207134747	14.9289887731942	2.13478928736476e-50	7.36265105331135e-48
K11211	30.4637945781274	6.83005907313688	0.462860301525053	14.7561997661776	2.80655616886401e-49	8.7115503481539e-47
K12982	30.4637945781274	6.83005907313688	0.462860301525053	14.7561997661776	2.80655616886401e-49	8.7115503481539e-47
K19046	4.4350185674932	5.37173161877337	0.368079287933895	14.5939524305375	3.06890490388702e-48	8.65989165605938e-46
K19126	4.4350185674932	5.37173161877337	0.368079287933895	14.5939524305375	3.06890490388702e-48	8.65989165605938e-46
K18141	23.7022886699538	7.62958692233598	0.525033951522807	14.5316067660142	7.64069584156133e-48	2.06232346888751e-45
K00247	33.5922862251366	6.49580104543711	0.448011760417499	14.4991752881302	1.22614209076028e-47	3.17162087476659e-45
K09897	30.855931477361	6.43860186143758	0.448696340176499	14.3495751690439	1.07191839606907e-46	2.6617877611187e-44
K03291	33.1260345777449	6.15360408201592	0.434063148895458	14.1767484700665	1.27624332361871e-45	3.04727636654806e-43
K02521	30.5120985617026	6.45162683832617	0.455642436938842	14.1594072792481	1.63366223033338e-45	3.49716383652056e-43
K02560	30.5120985617026	6.45162683832617	0.455642436938842	14.1594072792481	1.63366223033338e-45	3.49716383652056e-43
K05590	30.5120985617026	6.45162683832617	0.455642436938842	14.1594072792481	1.63366223033338e-45	3.49716383652056e-43
K07479	30.5247018393321	6.41989429226882	0.456405688518898	14.0662013067854	6.12734521434083e-45	1.2679519696876e-42
K05803	30.3516821153485	6.44359899281973	0.458884060815121	14.0418888844688	8.63792411575082e-45	1.37498033104054e-42
K07751	30.3516821153485	6.44359899281973	0.458884060815121	14.0418888844688	8.63792411575082e-45	1.37498033104054e-42
K07773	30.3516821153485	6.44359899281973	0.458884060815121	14.0418888844688	8.63792411575082e-45	1.37498033104054e-42
K09891	30.3516821153485	6.44359899281973	0.458884060815121	14.0418888844688	8.63792411575082e-45	1.37498033104054e-42
K09893	30.3516821153485	6.44359899281973	0.458884060815121	14.0418888844688	8.63792411575082e-45	1.37498033104054e-42
K09899	30.3516821153485	6.44359899281973	0.458884060815121	14.0418888844688	8.63792411575082e-45	1.37498033104054e-42
K19227	30.3516821153485	6.44359899281973	0.458884060815121	14.0418888844688	8.63792411575082e-45	1.37498033104054e-42
K19228	30.3516821153485	6.44359899281973	0.458884060815121	14.0418888844688	8.63792411575082e-45	1.37498033104054e-42
K19230	30.3516821153485	6.44359899281973	0.458884060815121	14.0418888844688	8.63792411575082e-45	1.37498033104054e-42
K07689	30.4365561818058	6.44767115209696	0.459315411215172	14.0375676379743	9.18100023347428e-45	1.42489123623521e-42
K04770	30.2398914499563	6.43802840089738	0.460314464840085	13.9861527122203	1.89383285771146e-44	2.79926532873161e-42
K07648	30.2398914499563	6.43802840089738	0.460314464840085	13.9861527122203	1.89383285771146e-44	2.79926532873161e-42
