	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K00205	6.7868700922702	23.9236610349324	2.06103913662999	11.6075724180813	3.7717199414542e-31	1.12340678456213e-27
K07463	8.01558123692937	24.1522834824013	2.07636025488453	11.6320293771682	2.83281646891875e-31	1.12340678456213e-27
K19309	15.8740806254051	5.81907413861023	0.540662476188789	10.7628592604202	5.1545578603015e-27	1.02352337246054e-23
K19310	15.7360582610618	5.8060990393996	0.542287996195579	10.7066707729699	9.47066078990267e-27	1.41041815813626e-23
K09775	8.33383372445748	4.70647116846692	0.461532815588316	10.1974789430034	2.03485879957055e-24	2.42433077380835e-21
K06196	17.7258553497272	5.13334489109604	0.520246239507533	9.86714463511601	5.77861375359412e-23	5.7372003550267e-20
K00170	14.5706573358168	6.16396969826385	0.640422598519534	9.62484726883954	6.28001493059368e-22	5.34429270593522e-19
K02499	15.3936909298384	3.68570626844306	0.414611774515748	8.88953593454464	6.13646575734632e-19	4.569365814564e-16
K18344	4.03036874648102	3.99689242419322	0.453758907552163	8.80840542779593	1.2693859479354e-18	8.40192454650133e-16
K07099	15.1413529632164	3.92034943975913	0.4646640486908	8.43695450682011	3.25713165462543e-17	1.94027332666037e-14
K00171	19.549810628768	5.10111844867291	0.620107097457276	8.22618942693906	1.93263294302033e-16	1.04660858559746e-13
K02191	14.0239115907946	6.95259505788829	0.854022781564594	8.14099483991626	3.92043103425803e-16	1.94616730592292e-13
K09116	8.14727491170512	6.21131986569158	0.770584611363725	8.06052933590152	7.59647793714782e-16	3.48093992858381e-13
K18346	5.23596474945112	4.57213581061689	0.569200055561481	8.03256388671073	9.5456501614739e-16	4.06167414370715e-13
K09128	14.0912437258317	5.88921516215702	0.741298787534668	7.94445540878697	1.95045773059981e-15	7.74591780078873e-13
K11261	15.3689205017718	4.56804769658917	0.579288214710622	7.88562166566963	3.129734891963e-15	1.16523942196397e-12
K16905	3.35927714194745	4.01210237627458	0.510660286168393	7.8566955076502	3.94400058383016e-15	1.30524508210424e-12
K16906	3.35927714194745	4.01210237627458	0.510660286168393	7.8566955076502	3.94400058383016e-15	1.30524508210424e-12
K15024	2.82311900980171	3.96534398005822	0.507349288714545	7.81580671987358	5.46121203104676e-15	1.71223368783924e-12
K09005	15.7263683621744	4.00951192952294	0.517943805734853	7.74121031109598	9.84748502666323e-15	2.93307341519164e-12
K18926	10.8215423508466	4.98500887766948	0.646822958854945	7.70691393900786	1.28896658962001e-14	3.6563685592221e-12
K02598	4.21998206981529	3.0621324427742	0.400237612070278	7.65078630900016	1.99754052972595e-14	5.40879497071703e-12
K03399	15.4061313059604	4.43265807016585	0.581273549109076	7.62576944531508	2.42583049956774e-14	6.28290099388043e-12
K18345	3.49799031220217	3.78940541435126	0.501697024686641	7.55317497989572	4.24773690530938e-14	1.05432369770533e-11
K09003	14.1400164356709	5.96434569423625	0.791784725671695	7.53278700744891	4.96685950043474e-14	1.18350328176359e-11
K11041	13.390733463499	6.30001743377645	0.843848512151753	7.46581565654699	8.27851783428334e-14	1.82648632366022e-11
K16907	4.03559361349908	4.12929231856062	0.552806625704077	7.46968673412948	8.03859601901969e-14	1.82648632366022e-11
K00634	3.95601379943163	4.05588437777507	0.543723311591347	7.45946383263294	8.68752714084167e-14	1.84827139921406e-11
K01232	4.32827519013518	4.1332356997526	0.557297909931754	7.41656415014862	1.20197675928344e-13	2.46902605346603e-11
K07723	3.72011589161746	4.77367861246131	0.645644668848621	7.39366224609926	1.42838967466045e-13	2.83630576398411e-11
K00385	4.14640382186767	3.89351257427809	0.528753880912956	7.36356311476235	1.79065074220659e-13	3.23239590040141e-11
K16950	4.14640382186767	3.89351257427809	0.528753880912956	7.36356311476235	1.79065074220659e-13	3.23239590040141e-11
K16951	4.14640382186767	3.89351257427809	0.528753880912956	7.36356311476235	1.79065074220659e-13	3.23239590040141e-11
K08093	15.2887637047256	6.72536481424853	0.921458979655047	7.29860467230588	2.90767258804941e-13	5.09441341382658e-11
