	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K01884	262.538739095972	-3.53081183908432	0.695645757141828	-5.07558883646646	3.86297818763282e-07	0.000669452777596815
K03653	529.441727564043	-3.35464403878393	0.664989113806878	-5.04466008410201	4.54328318694818e-07	0.000669452777596815
K07227	267.389299066115	-3.34119878506601	0.650842796162036	-5.13364948458948	2.84177124975236e-07	0.000669452777596815
K19116	268.618513014438	-3.21644745170647	0.627911522255164	-5.122453303858	3.01585797316523e-07	0.000669452777596815
K03287	752.44137896883	-3.5242999712506	0.710348165728374	-4.96136984831497	6.99977656269358e-07	0.000825133661210319
K03313	7908.03184323671	-1.0141614803098	0.206911895380631	-4.90141699414705	9.51478509735426e-07	0.000934669056063433
K00033	14241.7162117543	-0.946079058181695	0.199354565914247	-4.74571050752182	2.07775699172403e-06	0.00105491652120845
K00086	414.018757395143	-2.44559095788185	0.525449196620883	-4.65428622521307	3.25104933854508e-06	0.00105491652120845
K01401	9.53246681047449	-5.69759977509764	1.18721160855401	-4.7991442587368	1.59344994037523e-06	0.00105491652120845
K01805	7404.89920186485	-1.08391851374714	0.235149950410727	-4.60947796014376	4.03681322893559e-06	0.00105491652120845
K02477	15469.5906061016	-1.06417547660628	0.227783900401077	-4.67186431847245	2.98478110691678e-06	0.00105491652120845
K02763	12.2878458860584	-5.77335781400611	1.22517588720222	-4.71226856022281	2.44974233853922e-06	0.00105491652120845
K03191	286.221937857792	-3.02841367263905	0.626029010761912	-4.83749733730918	1.3148414581129e-06	0.00105491652120845
K03975	7850.65548037548	-1.0304475109818	0.215836979911224	-4.77419352052478	1.80428821869651e-06	0.00105491652120845
K06120	412.744996520797	-2.48372265702663	0.531895657326639	-4.66956746650287	3.01834563452052e-06	0.00105491652120845
K06121	411.942631997773	-2.49553854636627	0.541290113307038	-4.6103530898055	4.01985630810484e-06	0.00105491652120845
K06122	411.942631997773	-2.49553854636627	0.541290113307038	-4.6103530898055	4.01985630810484e-06	0.00105491652120845
K08156	6383.89850418726	-1.39173681816446	0.294303147988758	-4.72892263530126	2.25714364854755e-06	0.00105491652120845
K08169	6416.39074337947	-1.38109296293015	0.298210565961713	-4.63126770332969	3.63433600200203e-06	0.00105491652120845
K11645	8279.4405981689	-1.06525922293752	0.230753300999715	-4.61644196777422	3.90375118874802e-06	0.00105491652120845
K12940	837.388001866914	-2.00665937141753	0.419376284909477	-4.78486610622406	1.71101354461948e-06	0.00105491652120845
K18837	370.765961245704	-2.45380798674856	0.532810080104207	-4.60540834037645	4.11657278381309e-06	0.00105491652120845
K18838	298.625844138347	-2.43511117736043	0.527955227230402	-4.61234409996236	3.98153152569929e-06	0.00105491652120845
K03322	8044.44245483688	-0.958527291790244	0.208973360901047	-4.58683962231973	4.50006097001715e-06	0.00110513997322004
K04027	457.97850835901	-1.98337349519634	0.43377407811762	-4.57236519020055	4.82249489829494e-06	0.00113695139722201
K19164	298.267249089532	-2.40590781474271	0.527425260458131	-4.56160899963891	5.0763112094153e-06	0.00115076070262668
K00208	14361.904316818	-1.03089983317637	0.22808778458584	-4.51975030161424	6.19126100422807e-06	0.00125535672739948
K07154	14513.3534144952	-1.10246409035777	0.243944609519136	-4.51932138419025	6.20381609689108e-06	0.00125535672739948
K08068	9.54402339659186	-5.11098017843745	1.13248476531094	-4.51306749105288	6.38966776755757e-06	0.00125535672739948
K15977	8078.54972498979	-1.01800366162901	0.224814714090296	-4.52818965052319	5.94911764051846e-06	0.00125535672739948
K00156	7021.94556818176	-1.12300211264226	0.254734959064695	-4.40851195597794	1.04083275533013e-05	0.00130608256969231
K00532	356.85879148893	-2.96272459487808	0.67642937070713	-4.37994670719412	1.18708337092438e-05	0.00130608256969231
K00658	7226.30924067689	-1.05539507576234	0.242642131358916	-4.34959530668315	1.36388998257131e-05	0.00130608256969231
K01535	246.123631219498	-3.81350669282082	0.879171241820286	-4.33761537163695	1.44036930827961e-05	0.00130608256969231
K01665	7358.44801483145	-0.988080751561265	0.220278676891702	-4.48559418235041	7.27110189350033e-06	0.00130608256969231
K01834	9853.746973937	-0.955517963837711	0.216729722051114	-4.40879983970246	1.03945036773095e-05	0.00130608256969231
K01844	335.39490931275	-2.37053396038152	0.545775505257945	-4.34342314292973	1.40279568211623e-05	0.00130608256969231
K01903	7508.26144996982	-1.05546177260681	0.242564678555616	-4.35125913175694	1.35357964645873e-05	0.00130608256969231
K01991	22893.1695544784	-1.12126175102956	0.255280344696493	-4.39227607735585	1.12170135155623e-05	0.00130608256969231
K03534	13926.3433987809	-1.06278204631439	0.242190503293573	-4.38820693570356	1.14289006294186e-05	0.00130608256969231
K03606	10218.1916834804	-1.19800796574046	0.274863845302832	-4.35855055589632	1.3092667969689e-05	0.00130608256969231
K03644	7541.88524573958	-0.9943313889612	0.22785071273719	-4.36395996754283	1.27728961168644e-05	0.00130608256969231
K03781	7477.92497851245	-1.00154143316562	0.229718709988898	-4.35986007937282	1.30145634204815e-05	0.00130608256969231
K03801	7335.55244855687	-1.05395044238425	0.236715365351327	-4.45239556300036	8.49175454127255e-06	0.00130608256969231
K04641	9.19863019032175	-5.64562062686346	1.26425477756473	-4.46557191402378	7.98551425010345e-06	0.00130608256969231
K04761	7144.11012940811	-1.12446726145946	0.257439403462399	-4.36789103119444	1.25452054143165e-05	0.00130608256969231
K05595	19568.5221779253	-1.11702650781246	0.253724901639593	-4.4025103590311	1.07005479044148e-05	0.00130608256969231
K05970	30747.0833875489	-1.23413808595729	0.2827847429033	-4.36423151152575	1.27570421095493e-05	0.00130608256969231
K07129	246.123631219498	-3.81350669282082	0.879171241820286	-4.33761537163695	1.44036930827961e-05	0.00130608256969231
K07148	13596.7777502246	-1.14486071825303	0.258359414157903	-4.43127153691918	9.36790325295272e-06	0.00130608256969231
K08191	8155.36614744788	-1.12240556430222	0.256689119508304	-4.3726261808534	1.22760822040552e-05	0.00130608256969231
K08364	180.315318056561	-2.36732445582144	0.536055336500599	-4.41619417740615	1.0045385357515e-05	0.00130608256969231
K08687	9.19863019032175	-5.64562062686346	1.26425477756473	-4.46557191402378	7.98551425010345e-06	0.00130608256969231
K09181	7179.18204539899	-1.10438230942074	0.249041647359177	-4.43452860648629	9.22739674442633e-06	0.00130608256969231
K09711	9.19863019032175	-5.64562062686346	1.26425477756473	-4.46557191402378	7.98551425010345e-06	0.00130608256969231
K09973	6883.9350205908	-1.12916616290243	0.259345034357983	-4.35391472097285	1.33727745626564e-05	0.00130608256969231
K11741	7906.763582682	-1.0510043994164	0.239462354558699	-4.38901722716826	1.13864050336701e-05	0.00130608256969231
K13816	296.77444076001	-2.38484250025399	0.532119757682177	-4.4817777686774	7.40238052044894e-06	0.00130608256969231
K16053	7107.2202049475	-1.17969935965243	0.271136624147482	-4.35094064979854	1.35554743354966e-05	0.00130608256969231
K16089	19976.1956329144	-1.17559968598235	0.264631607483468	-4.44240088008304	8.89606180417937e-06	0.00130608256969231
K17865	286.839165896597	-2.69410315600178	0.611836323157098	-4.4033069859274	1.06613137184597e-05	0.00130608256969231
K18011	335.577468202057	-2.37139678593022	0.54574997119126	-4.34520734972087	1.39144164986725e-05	0.00130608256969231
K18139	7204.40513673405	-1.1165930427999	0.253549247075693	-4.4038507535641	1.06346118714587e-05	0.00130608256969231
K18922	316.132288434068	-2.28222361749796	0.519298551541846	-4.39481991760197	1.10864621200575e-05	0.00130608256969231
K19212	246.123631219498	-3.81350669282082	0.879171241820286	-4.33761537163695	1.44036930827961e-05	0.00130608256969231
