	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K06297	154.466920683916	3.09672092236278	0.563686127762084	5.4936972365405	3.93605054539651e-08	0.000268045042141502
K01361	60.2667373391766	-2.82752590790023	0.578302460057309	-4.88935479821412	1.01167012996004e-06	0.00172649529079165
K09962	73.1122551551825	-2.30744249378128	0.474815219759638	-4.85966413408011	1.17585063090549e-06	0.00172649529079165
K19169	155.648748424611	2.82215750313878	0.567841384560515	4.96997503153633	6.69615240225323e-07	0.00172649529079165
K19355	138.435656894923	3.52809113077673	0.728227539377288	4.84476477474832	1.26761768780591e-06	0.00172649529079165
K17624	20.9869427568976	-3.39365547672308	0.709483248073034	-4.78327780950473	1.72459508374351e-06	0.00195741542004888
K02531	33.3322321334703	-2.92020722431662	0.627080284846851	-4.65683150129622	3.21113044452647e-06	0.00312397118960361
K20107	114.581879614607	-2.25549885783906	0.491407245853701	-4.58987708640859	4.4350709508943e-06	0.00335587035284336
K20108	114.581879614607	-2.25549885783906	0.491407245853701	-4.58987708640859	4.4350709508943e-06	0.00335587035284336
K17992	184.14623845759	2.54901808854599	0.562722478284058	4.52979610183488	5.90406369058015e-06	0.00402066737328508
K16235	267.609536185821	-2.1624582797187	0.481039429423141	-4.49538675511883	6.94436093856906e-06	0.00429919072651412
K06295	181.522772591696	2.67405244555495	0.59733935344152	4.47660518288076	7.58393123548985e-06	0.00430388097614049
K07498	57.5274856937309	-2.51778852946268	0.575359340618189	-4.37602790415719	1.20861548657716e-05	0.00608901879465208
K18332	188.884089296061	2.4284456121232	0.555915905102201	4.3683686504288	1.25178066263038e-05	0.00608901879465208
K06416	221.764419855554	2.39941928261595	0.554532497268304	4.32692275824372	1.51206956279257e-05	0.00686479581507825
K00689	27.4492377539445	-3.60152618002	0.84459782880221	-4.26419066827061	2.00628072351265e-05	0.00853923232945072
K06196	67.7076238247545	-1.90638047936876	0.451656429329359	-4.22086425781528	2.43367458316816e-05	0.00974901406551479
K01819	85.0804956469422	-2.10493159391422	0.501423286956098	-4.19791351672606	2.69385461918385e-05	0.0101917499759122
K18887	105.662012256657	-2.29045441165336	0.551885466761429	-4.1502350570929	3.3213401626884e-05	0.011309163253954
K18888	105.662012256657	-2.29045441165336	0.551885466761429	-4.1502350570929	3.3213401626884e-05	0.011309163253954
K13252	7.73369337629466	-2.81625661543803	0.686821424576549	-4.10042045088264	4.12400182013352e-05	0.0133735487595758
K01218	1119.74131469327	2.48034994360294	0.609829396783984	4.06728497623006	4.75640628248567e-05	0.0137765311480354
K02817	82.8947151307892	-2.37340764414855	0.581364873344893	-4.08247514249202	4.45585793071852e-05	0.0137765311480354
K16925	188.447603425554	-2.27823504967265	0.560797450469075	-4.06249181013045	4.85516516230324e-05	0.0137765311480354
K05770	252.883728787147	2.1399032383313	0.531995622846552	4.02240760343348	5.76062550451812e-05	0.0156919438743074
K00936	97.6466867492947	-2.4270920570946	0.612389384094696	-3.96331504126676	7.39161347328466e-05	0.0167789625843562
K01220	40.7019462625316	-2.17470972130727	0.547632239124233	-3.97111339680264	7.15375163067467e-05	0.0167789625843562
K02786	40.2556323221674	-2.20127375201006	0.554414194867803	-3.97044984126884	7.17370580418062e-05	0.0167789625843562
K02787	40.4398077868634	-2.18973169114639	0.550877862791847	-3.97498581636379	7.03834506084241e-05	0.0167789625843562
K02788	40.4398077868634	-2.18973169114639	0.550877862791847	-3.97498581636379	7.03834506084241e-05	0.0167789625843562
K06284	272.463830825804	1.97866708929699	0.500996014628093	3.94946672533079	7.83254977181995e-05	0.0172063432084174
K03342	227.087504819278	-2.12905952023817	0.543440770643781	-3.9177397708236	8.93831224974398e-05	0.0190218457564864
K01895	660.440584567343	1.15903885687252	0.301713905007832	3.84151621000839	0.000122276659320985	0.0232916026954905
K07457	86.1445622811535	-2.0343238204958	0.532529101612167	-3.82011765054179	0.000133388033057875	0.0232916026954905
K19046	91.1556711978094	2.04186641981659	0.533493296849229	3.82735159349835	0.000129529432208171	0.0232916026954905
K19123	91.1556711978094	2.04186641981659	0.533493296849229	3.82735159349835	0.000129529432208171	0.0232916026954905
K19124	91.1556711978094	2.04186641981659	0.533493296849229	3.82735159349835	0.000129529432208171	0.0232916026954905
K19125	91.1748286279905	2.0409078023332	0.53346040870935	3.82579057229562	0.000130353075624021	0.0232916026954905
K19126	91.1556711978094	2.04186641981659	0.533493296849229	3.82735159349835	0.000129529432208171	0.0232916026954905
K02334	66.6761102619815	2.97820634881576	0.782276449138069	3.8071021466864	0.000140604680794487	0.0239379469052614
K05823	104.805237218035	-1.88420650002122	0.495940540744004	-3.79925887324025	0.000145129437099215	0.0241056455279427
K03366	142.052488366909	-1.61530408206616	0.428329687263527	-3.77117003583354	0.000162483905746783	0.0255476980696234
K10039	266.097442734594	-1.91315741362683	0.507841329636266	-3.76723457107578	0.00016506589061137	0.0255476980696234
K18474	86.2509266848242	-2.26811646022506	0.601024053250622	-3.7737532266105	0.000160809832719219	0.0255476980696234
K01912	825.641869163726	1.87550612541244	0.501894702077096	3.73685180905604	0.000186338668522051	0.026436798596566
K08969	113.76896997731	-1.69251263705905	0.452564853768913	-3.73982341528288	0.000184149575587671	0.026436798596566
K16214	7.76609026701151	-2.34803749461703	0.627841998498807	-3.73985413564443	0.000184127071598926	0.026436798596566
K22441	108.663908215171	-1.7519581958303	0.467911369331433	-3.74420950346548	0.00018096261230924	0.026436798596566
K01060	51.191815768148	-1.88050755862734	0.509202338407132	-3.69304580279398	0.000221584094206617	0.0307956669703482
K09118	94.0723949944202	-2.3325846001525	0.632885261919082	-3.68563583402063	0.000228132365998699	0.0310716282490228
K01635	40.6967584306628	-1.82801836489397	0.497746423885477	-3.67258965041719	0.000240104875987465	0.0314036249954038
K07706	37.3857251441208	-2.52423246755704	0.688166768694177	-3.66805341726521	0.000244404129920177	0.0314036249954038
K15856	14.8792815629858	3.4572293525737	0.941539099911375	3.67189143063642	0.000240761967180847	0.0314036249954038
K00872	589.235217455708	-0.897884108867437	0.245283139025552	-3.66060265061228	0.000251622719861213	0.0317324207824974
K00179	659.949737689006	1.74389746865457	0.481255316439684	3.6236430208312	0.000290482458863353	0.0359670099065352
K08986	96.5469018126887	-1.95544129010734	0.540971860196943	-3.61468208234612	0.000300716408403832	0.0365692632362517
K00390	616.576954080555	1.13941927698041	0.316010844241211	3.60563347032069	0.000311392392816389	0.0368664448392444
K07707	238.379227931983	-2.10247556655457	0.583457307116777	-3.6034779938642	0.000313987342243198	0.0368664448392444
K00180	676.304077651418	1.72003722339646	0.479238664838955	3.58910361286159	0.000331816949673314	0.0377886157844835
K03666	410.940102137828	1.13418579517457	0.316085640417674	3.58822309572767	0.000332939346118797	0.0377886157844835
K12294	15.7635392328428	-2.04892586315779	0.572460010224221	-3.57915981302392	0.000344700636034626	0.0384821529737017
K04086	141.986052551744	-1.76263026314625	0.496312335411671	-3.55145366613591	0.000383109439585403	0.0416284336896844
K12295	15.6882045699183	-2.04092633985492	0.574895292272558	-3.55008358441612	0.000385108857922191	0.0416284336896844
K07559	424.142855021615	1.12832754568145	0.31875213871565	3.53982737254041	0.000400388838427209	0.0426038748388952
K07230	74.8181822426073	-2.70676916804234	0.768996514128994	-3.51987183076918	0.000431755382418105	0.0452346792964199
K01274	8.4056079889471	-2.08655765354661	0.594739730018935	-3.50835424006426	0.000450888235892369	0.0452662443058528
K03784	873.193942950279	0.773122691461681	0.220158786652344	3.51165948549003	0.000445318176480451	0.0452662443058528
K12554	170.184675400601	-1.86418775555688	0.531455806512666	-3.50770041970075	0.000451997740498971	0.0452662443058528
K07704	4.02630300187807	-2.8303859057792	0.809284555626021	-3.4973927107626	0.000469829652189081	0.046370143933444
K03614	1399.9388476623	1.01852357139962	0.292438454611664	3.48286470311213	0.000496079006872588	0.0475816624901736
K14623	351.48148439981	1.13404992309612	0.32525863503709	3.48660973433281	0.000489184647120091	0.0475816624901736
K22457	113.539773242709	-1.76428668249277	0.507215357852303	-3.47837788264787	0.000504458230556524	0.0477133409734712
K00983	9.88094262748857	-3.04199033504975	0.87848276839327	-3.46277746644195	0.0005346303656674	0.0478504269637915
K01596	314.261783899498	2.2720471560622	0.656864945292652	3.45892587562263	0.0005423341357489	0.0478504269637915
K08352	7.67360344056377	-3.03471921601852	0.876751190224813	-3.46132317794786	0.000537527104174161	0.0478504269637915
K09705	30.6747296437414	-2.06532137707011	0.597588515931968	-3.45609281639079	0.000548066564342986	0.0478504269637915
K12556	116.512641366259	-1.78769139907037	0.515184072408415	-3.47000517836888	0.000520448330697056	0.0478504269637915
K18120	162.75602283636	-2.14110005411043	0.617235084180632	-3.46885669493772	0.000522678174049248	0.0478504269637915
K03693	111.529783659241	-1.77329191724545	0.514106079128051	-3.44927241524364	0.000562099326648476	0.0484543849933686
K00687	110.633799028178	-1.78854983664861	0.521639962241803	-3.4287055557671	0.000606467088814675	0.0516255109353492
K07099	226.866798972552	1.89083363222149	0.552227344780302	3.42401304479722	0.000617036589711832	0.0518767799498467
K02476	22.0310928578387	-2.76779360854609	0.811628554649022	-3.41017278494223	0.000649217353254221	0.0539167094592835
K16881	23.9894349045565	2.33450235605062	0.685397248936089	3.40605737719893	0.00065908326079026	0.0540765904335141
K02248	117.578246918481	-1.6528803474485	0.487435945117303	-3.39096934480433	0.00069645890743865	0.0564629185673477
K04092	84.0492972500121	-2.24177639464786	0.662943539059553	-3.38154950243278	0.000720782445763754	0.0577473935958961
K03770	434.1527090487	1.06096988486481	0.314704623085827	3.37131966623656	0.000748089978588014	0.0592382878393532
K21828	15.6428110001976	-1.80903566640497	0.537649250706765	-3.3647134521752	0.000766231906054606	0.0599774629911709
K14982	111.346632456756	-1.67602065923673	0.49919101684909	-3.35747359761364	0.000786582552769085	0.0608707634586076
K05362	107.783675696331	-1.78106818450259	0.531439883434539	-3.35140105216055	0.00080403766660816	0.0615224326921524
K02241	56.6207757090529	3.64897824400016	1.09057163521526	3.34593173540582	0.000820065824582589	0.0619389471321202
K10040	257.053397635364	-1.8008952115289	0.539135739078628	-3.34033728612872	0.000836766980345823	0.0619389471321202
K18926	50.1755451432544	-2.42649783706657	0.726265757296877	-3.34106050393711	0.000834590335241668	0.0619389471321202
K10041	130.144273371904	-1.80324680648869	0.542439580864057	-3.3243274829176	0.000886320510880341	0.0649015341838185
K20113	24.0561387228786	-1.93318456500832	0.585668353446157	-3.30081786668716	0.000964034420539996	0.0691060463566039
K21672	18.4217715466213	-2.39552920156076	0.725365157337611	-3.30251484694045	0.0009582201513671	0.0691060463566039
K00841	135.644839723641	-1.4656804417745	0.445649761548986	-3.28886172109707	0.00100593431958012	0.0713584657952151
K20114	23.8443679061369	-1.92784021941742	0.586884056312273	-3.28487407126229	0.00102027961698834	0.0716299401205215
K05499	311.434528158529	1.14139975832121	0.349157003274157	3.26901579409245	0.00107922277192501	0.0719159337622427
K11617	112.456501477318	-1.7003516912881	0.519137493202643	-3.27533979639643	0.0010553495210041	0.0719159337622427
K12506	316.924244299294	1.98826620038652	0.607788791360988	3.27131106833067	0.00107050089942585	0.0719159337622427
K14983	107.110083529525	-1.66402320182587	0.507819684587736	-3.276799329228	0.00104990959582924	0.0719159337622427
K18830	5.74086985556653	-2.13200845090111	0.652569753226445	-3.26709664424378	0.00108656580503053	0.0719159337622427
K19171	336.019933130244	1.9926037939189	0.610467717451531	3.26406087816937	0.00109827564042191	0.0719159337622427
K20112	24.618896608556	-1.89490602360783	0.580486282898442	-3.26434246498699	0.00109718458749972	0.0719159337622427
K00196	123.897441102835	2.1534079564582	0.660345655050936	3.26103146130658	0.00111007722732597	0.0719964373151415
K15924	17.7369238908098	2.91048352265967	0.896771026242681	3.24551467151443	0.00117238523157559	0.0753202210097147
K12415	3.8570970478596	-2.4358601786853	0.758322177446164	-3.21217056698599	0.00131736136879803	0.0830669529769871
K19137	17.6396161071076	-2.4378169697313	0.758764938421457	-3.21287508988352	0.00131413428716018	0.0830669529769871
K07334	710.373648314972	1.32263998756589	0.413517962582263	3.19850673307276	0.00138141307211014	0.0853510139147843
K10830	56.8288977058505	-1.82387192883796	0.570588705874504	-3.19647394009075	0.00139118392724538	0.0853510139147843
K19972	56.8288977058505	-1.82387192883796	0.570588705874504	-3.19647394009075	0.00139118392724538	0.0853510139147843
K22212	99.4185835744734	-1.61034218576173	0.504795469940018	-3.19008842522512	0.00142229268311561	0.0864804747501543
K02244	110.76308301729	-1.46659676254821	0.461139972021866	-3.18037223300753	0.00147085984253696	0.088642084315723
K11618	109.332601165915	-1.68383643989788	0.530013873315034	-3.17696672610876	0.00148824109695084	0.0889028234231158
K17810	79.2599112216377	-1.8476924818331	0.582556596689262	-3.17169609327875	0.00151551512565037	0.0897448522232961
K12292	4.74971086528893	-2.05985563553364	0.651806816452185	-3.16022413933246	0.00157647811486343	0.091759110788205
K12293	4.74971086528893	-2.05985563553364	0.651806816452185	-3.16022413933246	0.00157647811486343	0.091759110788205
K01179	2673.69160312429	1.57546106955166	0.500777500637001	3.14603005835452	0.0016550299546046	0.0944604363781691
K02099	451.977899060217	0.947286320560091	0.301265152503424	3.14436074895627	0.00166450108155364	0.0944604363781691
K18216	14.0395523419528	-1.78611339442653	0.567768543303638	-3.14584774991899	0.00165606189697079	0.0944604363781691
K06907	481.513898550608	1.25034755220055	0.398565542201867	3.13711904268752	0.00170616837952989	0.0944634688178745
K18217	14.020896549424	-1.78381332702803	0.568066735210228	-3.14014747997501	0.00168862801667699	0.0944634688178745
K22397	13.8965610409352	-2.07741603002573	0.662161097956202	-3.13732721000644	0.00170495735542988	0.0944634688178745
K15921	71.3567958490162	2.51943941066267	0.806238483946462	3.12493072562134	0.00177846937363872	0.0976723906006426
K01746	8.68593325514265	-2.05428457301822	0.659335806634162	-3.11568786701442	0.00183516409917554	0.0999797401230836
K03446	851.805759706489	-1.23525714254354	0.405091824039322	-3.04932627429094	0.0022935524089021	0.12396104686209
K00772	197.447993482206	-1.77861871982028	0.585950793886055	-3.0354404130497	0.00240184678192049	0.128791941613217
K05311	72.4757955910803	-1.50095578048771	0.495496966046876	-3.02919267591582	0.00245208242425268	0.129447141931479
K12137	57.7296396642122	-1.43369158805381	0.472941684817912	-3.03143417904852	0.00243394980314637	0.129447141931479
K03727	77.3856374847974	-2.29284105356175	0.76387443647779	-3.00159416792895	0.00268569958313257	0.135453684479705
K06117	77.3856374847974	-2.29284105356175	0.76387443647779	-3.00159416792895	0.00268569958313257	0.135453684479705
K07768	77.3290714144797	-2.29166871193679	0.764041706048854	-2.99940264228228	0.0027050956078179	0.135453684479705
K07776	77.4343377389451	-2.29384447411187	0.763910240290658	-3.0027670178097	0.00267537160215108	0.135453684479705
K08372	77.4830379930929	-2.29484719000754	0.763946117141953	-3.00393854817004	0.00266509148855822	0.135453684479705
K10006	77.3856374847974	-2.29284105356175	0.76387443647779	-3.00159416792895	0.00268569958313257	0.135453684479705
K13640	79.1889620785797	-2.29177121094529	0.760724084679842	-3.01261818456794	0.002590045622982	0.135453684479705
K02056	1857.08710751639	0.704448551331922	0.235481448643061	2.99152462069194	0.00277588153164585	0.137983600222688
K01668	6.88368403978629	-2.1572229397243	0.722289649774443	-2.98664523352641	0.00282056828347437	0.139188913119279
