	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K14337	78.1922346492379	-9.4380476167671	0.472322147908399	-19.9822253912122	7.86391067457584e-89	3.16522404651678e-85
K01451	147.91338168925	-9.7948632329404	0.491646194427856	-19.9225852736214	2.5925372277392e-88	4.1942246560177e-85
K07653	75.1370467003727	-9.45397483288455	0.474758904116023	-19.9132122661024	3.12613017839828e-88	4.1942246560177e-85
K01692	84.1001961336066	-8.11754314731979	0.424734358590179	-19.1120472906039	2.00448519526539e-81	2.0170132277358e-78
K07669	75.1723322452491	-9.11616142454224	0.483908252122527	-18.8386153461049	3.64373762565516e-79	2.9332087886524e-76
K02229	70.0250329949377	-9.58324858851351	0.51308390920984	-18.6777414307767	7.5131488688688e-78	3.36004713302188e-75
K03919	70.0250329949377	-9.58324858851351	0.51308390920984	-18.6777414307767	7.5131488688688e-78	3.36004713302188e-75
K08224	70.0250329949377	-9.58324858851351	0.51308390920984	-18.6777414307767	7.5131488688688e-78	3.36004713302188e-75
K09936	70.0250329949377	-9.58324858851351	0.51308390920984	-18.6777414307767	7.5131488688688e-78	3.36004713302188e-75
K00392	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K00966	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K01616	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K01720	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K05308	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K06986	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K07182	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K09146	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K11387	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K12428	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K12437	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K12954	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K13668	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K13686	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K13687	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K13693	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K14136	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K14339	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K14743	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K14949	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K15733	70.247281789765	-9.58685010310088	0.519206724471743	-18.4644182196501	3.99302132866166e-76	1.1295528363219e-73
K16647	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K16648	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K16649	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K16652	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K16653	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K16870	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K17744	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K18614	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K18701	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K18917	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K03365	68.9080855839335	-9.55903004392191	0.519309861359238	-18.4071799039251	1.15060040470057e-75	1.1295528363219e-73
K18851	90.4676272895142	-9.77057004746631	0.531870028913559	-18.3702211373415	2.27483093523476e-75	2.18004631293331e-73
K00130	70.2453628743476	-8.4938055823247	0.466894046935239	-18.1921479575061	5.95596197695754e-74	5.57505743191956e-72
K08168	68.9422028299844	-9.38080744346985	0.516615594699458	-18.1581964224815	1.10598850358531e-73	1.01172811975701e-71
K07110	76.2306558283776	-9.52433120523842	0.526065053513881	-18.1048544122445	2.91781731472704e-73	2.60982548706141e-71
K07156	75.8101870072248	-9.51637991786706	0.52584606583259	-18.0972732063697	3.34839136595279e-73	2.92984244520869e-71
K00697	69.0670565411267	-9.32857520098218	0.521105808361966	-17.9014991798027	1.14789845900768e-71	8.88517557212674e-70
K01087	69.0670565411267	-9.32857520098218	0.521105808361966	-17.9014991798027	1.14789845900768e-71	8.88517557212674e-70
K03889	69.0670565411267	-9.32857520098218	0.521105808361966	-17.9014991798027	1.14789845900768e-71	8.88517557212674e-70
K03890	69.0670565411267	-9.32857520098218	0.521105808361966	-17.9014991798027	1.14789845900768e-71	8.88517557212674e-70
K03891	69.0670565411267	-9.32857520098218	0.521105808361966	-17.9014991798027	1.14789845900768e-71	8.88517557212674e-70
K12583	69.0670565411267	-9.32857520098218	0.521105808361966	-17.9014991798027	1.14789845900768e-71	8.88517557212674e-70
K07245	75.969157964418	-9.29683558668921	0.527750909577714	-17.6159536970352	1.85830704145863e-69	1.4112614795983e-67
K16237	112.867774189442	-9.81284534965426	0.557894614289673	-17.5890662829722	2.98759772335598e-69	2.22686682157552e-67
