	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K01520	683.789116394393	0.850315683173097	0.0464628467735197	18.3009811542093	8.12720093048963e-75	2.77636464718924e-71
K07074	24.5146164415527	-8.56428337589774	0.468653528489129	-18.2742321465236	1.3274514210802e-74	2.77636464718924e-71
K00432	781.999740644943	2.09874538907933	0.116168966176292	18.0663171771228	5.8703972509875e-73	8.18529056696024e-70
K00773	725.918647631683	0.885826838935369	0.050863577922763	17.4157398105282	6.26735100018861e-68	6.55408230844724e-65
K04075	737.329622653701	0.82707494983358	0.0483917263588696	17.0912470388027	1.72446354532822e-65	1.44268620202159e-62
K00945	724.285700142872	0.808721410043167	0.0474545460758616	17.0420218275891	4.00638573658791e-65	2.79311858935787e-62
K01972	738.716410515188	0.817082993174912	0.0481459523106903	16.9709592179671	1.34713509042987e-64	8.05009440466881e-62
K04062	30.591064805822	-8.44554913721506	0.498919937784381	-16.9276641352926	2.81324589164597e-64	1.47097594559439e-61
K03690	20.8878706257958	-7.89411715551164	0.467570368738505	-16.8832708043707	5.97412033718367e-64	2.77663837449326e-61
K15461	21.0509363841571	-7.81812913471341	0.464376387351138	-16.8357594134125	1.3346503837605e-63	5.58284255527016e-61
K00428	23.564756255368	-8.07037763561455	0.483173806806341	-16.7028458950574	1.24959805446587e-62	4.75188060166431e-60
K02836	738.513548670792	0.817381320854365	0.0494225080428202	16.5386451077347	1.93321694926597e-61	6.73887208231629e-59
K18997	19.5253586368868	-8.05668874516527	0.498435319990914	-16.1639603415587	9.05526741026457e-59	2.91370642901051e-56
K09974	20.0527933136544	-7.91915700356629	0.494772941360987	-16.0056388325983	1.16709122686744e-57	3.4871018585618e-55
K13017	18.1406447755561	-7.77268345417836	0.489759263353347	-15.8704164183835	1.01564795916978e-56	2.83230360880479e-54
K13926	19.537420494991	-7.96890127909811	0.503175568562585	-15.8372182136402	1.72275154016936e-56	4.50391855783027e-54
K11089	13.719237200659	-7.54676691104134	0.476656218876874	-15.8327251636903	1.85030702893415e-56	4.55284370707737e-54
K15539	22.7330369515426	-7.49366036146627	0.477112304695254	-15.7062819125	1.36980558121303e-55	3.18327597011895e-53
K06969	525.297325798149	1.24311748906132	0.0796906633684727	15.5992864975086	7.3612212112788e-55	1.62063096456733e-52
K02238	737.878428502238	0.838928617244823	0.0538220408350638	15.5870829910686	8.91106429613018e-55	1.86374909753563e-52
K11747	28.3307700489884	-7.8100332748496	0.501248673332896	-15.5811550042003	9.77720301881656e-55	1.94752572512903e-52
K07064	21.9018691054444	-8.40956761471666	0.54593926181694	-15.4038520452418	1.54203211663946e-53	2.93196379268312e-51
K07139	503.744211242672	1.49151237519159	0.097288177433027	15.3308697371614	4.75575926250694e-53	8.64927869350719e-51
K07724	18.4231931040446	-7.52384688573742	0.491839972350049	-15.2973473257733	7.96369361315783e-53	1.38800543265997e-50
K02824	619.912157210672	1.13714707205965	0.0744860780983972	15.2665719700997	1.2771263469116e-52	2.13688780365249e-50
K02062	78.655909940863	-6.66243054600295	0.437003535803312	-15.2457131353775	1.75802954753737e-52	2.8283990759034e-50
K02553	20.2264616389269	-7.3211951144418	0.483203032186764	-15.1513848770967	7.41867204843364e-52	1.14934463624437e-49
K09691	86.1397772134841	-8.18664537253502	0.548704886137737	-14.9199425398956	2.4448382267187e-50	3.65241367941583e-48
K01716	20.4971063328261	-7.49803508865221	0.503090362096856	-14.9039529546954	3.10644084308271e-50	4.4807731195224e-48
K07289	14.2110551374749	-7.77085274199857	0.525662366625326	-14.7829733216138	1.88650767117131e-49	2.6304205295032e-47
K19591	21.3498014499683	-7.29873897810948	0.496960845748908	-14.686748544768	7.83857967764169e-49	1.05770254166372e-46
K07089	446.733553862661	1.49391431154146	0.103107890073346	14.4888457176145	1.42517652305086e-47	1.86297293622554e-45
K04045	19.7192872066528	-8.06833152311902	0.559138238166619	-14.4299405270056	3.35370183432933e-47	4.25107114333321e-45
K00010	84.3447181712668	-8.24358699794171	0.575185765596294	-14.3320427782068	1.38000834613343e-46	1.69781615055181e-44
K03335	84.2644404914758	-8.24219758366175	0.575174177900415	-14.3299158765239	1.42292858651593e-46	1.7006029363989e-44
K06959	671.056033971681	0.814109112658569	0.0569745078403875	14.2890064963663	2.56238883056824e-46	2.97735346618526e-44
K07071	75.1906428289682	-7.78452295416644	0.546569530666333	-14.2425117343738	4.99007507066397e-46	5.64148216772632e-44
K00098	35.6682206122364	7.74427247509713	0.545709486106612	14.1912000290649	1.03865991491667e-45	9.05148838353419e-44
K02182	35.6682206122364	7.74427247509713	0.545709486106612	14.1912000290649	1.03865991491667e-45	9.05148838353419e-44
K08168	35.6682206122364	7.74427247509713	0.545709486106612	14.1912000290649	1.03865991491667e-45	9.05148838353419e-44
K08173	35.6682206122364	7.74427247509713	0.545709486106612	14.1912000290649	1.03865991491667e-45	9.05148838353419e-44
K08297	35.6682206122364	7.74427247509713	0.545709486106612	14.1912000290649	1.03865991491667e-45	9.05148838353419e-44
K08298	35.6682206122364	7.74427247509713	0.545709486106612	14.1912000290649	1.03865991491667e-45	9.05148838353419e-44
K16237	35.6682206122364	7.74427247509713	0.545709486106612	14.1912000290649	1.03865991491667e-45	9.05148838353419e-44
K17329	35.6682206122364	7.74427247509713	0.545709486106612	14.1912000290649	1.03865991491667e-45	9.05148838353419e-44
K17330	35.6682206122364	7.74427247509713	0.545709486106612	14.1912000290649	1.03865991491667e-45	9.05148838353419e-44
K17331	35.6682206122364	7.74427247509713	0.545709486106612	14.1912000290649	1.03865991491667e-45	9.05148838353419e-44
K22491	35.6682206122364	7.74427247509713	0.545709486106612	14.1912000290649	1.03865991491667e-45	9.05148838353419e-44
K01792	75.2413871760002	-7.587725698191	0.536502865571843	-14.1429360122866	2.0648644733471e-45	1.76272001877774e-43
K03336	79.471136968967	-8.15884298855162	0.577963571226851	-14.1165350114242	3.00402771383675e-45	2.51316958539582e-43
K03855	35.6962629386036	7.6123697173076	0.542241873350439	14.0386976576925	9.03578758237961e-45	7.41111754060665e-43
K00040	35.7328739611984	7.48114269729181	0.540269284289414	13.8470627793163	1.32521094515619e-43	1.02654766362747e-41
K08368	35.7328739611984	7.48114269729181	0.540269284289414	13.8470627793163	1.32521094515619e-43	1.02654766362747e-41
K15034	35.7589043721157	7.48220377712178	0.540257442909096	13.8493303059977	1.28403622646588e-43	1.02654766362747e-41
K07444	524.399766540666	1.15029121979585	0.083110914084048	13.8404351880018	1.45324099806912e-43	1.10525583544057e-41
K00819	8.11026586795067	-6.97616412188165	0.505080400665898	-13.8119873839576	2.15794876853747e-43	1.61191066049862e-41
K05366	749.230330454659	1.22236672461795	0.0894930864895617	13.658783852097	1.78947348448784e-42	1.31322238344081e-40
K00645	691.527460716077	0.683272815835165	0.0502821091765855	13.5887858927234	4.66758860250287e-42	3.36629709039129e-40
K14059	10.6112838952749	-7.34609381975421	0.542833538433918	-13.532866522853	1.0004503711856e-41	7.09302356384641e-40
K13529	78.9200745804588	-8.17005032142182	0.604890570056221	-13.5066584368516	1.42860039058528e-41	9.9597257230304e-40
K03317	25.2213045149038	-6.40373987677301	0.4747548295506	-13.4885197120264	1.82732611180655e-41	1.2452315238006e-39
