	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K00966	38.5335875567689	4.40584949700342	0.579161610971331	7.60728855908495	2.79905911171851e-14	1.08965350679845e-10
K06045	38.6241754292807	4.32929149627399	0.572555709733249	7.56134542486875	3.98921291158138e-14	1.08965350679845e-10
K00185	62.3821089832613	4.64614935374267	0.626345244957516	7.41787279642844	1.19016321139415e-13	2.16728720794875e-10
K00801	38.9798066735142	4.08759854792182	0.580623301935522	7.04001808796806	1.92214878407489e-12	2.62517470185028e-09
K02291	59.2905767124687	2.72810542201965	0.428980133943227	6.35951459323451	2.02392302958566e-10	1.84278191843775e-07
K15921	1142.69460093084	2.94197017474399	0.461624311815227	6.37308326152796	1.85265236939904e-10	1.84278191843775e-07
K03606	554.278222130359	-2.08387767705995	0.351464815000767	-5.9291217445348	3.0455922356277e-09	2.37686719760487e-06
K01218	3283.27136871466	2.33513977545255	0.400805285071933	5.82612021953119	5.67307563179001e-09	3.44355690849654e-06
K11537	510.279928638908	-2.10963308663527	0.361464980071832	-5.83634156264885	5.33594540278185e-09	3.44355690849654e-06
K09909	508.844508834067	-2.03654662921619	0.351925538399022	-5.78686797917776	7.17108937809683e-09	3.9175661272543e-06
K01467	490.972747216808	-2.09269846456048	0.364455978835412	-5.74197869176828	9.35765995852216e-09	4.64735421394605e-06
K06905	1173.73566125686	-1.91343138954622	0.336160556629212	-5.69201636483708	1.25547817381457e-08	5.71556438629084e-06
K02386	499.810712725506	-2.04307710971247	0.365811473935879	-5.58505474891307	2.33626603006717e-08	6.23807249030432e-06
K02391	498.61215773847	-2.04061066445481	0.370079153465506	-5.51398436076732	3.50799785573531e-08	6.23807249030432e-06
K02393	499.810712725506	-2.04307710971247	0.365811473935879	-5.58505474891307	2.33626603006717e-08	6.23807249030432e-06
K02394	499.579322821415	-2.04325306175901	0.365915511599726	-5.58394765181236	2.35119502767084e-08	6.23807249030432e-06
K02399	498.414807933894	-2.04242857410759	0.370252191393214	-5.5163173144828	3.46176980210169e-08	6.23807249030432e-06
K02402	497.952028125714	-2.04278143080063	0.370511879473602	-5.51340333190633	3.51960388863671e-08	6.23807249030432e-06
K02403	497.952028125714	-2.04278143080063	0.370511879473602	-5.51340333190633	3.51960388863671e-08	6.23807249030432e-06
K02423	497.917452746307	-2.04265511215994	0.370506528992575	-5.51314201591538	3.52483580053935e-08	6.23807249030432e-06
K02425	497.917452746307	-2.04265511215994	0.370506528992575	-5.51314201591538	3.52483580053935e-08	6.23807249030432e-06
K03414	498.183418029804	-2.04260485257793	0.370374906168521	-5.5149655620798	3.48848261196457e-08	6.23807249030432e-06
K03516	497.952028125714	-2.04278143080063	0.370511879473602	-5.51340333190633	3.51960388863671e-08	6.23807249030432e-06
K03675	498.666973742197	-2.03850975027728	0.369909018937753	-5.51084089847594	3.57123423923993e-08	6.23807249030432e-06
K03776	505.892377871955	-2.06741911992077	0.369694066391023	-5.59224317583197	2.24154574014892e-08	6.23807249030432e-06
K03819	497.917452746307	-2.04265511215994	0.370506528992575	-5.51314201591538	3.52483580053935e-08	6.23807249030432e-06
K04018	560.875245522552	-2.00310117976863	0.364017140107182	-5.50276610375772	3.73878294765011e-08	6.23807249030432e-06
K05875	553.180934564145	-2.0947770252749	0.374576138151405	-5.59239313965105	2.23960994724717e-08	6.23807249030432e-06
K07026	497.917452746307	-2.04265511215994	0.370506528992575	-5.51314201591538	3.52483580053935e-08	6.23807249030432e-06
K12290	532.57319412285	-1.98140289555992	0.360180708989054	-5.50113553033218	3.77352993888968e-08	6.23807249030432e-06
K12291	498.365806026777	-2.03642455280487	0.370520386031062	-5.49612013152266	3.88238082867192e-08	6.23807249030432e-06
K14414	489.384262975648	-2.08502542191611	0.37518266338565	-5.55736078821135	2.73884265598878e-08	6.23807249030432e-06
K14744	1019.48604408262	-2.03035682077152	0.368141432677785	-5.51515434164289	3.48474004765331e-08	6.23807249030432e-06
K19353	672.546604279461	-1.76701396149823	0.31974472770105	-5.5263271241499	3.27004164179118e-08	6.23807249030432e-06
K12064	602.706575260257	-1.95636127685038	0.357759171706341	-5.46837490572072	4.54180433171785e-08	7.08910773262131e-06
K03619	626.137395333459	-1.92184270614979	0.35257674182941	-5.45084935602375	5.01298213082568e-08	7.20682141597387e-06
K07491	80585.9724369691	1.34448946250672	0.24654168280806	5.4533961445921	4.94168122064394e-08	7.20682141597387e-06
K12068	603.206879197335	-1.95107339850333	0.357749645045646	-5.45373957884537	4.93214183835934e-08	7.20682141597387e-06
K11904	2797.9445666934	-1.89718392402065	0.348819720099557	-5.43886659698933	5.36205840427723e-08	7.51100642629911e-06
K12066	527.69090995871	-2.01179513086386	0.370245320589222	-5.43368145115842	5.52030929850598e-08	7.53936242443454e-06
K13620	516.781783282665	-2.03627533708256	0.375699664772337	-5.41995516103664	5.96139855242362e-08	7.7721281609219e-06
K18922	1513.84581336077	-1.99744832097089	0.368564219525028	-5.4195394320833	5.97527700455281e-08	7.7721281609219e-06
K15856	595.89518180973	2.46611281243481	0.456799348157271	5.39867848407207	6.71335592541232e-08	8.52908451640174e-06
K12062	606.455331440534	-1.91674394783588	0.35611987154193	-5.3822998967644	7.35401083553169e-08	8.73368721619774e-06
K12065	606.455331440534	-1.91674394783588	0.35611987154193	-5.3822998967644	7.35401083553169e-08	8.73368721619774e-06
K12067	606.455331440534	-1.91674394783588	0.35611987154193	-5.3822998967644	7.35401083553169e-08	8.73368721619774e-06
K12063	606.960067776704	-1.91155282290968	0.356153866344615	-5.36721064558108	7.99636478852809e-08	9.29449805100616e-06
K06908	1145.9324767621	-1.87042134852007	0.348882477252025	-5.36117882231419	8.26806200051897e-08	9.41008806434066e-06
K00094	524.341000616028	-1.9811077260352	0.370444818873394	-5.34791587060172	8.89728021206193e-08	9.53055721539104e-06
K02436	524.341000616028	-1.9811077260352	0.370444818873394	-5.34791587060172	8.89728021206193e-08	9.53055721539104e-06
K07480	2667.21407706231	-1.93637109824424	0.361726035883897	-5.35314272723723	8.64396134898768e-08	9.53055721539104e-06
K02456	1088.55953942707	-1.9055368247642	0.356776919813986	-5.34097560390874	9.24476983128915e-08	9.71234184391012e-06
K06903	1136.61031747271	-1.90215059873776	0.356986872452782	-5.32834887083796	9.91096151250877e-08	9.99006418205916e-06
K12059	531.439666138987	-1.96529991892769	0.369023432448118	-5.32567784622727	1.00577252427833e-07	9.99006418205916e-06
K12061	531.439666138987	-1.96529991892769	0.369023432448118	-5.32567784622727	1.00577252427833e-07	9.99006418205916e-06
K11705	16.2810413883393	3.70175508855968	0.697587464366519	5.30651033404285	1.11743828734146e-07	1.05251126961145e-05
K11706	16.2810413883393	3.70175508855968	0.697587464366519	5.30651033404285	1.11743828734146e-07	1.05251126961145e-05
K19422	326.541206125357	3.86415451104004	0.727904884124848	5.30859813598567	1.10471600380978e-07	1.05251126961145e-05
K05874	535.965728019517	-1.93526751173404	0.36535643252747	-5.29693017403912	1.17765701707912e-07	1.09043055666156e-05
K02455	1083.7569818911	-1.90354914455278	0.360150353373971	-5.2854290623899	1.2541046449815e-07	1.14186227925566e-05
K03618	531.831536280134	-1.97180231947591	0.373629554986061	-5.27742597758218	1.3101109801414e-07	1.17330103024795e-05
K06383	6879.60008171007	1.45718346512051	0.277924133019271	5.2430979968892	1.57902618354977e-07	1.35652874900808e-05
K11606	1149.50037742034	-1.83462929511349	0.349992275038326	-5.24191368198795	1.58919714326409e-07	1.35652874900808e-05
K16347	577.574735700228	-1.88288954859408	0.359179255139159	-5.24220015954033	1.58673106556717e-07	1.35652874900808e-05
K03290	540.41401278775	-1.93728235285602	0.370043604096347	-5.23528127877496	1.64733797480251e-07	1.38452420866864e-05
K11922	495.959187131916	-1.98897512110855	0.380346540765902	-5.22937612920933	1.70083015974809e-07	1.40782350950058e-05
K02457	1081.12637749669	-1.90502757744101	0.365338310875726	-5.21442049938483	1.84392761405253e-07	1.41878543036183e-05
K02458	1081.12637749669	-1.90502757744101	0.365338310875726	-5.21442049938483	1.84392761405253e-07	1.41878543036183e-05
K02459	1081.12637749669	-1.90502757744101	0.365338310875726	-5.21442049938483	1.84392761405253e-07	1.41878543036183e-05
K02460	1081.12637749669	-1.90502757744101	0.365338310875726	-5.21442049938483	1.84392761405253e-07	1.41878543036183e-05
K02461	1081.12637749669	-1.90502757744101	0.365338310875726	-5.21442049938483	1.84392761405253e-07	1.41878543036183e-05
K07227	550.272038953651	-1.82547690518402	0.351653537982847	-5.19112338711365	2.0902904084732e-07	1.58194641564119e-05
K07821	622.231103446614	-1.82502535731849	0.351708215094157	-5.18903249624097	2.11389508222235e-07	1.58194641564119e-05
K07310	508.098239843818	-1.91590415747417	0.369548470334367	-5.18444618574841	2.16657690043144e-07	1.5994607577104e-05
K18920	1077.27157799963	-1.89984631893068	0.366745481224776	-5.18028555549203	2.21546487789882e-07	1.6137446170615e-05
K16088	599.488492259955	-1.66604100395671	0.322294278081083	-5.16931611034548	2.34952192094451e-07	1.68887345448946e-05
K18678	12.3993089205553	3.28236271856001	0.635926124169	5.16154722036189	2.44917092301505e-07	1.7376390587573e-05
K07357	1123.34583578079	-1.86174530821955	0.361187427128588	-5.15451305440026	2.54290846453197e-07	1.77425439029239e-05
K07387	1203.74593739175	-1.80522479207061	0.35038693736067	-5.15208930352448	2.57600307099018e-07	1.77425439029239e-05
K11911	1092.60854841683	-1.87098736382935	0.363264690897875	-5.15047955584362	2.59821254298721e-07	1.77425439029239e-05
K01638	1139.66466502532	-1.83319762773383	0.357804479218504	-5.12346193020778	2.99976235050016e-07	2.02317305194844e-05
K07285	1139.12580216906	-1.83305086650801	0.358179458586756	-5.11768841725471	3.09303015724496e-07	2.03581009024448e-05
K16322	1138.61575541024	-1.83498983241522	0.358433599644164	-5.11946936402423	3.06396535739938e-07	2.03581009024448e-05
K12060	681.470996742081	-1.87959343537586	0.367549338890601	-5.11385339734025	3.1565237095949e-07	2.05286774113297e-05
K01085	1135.83076224751	-1.82699873948659	0.358602895953461	-5.09476850327415	3.49167648978011e-07	2.21802658879869e-05
K11710	16.4106961394138	3.96499420605677	0.778109307041287	5.09567765116885	3.47495978414165e-07	2.21802658879869e-05
K09940	16.0940027677627	3.64388539365336	0.719760804753894	5.0626338216615	4.13503614257429e-07	2.59651752263027e-05
K06149	1203.31437340018	-1.75955589323836	0.349117197009594	-5.04001495288702	4.65495474582057e-07	2.8897747473202e-05
K18320	1228.67935953299	-1.83707069436645	0.365793505966613	-5.02215229193853	5.10956425911366e-07	3.13635388174583e-05
K06078	1219.50272090808	-1.7806526169415	0.356729234379502	-4.99160832736005	5.98785842521457e-07	3.63463006410524e-05
K03446	1826.58345748363	-1.72199429920052	0.349439548243862	-4.92787467204143	8.31289092014872e-07	4.99047506557939e-05
K01070	1162.70214084749	-1.71983520841	0.349807377229658	-4.91652069213188	8.80958901436736e-07	5.23117225929227e-05
K06906	645.7023766036	-1.77863312813362	0.362081502713592	-4.91224521220717	9.00393468683052e-07	5.28908550474786e-05
K09928	15.6133577176773	4.13236637593056	0.842717067648298	4.90362250222654	9.40852212106376e-07	5.46795280291184e-05
K07214	1841.67487474813	-1.74351828890881	0.356227928019044	-4.89438966395584	9.86112821440336e-07	5.67066773003006e-05
K09118	145.837548367372	2.25616794761375	0.46125281164406	4.89139120815764	1.00125731208006e-06	5.6977798915556e-05
K07346	1239.40115726079	-1.73801480165221	0.35554479516229	-4.8883145676732	1.01702930644175e-06	5.72786711452707e-05
K00068	1212.20613094329	-1.69762934701032	0.348123801058025	-4.87651043063086	1.0797898100927e-06	5.87470365059142e-05
K00112	720.96747839673	-1.68049355304876	0.344784933691502	-4.87403418431383	1.09342056756572e-06	5.87470365059142e-05
K00113	720.96747839673	-1.68049355304876	0.344784933691502	-4.87403418431383	1.09342056756572e-06	5.87470365059142e-05
K00163	713.824850843655	-1.60394204987917	0.347297854852605	-4.61834712615742	3.86808792175895e-06	5.87470365059142e-05
K00166	15.6666680009545	4.02990912250779	0.853647708007554	4.72081056940192	2.34906635155714e-06	5.87470365059142e-05
K00167	15.6666680009545	4.02990912250779	0.853647708007554	4.72081056940192	2.34906635155714e-06	5.87470365059142e-05
K00219	1463.31769123233	-1.57194739505845	0.330061647396964	-4.76258725439819	1.91126511624222e-06	5.87470365059142e-05
K00247	701.088106258807	-1.65134550005093	0.350758163524235	-4.7079317654622	2.50242832854492e-06	5.87470365059142e-05
K00612	53.8112323145242	2.36978062661473	0.492547385654557	4.8112743984327	1.49970951550421e-06	5.87470365059142e-05
K00613	12.6727095530328	4.00328090203645	0.836044776763133	4.78835705132412	1.68152276584987e-06	5.87470365059142e-05
K00631	713.138158979075	-1.60606445839296	0.347829324029758	-4.61739234572286	3.8859215455398e-06	5.87470365059142e-05
K00769	737.545424017185	-1.62476012973866	0.339170450891973	-4.79039410852495	1.66454049356136e-06	5.87470365059142e-05
K00870	115.741293749443	2.40583633098808	0.499973995760298	4.81192292277037	1.49485007644466e-06	5.87470365059142e-05
K00884	712.815900934912	-1.60671146896236	0.348195579766349	-4.61439364061003	3.94244599723557e-06	5.87470365059142e-05
K00885	388.022846829783	-1.6625737324656	0.342518920657942	-4.85396172938995	1.21019100827626e-06	5.87470365059142e-05
K00886	115.814999911979	2.39788543911584	0.501863435539346	4.77796402230193	1.77079054482139e-06	5.87470365059142e-05
K00998	712.815900934912	-1.60671146896236	0.348195579766349	-4.61439364061003	3.94244599723557e-06	5.87470365059142e-05
K01051	909.3210851114	-1.55485239671146	0.326462674216982	-4.76272639878589	1.9099472340157e-06	5.87470365059142e-05
K01096	712.815900934912	-1.60671146896236	0.348195579766349	-4.61439364061003	3.94244599723557e-06	5.87470365059142e-05
K01139	713.455701253524	-1.60456975333427	0.347117381158138	-4.62255663482109	3.79039280770403e-06	5.87470365059142e-05
K01175	712.815900934912	-1.60671146896236	0.348195579766349	-4.61439364061003	3.94244599723557e-06	5.87470365059142e-05
