	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K17810	35.473044982131	4.91377219777638	0.493730159963279	9.95234360028124	2.46313056535245e-23	1.39659503055484e-19
K19350	19.4701375711961	4.63554839481978	0.470103466394553	9.86069817857759	6.16194150361549e-23	1.74691041627499e-19
K06306	10.2308769705839	5.03406565520841	0.530982808981777	9.48065656751079	2.52688078413975e-21	4.77580468202413e-18
K06317	34.8468489357952	4.72421684604351	0.505105209813842	9.35293628783719	8.52475924108106e-21	1.20838462242324e-17
K19689	55.5906693568893	4.50359667633075	0.488013320245821	9.22842981839555	2.74628011667958e-20	3.11428165231464e-17
K00336	76.4205817643598	2.03841484395383	0.233671634163751	8.72341587907653	2.69932638585373e-18	2.55086343463177e-15
K18856	10.3589874985872	4.64547189784543	0.541340051441264	8.58143025899769	9.37006907287589e-18	7.58975594902947e-15
K08722	42.3203386218588	3.16206363012449	0.371467559628809	8.5123547081317	1.70436256656393e-17	1.20796696905219e-14
K00334	89.9308455848155	1.99531905237453	0.234784122898629	8.49852633875092	1.92012685968712e-17	1.20967992160288e-14
K01449	39.6942854959078	4.6885237441531	0.562209699353921	8.33945723373512	7.46323011030533e-17	3.84695588413011e-14
K09163	29.7370724806251	4.4234182604956	0.529781454062002	8.34951511907383	6.85437723528804e-17	3.84695588413011e-14
K16927	24.6897785321777	4.85389180732871	0.5878148725155	8.25751785856815	1.48732955806592e-16	7.02763216186145e-14
K04652	71.7050466711111	3.42716363539907	0.416330612210839	8.23183195009327	1.84371788441848e-16	8.04144646511754e-14
K09696	6.17831799914598	5.39933972751678	0.660018798881673	8.18058476010888	2.82469716051533e-16	1.14400235000871e-13
K18346	28.9156204737079	3.45393706387783	0.429137115429875	8.04856289444447	8.37718565847986e-16	3.16657617890539e-13
K02226	176.664694157987	1.6941441047438	0.211313406585761	8.01721070194492	1.08173473025388e-15	3.83339745033717e-13
K00335	72.0423043722774	1.7525046568879	0.220960580716264	7.93130001381691	2.16863607271691e-15	7.23303913664993e-13
K14170	155.294037960495	1.5867796058968	0.203977002284331	7.77920838195736	7.29797659362794e-15	2.2988626269928e-12
K03502	187.262141744738	1.63709808314694	0.211320477469176	7.74699216447557	9.4094760184567e-15	2.80798573813945e-12
K01567	23.105300853757	4.72363219994679	0.612404407399269	7.71325637581038	1.22647359972143e-14	3.47705265521026e-12
K06416	22.0331592244345	5.00010753666936	0.650778573901442	7.68327006633534	1.55078183041515e-14	4.1871109421209e-12
K03493	6.45049439794991	-6.24281026671653	0.814763660150227	-7.66211181481201	1.8290028914227e-14	4.71383927016668e-12
K07667	131.790005805049	1.98314921517729	0.259985760144562	7.62791475223331	2.38581234001492e-14	5.8815460729933e-12
K07099	45.6274713106709	4.06028602536171	0.533495575584142	7.61072108408016	2.72570879412415e-14	6.43948702611831e-12
K01286	62.2649506722299	4.00203942436279	0.531281266517536	7.53280734063055	4.96608583661918e-14	1.12630826774523e-11
K10794	6.53310262136371	5.37497851732338	0.716538635509519	7.50131011916939	6.31831071248481e-14	1.32684524962181e-11
K18926	10.4091195379314	4.4293066943315	0.590375526384376	7.50252423479984	6.26004355402465e-14	1.32684524962181e-11
K09153	32.6859878828392	4.95967559895641	0.662501206841187	7.48628915350086	7.08482157898054e-14	1.43467636974356e-11
K07590	10.907344874754	3.68370916232899	0.492713335039197	7.47637398942316	7.64013316945402e-14	1.49377776106222e-11
K06436	16.4567662577111	5.28807184617088	0.714100983736231	7.40521574204153	1.30937424456128e-13	2.46748125578848e-11
K19285	16.8225125638124	4.22210065853993	0.570457623559579	7.40125205478821	1.3490638259161e-13	2.46748125578848e-11
K01198	21.2537270347528	3.83716361580913	0.520372459772197	7.37387912013813	1.65733473127889e-13	2.93658997698479e-11
K06284	55.4081914442454	4.15397582660309	0.564238099447255	7.36209736753412	1.81042834658346e-13	3.11064506822066e-11
