	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
K01167	47.9163315391543	-5.18002145905205	0.605002347211302	-8.56198572274776	1.10939940897482e-17	9.27019651995587e-15
K02228	47.9770870146119	-5.13945134846969	0.594120799741404	-8.65051577171963	5.12671946730546e-18	9.27019651995587e-15
K03416	47.8228020755524	-5.17713205663109	0.604896839177762	-8.55870244531015	1.14144899981866e-17	9.27019651995587e-15
K07653	47.8790874509776	-5.17706158415343	0.60460659573675	-8.56269452013647	1.10259795097746e-17	9.27019651995587e-15
K09709	47.6283388560191	-5.36925053270621	0.62565306790298	-8.58183362019225	9.33726296918089e-18	9.27019651995587e-15
K12583	48.2054537270376	-5.13075454487604	0.59860207855581	-8.57122741246492	1.0238782761141e-17	9.27019651995587e-15
K17490	47.8228020755524	-5.17713205663109	0.604896839177762	-8.55870244531015	1.14144899981866e-17	9.27019651995587e-15
K02021	47.8430225316315	-5.15397674284695	0.603433642150922	-8.5410828678291	1.32969810470054e-17	9.44916715652822e-15
K17315	80.0017139443153	-4.98623926767712	0.591477294307821	-8.43014485198843	3.45237604368803e-17	1.10035655453967e-14
K02802	47.8954051930093	-5.1029883014482	0.606096603775139	-8.41943061496085	3.78318437753758e-17	1.10035655453967e-14
K03432	47.9889346566113	-5.10587858868372	0.606201578419895	-8.42274050488706	3.67778454235322e-17	1.10035655453967e-14
K03433	47.9889346566113	-5.10587858868372	0.606201578419895	-8.42274050488706	3.67778454235322e-17	1.10035655453967e-14
K03889	48.2780568444945	-5.059554252077	0.59978470968705	-8.43561726459636	3.29459301962545e-17	1.10035655453967e-14
K03890	48.2780568444945	-5.059554252077	0.59978470968705	-8.43561726459636	3.29459301962545e-17	1.10035655453967e-14
K03891	48.2780568444945	-5.059554252077	0.59978470968705	-8.43561726459636	3.29459301962545e-17	1.10035655453967e-14
K05991	88.6722613006267	-5.24687525473034	0.623385760157354	-8.41673902433372	3.87108726311228e-17	1.10035655453967e-14
K10240	47.8954051930093	-5.1029883014482	0.606096603775139	-8.41943061496085	3.78318437753758e-17	1.10035655453967e-14
K10241	47.8954051930093	-5.1029883014482	0.606096603775139	-8.41943061496085	3.78318437753758e-17	1.10035655453967e-14
K14337	51.4521127007733	-5.13815377626631	0.606681974344353	-8.46927054626794	2.46934529458832e-17	1.10035655453967e-14
K16163	48.0216008922258	-5.10688669667597	0.606238103386909	-8.42389593815533	3.64167744001755e-17	1.10035655453967e-14
K17316	79.445231883393	-4.98177322911856	0.59287306258538	-8.40276535316719	4.36085507264302e-17	1.12688459490798e-14
K17317	79.445231883393	-4.98177322911856	0.59287306258538	-8.40276535316719	4.36085507264302e-17	1.12688459490798e-14
K01453	78.7909215472645	-5.12197646582549	0.614835724143597	-8.33064225888936	8.04049528476165e-17	1.98740068234217e-14
K09992	58.2818488674046	-5.06397853421771	0.611803080875966	-8.27713800814343	1.26170968040178e-16	2.98867480545172e-14
K02803	95.7906128206067	-5.1386579568797	0.626487110068753	-8.20233628799764	2.35759682510166e-16	5.36117518028118e-14
K11045	184.253784922524	-5.22332579416188	0.64621524791358	-8.08295039621288	6.32183423971101e-16	1.38229337125989e-13
K17898	48.7754937411875	-4.48782386356854	0.573919847233213	-7.8196003940336	5.29912853269081e-15	1.07591234672669e-12
K17899	48.7754937411875	-4.48782386356854	0.573919847233213	-7.8196003940336	5.29912853269081e-15	1.07591234672669e-12
K02303	97.1101073586114	-2.9625240700771	0.412301867621797	-7.18532779675549	6.7046131381396e-13	1.31433536863185e-10
K16783	102.978726510147	-2.85894499165019	0.42153555785264	-6.78221549378669	1.18346766388862e-11	2.24267122306893e-09
K10202	19896.2362546968	1.55423731324381	0.229610771645445	6.76900871028732	1.29667737400206e-11	2.37793899071023e-09
K06284	15273.920760253	1.60883848222825	0.238067438942201	6.75791065496717	1.39995809646025e-11	2.48711305574266e-09
K10201	14743.524687909	1.59851509509637	0.239782262522152	6.66652770009914	2.61926271921358e-11	4.51227532082702e-09
K07667	25071.5049242395	1.35559274751862	0.204310759189231	6.63495526568465	3.24600964260691e-11	5.42751906418244e-09
K02315	64748.5620685401	1.30130472352577	0.196860198943624	6.61029873234272	3.83545250760662e-11	6.22987071592676e-09
K15583	41333.225789693	1.17301596960581	0.178081275350719	6.58696972657923	4.48893764784798e-11	7.0887807022266e-09
K10200	13211.269566632	1.54873305207551	0.235561427030386	6.57464624662735	4.87689750356125e-11	7.49328711020154e-09
K10823	42016.3375387418	1.14160204227569	0.175930810203755	6.48892619179971	8.64503020742929e-11	1.29334201919041e-08
K03205	103595.587660791	1.22977600443528	0.189680532844422	6.48340652566576	8.96744444317015e-11	1.30717747844673e-08
K07089	24932.5253171299	1.16610383878562	0.180484460429876	6.46096531528642	1.04037165618288e-10	1.40936930760929e-08
K06012	18908.8834451007	1.28255571235147	0.199210592633939	6.43819033613459	1.20906326810234e-10	1.40936930760929e-08
K06379	18928.6646780189	1.28266957161257	0.199123151119098	6.44158936017135	1.18228804967056e-10	1.40936930760929e-08
K06385	18915.2032754397	1.28489915654631	0.199285886370246	6.4475170818627	1.13697360953945e-10	1.40936930760929e-08
K06399	18927.7804648306	1.28257645401118	0.199125264986757	6.44105334446879	1.18647159000315e-10	1.40936930760929e-08
K06400	19241.8565403708	1.33231157448378	0.206961771134607	6.43747667590868	1.21475982538004e-10	1.40936930760929e-08
K06405	19009.1304170477	1.28401710515179	0.19908169602368	6.44969944900945	1.12072181256893e-10	1.40936930760929e-08
K06406	18983.0977167908	1.28471935124952	0.19918885509123	6.44975518665995	1.12030972980378e-10	1.40936930760929e-08
