Tool,Data,Percent_identity,Sample,TP,FP,TN,FN,TPR,FPR,Precision,F1_score,BA
MicFunPred,mammal,97,iGEM-9,2219,782,5328,2248,49.67539735840609,12.798690671031096,73.94201932689104,59.42688805570434,72.13468442585312
MicFunPred,mammal,97,B2,3055,861,4474,3082,49.78002281244908,16.13870665417057,78.01327885597549,60.777877250571976,68.61225086260923
MicFunPred,mammal,97,iGEM-18,2407,427,5252,2458,49.47584789311408,7.518929388976933,84.93295695130557,62.52760098714119,76.52614125126887
MicFunPred,mammal,97,B1,3014,953,4483,3059,49.62950765684176,17.531272994849154,75.97680867154021,60.0398406374502,67.7086376956216
MicFunPred,mammal,97,iGEM-4,3278,747,4610,3310,49.757134183363696,13.944371849916,81.44099378881987,61.77329690002827,69.82403224794528
MicFunPred,mammal,97,A1,3519,497,4550,3552,49.76665252439542,9.847434119278779,87.62450199203188,63.47975105979977,71.89173754254765
MicFunPred,mammal,97,C1,2394,494,5076,2427,49.657747355320474,8.868940754039498,82.89473684210526,62.10922298612011,75.27383783328774
MicFunPred,mammal,97,C2,2070,631,5876,2084,49.83148772267694,9.697249116336252,76.63828211773416,60.393873085339166,75.22868879756055
MicFunPred,mammal,97,D2,3365,808,4056,3432,49.50713550095631,16.611842105263158,80.63743110472082,61.34913400182315,67.40204888569374
MicFunPred,mammal,97,iGEM-16,2348,1301,4921,2362,49.85138004246284,20.909675345548056,64.3463962729515,56.1789687761694,65.957353017706
MicFunPred,mammal,97,A2,2631,1319,4805,2647,49.84842743463433,21.538210320052254,66.60759493670886,57.0221066319896,65.54346467178975
MicFunPred,blueberry,97,Bact203,3538,1520,3543,3576,49.732921000843405,30.021726249259334,69.94859628311586,58.133420966151824,59.85841107876821
MicFunPred,blueberry,97,Bact3-1-2R,3562,1796,3200,3759,48.65455538860811,35.948759007205766,66.48002986188877,56.18739648237242,56.231824098928286
MicFunPred,blueberry,97,Bact202,3685,1594,3285,3779,49.37031082529475,32.67062922730067,69.80488728925933,57.83567448795417,58.15414239887655
MicFunPred,blueberry,97,Bact204,3329,1414,3802,3391,49.538690476190474,27.108895705521473,70.1876449504533,58.08252638925238,61.522294600904395
MicFunPred,blueberry,97,Bact208,3474,1786,3256,3902,47.098698481561826,35.42245140817136,66.04562737642586,54.985754985754994,55.76659686787204
MicFunPred,blueberry,97,Bact3-4-2R,3705,1837,3047,3851,49.03388035997882,37.61261261261261,66.85312161674486,56.57352267521759,55.51267272486997
MicFunPred,blueberry,97,Bact3-4-2,3662,1739,3229,3708,49.687924016282224,35.00402576489533,67.80225884095537,57.348680604494554,57.17487887989818
MicFunPred,blueberry,97,Bact190,3661,1888,3092,3730,49.53321607360303,37.911646586345384,65.97585150477563,56.58423493044822,55.649901712516815
MicFunPred,blueberry,97,Bact192,3344,2289,3131,3411,49.504071058475205,42.23247232472325,59.364459435469556,53.987730061349694,53.6122205462276
MicFunPred,blueberry,97,Bact195,3359,2045,3327,3465,49.223329425556855,38.06775874906925,62.15766099185789,54.93948315341838,55.5708799658936
MicFunPred,blueberry,97,Bact207,3732,1586,3095,4240,46.81384846964375,33.88164922025208,70.17675817976684,56.162528216704295,56.185856935827516
MicFunPred,blueberry,97,Bact3-3-2,3768,1715,3148,3825,49.624654286843146,35.266296524778944,68.72150282691956,57.63230345671459,56.93353213911588
MicFunPred,blueberry,97,Bact193,3471,1866,3399,3523,49.628252788104085,35.44159544159544,65.03653738055087,56.29713729624523,57.07042124733987
MicFunPred,blueberry,97,Bact209,3462,1482,3553,3667,48.562210688736144,29.433962264150942,70.02427184466019,57.351114056158366,59.61739908022483
MicFunPred,blueberry,97,Bact3-1-2,3642,1737,3232,3700,49.60501225824026,34.956731736767956,67.70775237032906,57.259649398632185,57.16605160351421
MicFunPred,blueberry,97,Bact3-3-2R,3552,1973,3038,3980,47.15878916622411,39.373378567152265,64.289592760181,54.40759745730259,53.78913949778784
MicFunPred,blueberry,97,Bact3-5-2R,3621,1959,3113,3693,49.507793273174734,38.623817034700316,64.89247311827957,56.165658445788736,55.31576344717975
MicFunPred,blueberry,97,Bact197,3685,2115,2933,3775,49.396782841823054,41.89778129952457,63.53448275862069,55.580693815987935,53.62919725289412
MicFunPred,blueberry,97,Bact191,3091,1996,3717,3111,49.83876168977749,34.937861018729215,60.762728523687834,54.76127203472407,57.60016918275781
MicFunPred,blueberry,97,Bact3-5-2,3672,1847,3143,3723,49.6551724137931,37.014028056112224,66.53379235368726,56.868514790150215,56.15504065689023
