Sample	Dataset	Tool	Percent_identity	Correlation
B1	mammal	MicFunPred	97	0.7334383704401792
C2	mammal	MicFunPred	97	0.8031448719087659
iGEM-18	mammal	MicFunPred	97	0.810758341075141
C1	mammal	MicFunPred	97	0.7724786707529098
B2	mammal	MicFunPred	97	0.7644690344068182
iGEM-4	mammal	MicFunPred	97	0.8019549135386567
iGEM-16	mammal	MicFunPred	97	0.7328723453600292
A1	mammal	MicFunPred	97	0.8038212580732003
A2	mammal	MicFunPred	97	0.7973184423533302
D2	mammal	MicFunPred	97	0.760533611158491
iGEM-9	mammal	MicFunPred	97	0.7871091300193057
Bact191	blueberry	MicFunPred	97	0.7536398663565679
Bact192	blueberry	MicFunPred	97	0.77643254397395
Bact195	blueberry	MicFunPred	97	0.7874235052154785
Bact207	blueberry	MicFunPred	97	0.8168959145800363
Bact3-3-2	blueberry	MicFunPred	97	0.7851273959283084
Bact204	blueberry	MicFunPred	97	0.8102096185160151
Bact3-4-2R	blueberry	MicFunPred	97	0.7802313214109147
Bact3-4-2	blueberry	MicFunPred	97	0.7748256967730976
Bact200	blueberry	MicFunPred	97	0.7618202127531809
Bact202	blueberry	MicFunPred	97	0.8219355174531198
Bact3-1-2R	blueberry	MicFunPred	97	0.7857821126038568
Bact3-1-2	blueberry	MicFunPred	97	0.7734559663438852
Bact190	blueberry	MicFunPred	97	0.7963735032340327
Bact198	blueberry	MicFunPred	97	0.7680659115452076
Bact3-5-2R	blueberry	MicFunPred	97	0.785037518612006
Bact208	blueberry	MicFunPred	97	0.7880252359525117
Bact3-3-2R	blueberry	MicFunPred	97	0.811153077570065
Bact197	blueberry	MicFunPred	97	0.8127648948754455
Bact3-5-2	blueberry	MicFunPred	97	0.7787782349525026
Bact203	blueberry	MicFunPred	97	0.7833866847249998
Bact209	blueberry	MicFunPred	97	0.8214323649068734
Bact193	blueberry	MicFunPred	97	0.8121127122178217
Bact191	blueberry	PICRUSt2	97	0.8125177642319348
Bact192	blueberry	PICRUSt2	97	0.8217313408445781
Bact195	blueberry	PICRUSt2	97	0.8252005156025609
Bact207	blueberry	PICRUSt2	97	0.8645666576169596
Bact3-3-2	blueberry	PICRUSt2	97	0.8237689839966162
Bact204	blueberry	PICRUSt2	97	0.8341952849261394
Bact3-4-2R	blueberry	PICRUSt2	97	0.8336142617027507
Bact3-4-2	blueberry	PICRUSt2	97	0.8306427984557183
Bact200	blueberry	PICRUSt2	97	0.8114959211581152
Bact202	blueberry	PICRUSt2	97	0.8153978298231528
Bact3-1-2R	blueberry	PICRUSt2	97	0.8289591147049432
Bact3-1-2	blueberry	PICRUSt2	97	0.8124819401467485
Bact190	blueberry	PICRUSt2	97	0.812655371055007
Bact198	blueberry	PICRUSt2	97	0.7793242415762577
Bact3-5-2R	blueberry	PICRUSt2	97	0.826125704403797
Bact208	blueberry	PICRUSt2	97	0.8088360894154091
Bact3-3-2R	blueberry	PICRUSt2	97	0.8409975818393908
Bact197	blueberry	PICRUSt2	97	0.8383326066840685
