Sample	group
BAB01	Positive
BAB05	Positive
BAB06	Positive
BAB08	Positive
BAB12	Positive
BAB16	Positive
BAB22	Positive
BAB24	Positive
BAB26	Positive
BAB29	Positive
BAN01	Positive
BAN03	Positive
BAN05	Positive
BAN09	Positive
MVC04	Positive
MVC05	Positive
MVC09	Positive
MVC13	Positive
MVC14	Positive
MVC16	Positive
MVC17	Positive
YAE10	Positive
YAE14	Positive
YAE24	Positive
YAE27	Positive
BAB04	Negative
BAB07	Negative
BAB10	Negative
BAB11	Negative
BAB15	Negative
BAB18	Negative
BAB19	Negative
BAB20	Negative
BAB21	Negative
BAB23	Negative
BAB25	Negative
BAB30	Negative
BAN02	Negative
BAN07	Negative
BAN08	Negative
MVC01	Negative
MVC03	Negative
MVC06	Negative
MVC08	Negative
MVC11	Negative
MVC12	Negative
MVC15	Negative
MVC18	Negative
MVC21	Negative
MVC23	Negative
YAE01	Negative
YAE02	Negative
YAE03	Negative
YAE05	Negative
YAE07	Negative
YAE09	Negative
YAE11	Negative
YAE12	Negative
YAE15	Negative
YAE16	Negative
YAE17	Negative
YAE18	Negative
YAE19	Negative
YAE20	Negative
YAE25	Negative
YAE26	Negative
