sample	group
SRS047113	Supragingival_plaque
SRS018394	Supragingival_plaque
SRS017227	Supragingival_plaque
SRS018337	Supragingival_plaque
SRS064493	Supragingival_plaque
SRS019906	Supragingival_plaque
SRS023938	Supragingival_plaque
SRS016331	Supragingival_plaque
SRS018157	Supragingival_plaque
SRS024289	Supragingival_plaque
SRS017304	Supragingival_plaque
SRS013252	Supragingival_plaque
SRS065310	Supragingival_plaque
SRS047634	Supragingival_plaque
SRS015574	Supragingival_plaque
SRS063603	Supragingival_plaque
SRS013723	Supragingival_plaque
SRS017139	Supragingival_plaque
SRS015470	Supragingival_plaque
SRS024649	Supragingival_plaque
SRS045197	Supragingival_plaque
SRS018439	Tongue_dorsum
SRS023617	Tongue_dorsum
SRS018739	Tongue_dorsum
SRS062544	Tongue_dorsum
SRS013705	Tongue_dorsum
SRS024580	Tongue_dorsum
SRS017209	Tongue_dorsum
SRS024277	Tongue_dorsum
SRS057692	Tongue_dorsum
SRS018145	Tongue_dorsum
SRS023926	Tongue_dorsum
SRS016225	Tongue_dorsum
SRS013234	Tongue_dorsum
SRS017533	Tongue_dorsum
SRS023557	Tongue_dorsum
SRS024637	Tongue_dorsum
SRS016529	Tongue_dorsum
SRS042643	Tongue_dorsum
SRS021496	Tongue_dorsum
SRS017713	Tongue_dorsum
SRS016002	Tongue_dorsum
SRS014271	Tongue_dorsum
SRS018791	Tongue_dorsum
SRS062540	Tongue_dorsum
SRS022621	Tongue_dorsum
SRS049389	Tongue_dorsum
SRS019894	Tongue_dorsum
SRS065278	Tongue_dorsum
SRS013502	Tongue_dorsum
SRS015395	Tongue_dorsum
SRS018591	Tongue_dorsum
SRS047219	Tongue_dorsum
SRS015762	Tongue_dorsum
