Sample Name	group
C10_M	Kasaragod
C13_M	Kasaragod
C14_M	Kasaragod
C15_M	Kasaragod
C16_M	Kasaragod
C18_M	Kasaragod
C19_M	Kasaragod
C2_M	Kasaragod
C22_M	Kasaragod
C23_M	Kasaragod
C24_M	Kasaragod
C25_M	Kasaragod
C3_M	Kasaragod
C4_M	Kasaragod
C5_M	Kasaragod
C6_M	Kasaragod
C7_M	Kasaragod
C9_M	Kasaragod
HA	Bhopal
HAA	Bhopal
HAB	Bhopal
HAC	Bhopal
HAD	Bhopal
HAE	Bhopal
HAF	Bhopal
HAG	Bhopal
HAH	Bhopal
HAI	Bhopal
HAJ	Bhopal
HAK	Bhopal
HAL	Bhopal
HAM	Bhopal
HAN	Bhopal
HAO	Bhopal
HAP	Bhopal
HAR	Bhopal
HAT	Bhopal
HAU	Kasaragod
HAV	Kasaragod
HAX	Kasaragod
HAZ	Kasaragod
HB	Bhopal
HBA	Kasaragod
HBB	Kasaragod
HBC	Kasaragod
HBD	Kasaragod
HBE	Kasaragod
HBF	Kasaragod
HBG	Kasaragod
HBH	Kasaragod
HBI	Kasaragod
HBJ	Kasaragod
HBK	Kasaragod
HBL	Kasaragod
HBM	Kasaragod
HBR	Kasaragod
HBV	Kasaragod
HBW	Kasaragod
HBY	Kasaragod
HBZ	Kasaragod
HC	Bhopal
HCA	Kasaragod
HCB	Kasaragod
HCD	Kasaragod
HCF	Kasaragod
HCH	Kasaragod
HCI	Kasaragod
HCJ	Kasaragod
HCK	Kasaragod
HCL	Bhopal
HCM	Bhopal
HCN	Bhopal
HCO	Bhopal
HCP	Bhopal
HCQ	Bhopal
HCR	Bhopal
HCS	Bhopal
HCT	Bhopal
HCU	Bhopal
HCV	Bhopal
HCW	Kasaragod
HCY	Kasaragod
HCZ	Kasaragod
HD	Bhopal
HDA	Kasaragod
HDB	Kasaragod
HDC	Kasaragod
HDD	Kasaragod
HDE	Kasaragod
HDF	Kasaragod
HE	Bhopal
HF	Bhopal
HG	Bhopal
HI	Bhopal
HJ	Bhopal
HK	Bhopal
HL	Bhopal
HM	Bhopal
HN	Bhopal
HO	Bhopal
HP	Bhopal
HQ	Bhopal
HR	Bhopal
HS	Bhopal
HT	Bhopal
HU	Bhopal
HV	Bhopal
HW	Bhopal
HY	Bhopal
HZ	Bhopal
